,Type,Site,Impurity,AB,(0/-1)_DFT,train_mean,train_std
89,II-VI,M_i_B,Ir,CdS,1.7520900000000001,2.0826558090824774,0.046139414886471206
90,II-VI,M_i_B,Bi,ZnSe,2.2173689999999997,2.367322310092921,0.050959041295728986
91,II-VI,M_i_B,Mg,ZnS,3.5037160000000003,2.9031083989981235,0.0572004224265352
92,II-VI,M_B,Sr,CdTe,1.7013220000000002,1.4847001661107972,0.059215551142767144
93,II-VI,M_i_neut,Na,ZnO,2.377708,2.336457743465966,0.05647615118580267
94,IV-IV,M_i_neut,Zn,SiC,2.544964,2.467883943970919,0.05338676978460336
95,IV-IV,M_i_B,Al,SiC,2.4607419999999998,2.5096886333172757,0.0493523899748902
96,II-VI,M_B,I,ZnO,2.641058,2.6954846664875305,0.08217147228618486
97,IV-IV,M_A,Rh,GeC,1.536491,1.161916366987262,0.09924852640979938
98,II-VI,M_B,Ca,CdTe,1.469262,1.42657737382322,0.06709769065224652
99,II-VI,M_i_neut,Ir,ZnS,1.9009330000000002,2.6221483857112573,0.04216278092665698
100,IV-IV,M_i_B,C,SiGe,0.756983,0.4881166964004281,0.06612882736735201
101,IV-IV,M_B,Re,SnC,0.964124,0.9757741908758117,0.0679288762350605
102,III-V,M_i_B,C,AlAs,1.237414,1.4285558283833846,0.09140437751743129
103,III-V,M_A,Te,BP,1.908332,1.4814150145125269,0.12827310105877587
104,II-VI,M_i_B,C,CdTe,1.386496,0.9966772951546876,0.06271787518559105
105,III-V,M_i_neut,Pb,AlP,2.1579509999999997,2.0811958074416794,0.054995427743594845
106,IV-IV,M_B,Li,GeC,1.796947,1.5778648071767045,0.11396950848763135
107,II-VI,M_i_B,Y,CdO,1.9703389999999998,1.932459417336937,0.0528623108953794
108,II-VI,M_i_A,C,CdTe,0.503099,0.976580201655978,0.06251511797211347
109,II-VI,M_i_A,W,CdTe,1.566194,1.6276627115649294,0.03569772646020604
110,IV-IV,M_A,As,SnC,1.635578,1.1268425959315567,0.07527998130390691
111,III-V,M_i_B,Pb,GaP,2.125354,1.743710566711646,0.06640533249969284
112,IV-IV,M_i_neut,W,SnC,1.6542270000000001,1.6082193265121347,0.06459586597475203
113,II-VI,M_i_A,C,ZnTe,0.532802,1.0994093697376264,0.07565772887271842
114,II-VI,M_i_neut,W,ZnTe,1.5595,1.6938351765330175,0.059918880938414375
115,II-VI,M_i_neut,In,CdO,1.666309,1.8919738168487303,0.03861890600136784
116,II-VI,M_i_B,Sb,CdTe,1.478928,1.747841489815969,0.0263427557866127
117,II-VI,M_i_A,Re,CdTe,1.6619830000000002,1.5400940870711506,0.028843160081337946
118,II-VI,M_B,Os,CdTe,0.9963850000000001,0.6545800345652297,0.045445809568479066
119,II-VI,M_i_neut,C,CdTe,1.209,0.9820370665908964,0.06334973233824302
120,IV-IV,M_B,Bi,GeC,2.4382330000000003,2.210634516340245,0.06700971068779751
121,II-VI,M_i_B,Re,CdTe,1.709065,1.5793403655807678,0.03141680028438928
122,II-VI,M_B,Ru,CdTe,0.974518,1.025918085490426,0.038805853386691506
123,II-VI,M_A,O,CdS,0.43849,0.9010243519603167,0.062055729768063415
124,II-VI,M_i_A,Al,CdS,2.380537,2.375411748414647,0.04162241100484938
125,II-VI,M_A,Ru,CdO,0.910234,0.8464535951039087,0.051878696660175826
126,II-VI,M_i_A,Pb,CdO,2.0273369999999997,1.8490855048156547,0.04341471637925764
127,II-VI,M_B,Tc,CdTe,0.648452,1.0213551506973837,0.02978943946376031
128,II-VI,M_B,V,CdTe,1.27786,1.1894155099555284,0.03647355239054245
129,II-VI,M_B,Rh,CdTe,0.275046,0.9067163562775399,0.041465228555472806
130,II-VI,M_i_B,Zr,CdTe,1.861207,1.995426727711342,0.029425021928119723
131,II-VI,M_i_B,W,CdTe,1.7098919999999997,1.682555803900796,0.0398211341505611
132,IV-IV,M_i_neut,Sr,Si,1.0935030000000001,0.999964726136459,0.04347244488286182
133,II-VI,M_i_A,Be,CdS,2.244068,2.161211547183186,0.054547209648635506
134,II-VI,M_i_neut,La,CdTe,1.9012740000000001,2.0157939505745253,0.03248488804594807
135,IV-IV,M_i_A,C,Si,0.532674,0.4973808332978297,0.06736079905045027
136,II-VI,M_i_A,Sb,CdTe,1.4150790000000002,1.6934658247499033,0.019002129841828527
137,II-VI,M_i_neut,W,CdTe,1.670023,1.561397870689752,0.04019720914183418
138,II-VI,M_i_neut,Sb,CdTe,1.6317700000000002,1.6739553083545444,0.021318924974093472
139,III-V,M_i_A,Tc,InP,1.4574,1.2816241324797977,0.08406537935017924
140,IV-IV,M_B,Au,GeC,2.032842,2.1298268884818774,0.06983191434572035
141,III-V,M_i_B,Ti,BAs,1.518734,1.5371326961085467,0.07964734497405855
142,II-VI,M_i_B,La,CdSe,2.336767,2.288958763333978,0.046779932378585465
143,III-V,M_i_B,Mg,GaN,3.717064,3.722506757085191,0.07015581073720123
144,II-VI,M_i_neut,Zr,CdTe,1.7986360000000001,1.9360077357522194,0.027597696242966617
145,II-VI,M_B,Cd,CdS,2.089155,1.8601892847021404,0.06559822157967306
146,II-VI,M_i_A,Sn,CdS,2.647543,2.248081468344925,0.03930906114065597
147,II-VI,M_B,Hf,CdTe,1.046959,0.9597968885607816,0.04473093097889771
148,II-VI,M_i_B,Rb,CdS,2.349135,2.375109771058111,0.06010056295381721
149,II-VI,M_i_B,Os,CdTe,1.601214,1.5686203557016132,0.028998632295901803
150,II-VI,M_i_neut,Y,CdTe,1.8418189999999999,2.004393386271502,0.02440712172248848
151,II-VI,M_B,Zn,CdS,1.8133569999999999,1.725183666024074,0.05533135874480854
152,II-VI,M_i_B,Be,ZnO,2.842622,2.487376038092427,0.07346249394740548
153,II-VI,M_i_neut,Nb,CdTe,1.6853349999999998,1.6997811889345975,0.02451987403899592
154,IV-IV,M_i_A,Pb,Si,1.214774,1.2735915781803722,0.06983089477123468
155,II-VI,M_B,C,CdTe,-0.00675,0.6856400246230607,0.08978532729932535
156,II-VI,M_i_A,Mo,CdTe,1.334938,1.559811120286485,0.025617552469764687
157,II-VI,M_B,Rh,ZnSe,0.629409,1.5558949579284795,0.08076749914749577
158,II-VI,M_i_B,Nb,CdTe,1.659325,1.761941914409816,0.025156774069698747
159,III-V,M_i_neut,Sr,AlAs,2.1293919999999997,1.617679873413918,0.060518731502824656
160,IV-IV,M_i_A,Fe,SnC,1.6266770000000002,1.6404659293898676,0.04930012614339327
161,II-VI,M_i_neut,Re,CdTe,1.53568,1.4575190829706584,0.03083863396118321
162,II-VI,M_i_B,La,CdTe,2.117337,2.10588815959509,0.03227011266697185
163,II-VI,M_B,C,ZnSe,0.142583,1.301369914090661,0.07686057326206935
164,II-VI,M_i_A,Os,CdTe,1.4355129999999998,1.492989254588091,0.027841893025488763
165,IV-IV,M_i_neut,Ta,SiGe,1.515896,0.8535995645514769,0.03657444695724672
166,II-VI,M_i_B,Ag,ZnO,2.3704509999999996,2.4264639822551226,0.05031222939788553
167,II-VI,M_i_B,Sr,CdO,1.961322,1.7719792787357078,0.04338265734566351
168,III-V,M_i_B,Hf,InP,1.693799,1.6070955439861685,0.08909549550903086
169,II-VI,M_i_B,Ta,CdTe,1.671212,1.8772251771901538,0.03237549784686126
170,II-VI,M_B,Cr,CdTe,1.30972,1.1838596739950418,0.03770705669428158
171,IV-IV,M_B,Pd,SiC,2.491248,2.2861402637952337,0.06217482798787439
172,III-V,M_i_B,B,AlP,2.129932,1.8506267263537979,0.08004114587999078
173,II-VI,M_i_A,Nb,CdTe,1.7684959999999998,1.7226785172380477,0.024474948531236163
174,III-V,M_i_B,Ta,InAs,1.1800329999999999,1.1617241166897188,0.06750087955918217
175,III-V,M_i_B,W,InAs,1.0079719999999999,0.9643297662853062,0.05960634024608064
176,III-V,M_i_A,Te,AlAs,1.3604,1.7730905018500114,0.06896644428262289
177,II-VI,M_i_B,Ti,CdS,2.641885,2.5224107360289296,0.04053261915947806
178,II-VI,M_i_A,Zr,ZnTe,1.944973,2.092266060517412,0.060936177181803705
179,II-VI,M_i_A,Zr,CdTe,1.788138,1.966895552110773,0.031866445388315005
180,III-V,M_i_neut,Mo,AlP,1.6684330000000003,1.682130532408656,0.06177671516431491
181,III-V,M_B,Mg,GaP,1.134533,1.5892844499562515,0.09799011429559211
182,II-VI,M_A,Sb,ZnO,2.438171,2.1011848059209655,0.0648087337980019
183,II-VI,M_B,Rb,CdTe,1.91445,1.6875899609934457,0.06884230228667944
184,II-VI,M_A,Ir,CdO,1.381333,1.16685656626458,0.05472687164286807
185,II-VI,M_i_B,Rh,CdS,1.7226849999999998,1.9482771644789363,0.055231850156856055
186,II-VI,M_i_neut,Ta,CdTe,1.75899,1.7594770796044858,0.02991735474653621
187,IV-IV,M_A,Bi,SiC,2.4907340000000002,2.4044864212343398,0.08582059778503776
188,II-VI,M_i_neut,Sc,CdTe,1.78875,2.050643479658003,0.024445422626094084
189,II-VI,M_B,Fe,CdTe,1.197783,1.0252094158792577,0.03167138975303929
190,II-VI,M_i_B,As,ZnSe,1.856695,1.9999020532806682,0.05409352849042145
191,II-VI,M_B,Co,CdTe,0.94586,0.991958850608528,0.035171210382819944
192,II-VI,M_i_neut,Ga,CdS,2.287927,2.3281941373705606,0.04305286276964655
193,II-VI,M_i_neut,Mo,CdTe,1.6917349999999998,1.5354646498831555,0.025140926425336194
194,II-VI,M_i_neut,Co,CdO,1.320365,1.6418972880129128,0.03515907815490672
195,II-VI,M_B,K,CdTe,1.801796,1.3748502018657724,0.050366385139169204
196,II-VI,M_i_B,Y,CdTe,2.1170430000000002,2.0688885527016105,0.022723403525300653
197,II-VI,M_i_A,Te,ZnSe,1.5739809999999999,1.9016300356707945,0.04321021093335349
198,II-VI,M_B,B,CdTe,0.259137,0.5413103557382271,0.06787700652072616
199,II-VI,M_B,Be,CdTe,0.598637,0.8744194334524125,0.09670728888551552
200,III-V,M_i_neut,W,GaSb,0.5540510000000001,0.6439326455258241,0.050386748904289534
201,II-VI,M_i_A,Zn,ZnS,3.198714,2.847856055483175,0.053220097419893274
202,II-VI,M_A,Zr,CdS,2.205005,2.040392483024198,0.047096094150079586
203,II-VI,M_B,Li,ZnTe,1.484677,1.193329574497344,0.11213185249357512
204,II-VI,M_i_neut,Ba,CdTe,1.9466720000000002,1.9650496719651993,0.03402868838582303
205,II-VI,M_i_neut,As,CdS,2.1955419999999997,2.0366097422279843,0.0405397316439887
206,III-V,M_B,Hf,InSb,0.086656,-0.1469452748183564,0.0757379598954542
207,II-VI,M_i_B,Mo,CdTe,1.7596919999999998,1.5993118426056196,0.021848835657179436
208,II-VI,M_i_A,Ta,CdTe,1.778918,1.8385798189737819,0.030546154867710378
209,III-V,M_i_A,Cl,GaP,0.241457,0.7330376023887153,0.08968699397924981
210,IV-IV,M_i_neut,La,Ge,0.725529,0.7731241228690087,0.03784878614453374
211,II-VI,M_B,Mg,CdTe,1.183375,1.084327105873813,0.07880441762101595
212,II-VI,M_B,Mn,CdTe,0.983294,1.1036329205959872,0.03269129182872037
213,II-VI,M_i_B,B,CdSe,1.764662,1.380734021999596,0.06711439926339208
214,IV-IV,M_B,Rh,SiC,2.506597,2.1342641326169485,0.07038816265783332
215,II-VI,M_i_A,La,CdTe,1.952708,2.0598572699325493,0.025675303714449208
216,II-VI,M_i_neut,Os,CdTe,1.503257,1.4558523618532657,0.027655491668071724
217,IV-IV,M_B,Rb,SiGe,0.5558960000000001,0.639259988215345,0.056328200198250626
218,II-VI,M_B,Cs,CdTe,1.741729,1.7149964782725688,0.0909565732582075
219,III-V,M_i_B,Zr,InN,2.09197,1.9890276594230625,0.05488183466109707
220,II-VI,M_B,Si,CdSe,0.671369,1.6230646636148542,0.07407273782457974
221,II-VI,M_B,Ir,CdTe,0.305657,0.5978706266945203,0.0487504606545018
222,II-VI,M_i_B,Ti,CdTe,1.760211,1.9312307143154108,0.03671812914213412
223,II-VI,M_i_A,B,CdTe,1.3995600000000001,1.2891587800607582,0.050581856780025615
224,III-V,M_i_neut,Ir,InP,0.988635,1.0254669944840555,0.08982950354174661
225,II-VI,M_i_B,Ru,CdTe,1.571022,1.5320006048478625,0.020579473783688882
226,II-VI,M_i_neut,I,ZnSe,1.448495,1.3988217447092555,0.05797495997701487
227,IV-IV,M_i_neut,Zr,Ge,0.612105,0.6914937952316859,0.026188906639153176
228,II-VI,M_i_A,Y,CdTe,1.884782,2.0376772545903896,0.025539188439383055
229,II-VI,M_i_B,Sc,CdTe,1.9417360000000001,2.085501501692371,0.025491036771936645
230,III-V,M_i_B,In,AlAs,2.058288,1.8421562792929513,0.052878973023678666
231,II-VI,M_i_neut,B,CdTe,1.6068,1.2786010605513969,0.04647471892619703
232,III-V,M_i_B,Os,GaSb,0.43795500000000004,0.72567405333028,0.03788973042980555
233,II-VI,M_i_neut,Ti,CdTe,1.766509,1.8983257663706212,0.034103123527944604
234,II-VI,M_B,Tl,ZnSe,1.776863,1.959770549667784,0.06811196799620031
235,IV-IV,M_i_neut,Rb,SiSn,0.7475569999999999,0.5113462703435798,0.043938598757210706
236,II-VI,M_i_neut,Cd,CdS,2.3836,2.4055264196367006,0.0341368885764923
237,IV-IV,M_i_B,As,SiGe,0.803847,0.9685889832854404,0.031240340370848864
238,II-VI,M_A,C,CdSe,1.479061,0.7654362543919632,0.070548055647743
239,III-V,M_i_B,Zn,BSb,1.235434,1.1676657272786666,0.07183475128016202
240,II-VI,M_i_neut,Sr,CdTe,1.928489,1.8500503893010105,0.03752403685910741
241,II-VI,M_i_A,Bi,CdSe,1.7755439999999998,1.8860506650783857,0.04254957728699073
242,II-VI,M_i_neut,K,CdO,1.457682,1.5571051192397045,0.04716916953515254
243,II-VI,M_i_A,Sc,CdTe,1.812675,2.0699488970892066,0.027209925733956062
244,II-VI,M_i_B,Ba,CdTe,2.0509009999999996,2.0512258532049614,0.0401163169015982
245,II-VI,M_B,Li,CdTe,1.292829,1.062390443537994,0.0957843271873495
246,II-VI,M_i_B,Rh,CdTe,1.142659,1.3600668458636544,0.02976020692384001
247,IV-IV,M_i_B,P,SiGe,0.732334,0.7780796285496407,0.048814481313928765
248,II-VI,M_i_A,Cu,ZnO,2.340316,2.281602715683536,0.04600180197248179
249,II-VI,M_i_neut,Se,ZnS,1.9839639999999998,2.283754895839448,0.052911058538492796
250,II-VI,M_i_A,Rh,CdTe,1.33744,1.3228826465842285,0.030313605650737395
251,II-VI,M_i_B,Br,CdO,0.95329,0.8266678895772719,0.06089650523181093
252,II-VI,M_i_B,B,CdTe,1.60701,1.2976775548229509,0.04842573079016915
253,IV-IV,M_i_B,N,GeC,1.6048069999999999,1.356127943952806,0.09454251368398732
254,II-VI,M_i_neut,Ru,CdTe,1.380811,1.4668796384723444,0.025163810386073262
255,II-VI,M_i_A,Ru,CdTe,1.535596,1.498647473824342,0.025112082841572955
256,IV-IV,M_i_A,Tl,SiGe,1.1293,0.9851931212262175,0.054377678457403725
257,II-VI,M_i_B,Te,CdS,1.617791,2.0026398177006937,0.04510927212870229
258,II-VI,M_i_B,Tc,CdTe,1.602884,1.6789556001896806,0.019230324776397915
259,II-VI,M_A,C,CdTe,1.410817,0.6704668246660453,0.07220017355180688
260,II-VI,M_i_A,Tc,CdTe,1.5020040000000001,1.6434778718870953,0.02052919667180403
261,III-V,M_i_B,Cd,GaP,1.9437400000000002,1.9315721438452733,0.05903528017934912
262,II-VI,M_B,Na,CdTe,1.556239,1.3374342467558866,0.06385742666099029
263,II-VI,M_i_A,Li,ZnS,3.255855,2.8525075491235157,0.06547859583544152
264,III-V,M_i_B,B,AlSb,1.302994,1.325894261840785,0.08330358594653049
265,II-VI,M_i_B,Mn,ZnS,3.07258,2.9147301366301184,0.05137877204783604
266,III-V,M_B,Os,AlSb,-0.024637,0.3447354762182836,0.07223080345225455
267,III-V,M_i_neut,In,InN,1.976466,2.1100394072821187,0.05906559644303294
268,III-V,M_i_A,Mn,BSb,0.794746,1.0126056771556855,0.07147490654820773
269,II-VI,M_i_A,Cd,CdS,2.412209,2.4262408266692086,0.03334257950251956
270,II-VI,M_B,Al,CdTe,0.8040069999999999,1.1528290403270742,0.0458838957065816
271,II-VI,M_i_A,Ti,CdTe,1.7639340000000001,1.9228960694450763,0.03524750950200304
272,II-VI,M_i_B,S,ZnTe,0.904,1.1154909916220297,0.05425023438025048
273,IV-IV,M_i_B,O,SiSn,-0.137924,0.12186885152360358,0.09363068137959972
274,II-VI,M_i_B,Cd,CdS,2.3701849999999998,2.441432987644537,0.03976661850089707
275,III-V,M_i_A,S,InP,0.561632,0.9414071361855945,0.10504466981284988
276,II-VI,M_i_A,Ir,CdTe,1.362539,1.3762503158542685,0.03189523770458069
277,II-VI,M_B,Cd,CdSe,1.7057060000000002,1.488033411172228,0.06538579315206229
278,II-VI,M_B,Ni,CdTe,1.231834,0.9960403261693468,0.04469984930930932
279,II-VI,M_A,Rh,CdO,1.071787,0.8556333021690918,0.04539355227698023
280,II-VI,M_i_neut,Pt,CdS,1.9542389999999998,1.8442923853893483,0.04009381077421867
281,II-VI,M_i_neut,Sb,ZnTe,1.6789049999999999,1.8226561841510815,0.05415678063306775
282,II-VI,M_i_A,Ca,ZnTe,2.138,1.98548838197719,0.07634468307397375
283,II-VI,M_i_B,Na,ZnTe,2.140171,2.008841082508378,0.06644982242329493
284,II-VI,M_i_B,Bi,CdTe,1.49527,1.8483924426791905,0.03645463019592563
285,II-VI,M_i_B,S,CdS,1.100529,1.5037078262183714,0.04643317209005545
286,II-VI,M_i_B,Ir,CdTe,1.165672,1.433712587641042,0.03280722292233495
287,II-VI,M_i_neut,Rh,CdTe,1.058618,1.2943965378498892,0.03046399101350919
288,III-V,M_i_neut,Br,InP,0.208011,0.676750704596671,0.10118544607871101
289,IV-IV,M_i_A,Os,GeSn,0.206195,0.532410298644181,0.04750388548661934
290,II-VI,M_A,P,ZnS,2.107054,2.1382729743649884,0.09490702793721238
291,II-VI,M_B,Sb,CdTe,0.206551,1.1973555960022293,0.029591490556365195
292,II-VI,M_i_neut,Ca,CdSe,2.297032,2.0483927711374355,0.039107308053484675
293,IV-IV,M_i_neut,Mn,GeC,1.9164169999999998,2.0064155640807604,0.0644553971141938
294,II-VI,M_i_neut,Ca,CdTe,1.88828,1.8975752558362564,0.030955376315871877
295,II-VI,M_B,Zn,CdTe,1.0481989999999999,0.9735886315759075,0.03895982945383132
296,IV-IV,M_A,W,GeC,2.007422,1.5338245426912824,0.08333161777034337
297,III-V,M_i_A,Pd,InN,1.413114,1.660174473265106,0.06431728025267552
298,II-VI,M_i_B,N,CdTe,1.436345,0.8827693969143745,0.04870610223459058
299,III-V,M_i_B,Nb,InSb,0.771596,0.7749550934745504,0.03872304114618097
300,II-VI,M_i_B,Cs,CdTe,1.946552,1.7748397992698117,0.06772973578185348
301,IV-IV,M_i_A,Ta,Ge,0.5320159999999999,0.6961382139275945,0.03998864297131906
302,II-VI,M_i_A,K,ZnSe,2.600635,2.23645864120502,0.05119800543627043
303,II-VI,M_i_neut,Cd,CdO,1.746161,1.9867993510234847,0.03369657187685921
304,II-VI,M_A,Sb,CdTe,1.7537650000000002,1.2577164056539794,0.0401559846081166
305,II-VI,M_i_neut,N,CdTe,1.337782,0.8651647371211073,0.05425584546556581
306,II-VI,M_i_B,Hf,CdTe,1.8650630000000001,1.9667550666939149,0.04000484448126874
307,III-V,M_i_B,La,GaSb,1.016825,1.0977508245159044,0.05591341380577152
308,II-VI,M_i_A,V,CdTe,2.571429,1.7728347448912494,0.03543143366381024
309,II-VI,M_i_B,Sr,CdSe,2.378172,2.0775060799648686,0.039339446306890645
310,II-VI,M_i_B,V,CdTe,1.71833,1.7888623728138633,0.038377617916322077
311,IV-IV,M_A,Na,GeSn,0.347298,0.3462683978892652,0.09251989617994803
312,II-VI,M_i_neut,Tc,CdTe,1.553844,1.6150565308027371,0.02245880041485598
313,IV-IV,M_A,Os,SiC,1.916245,2.063648035600231,0.07307601944432848
