,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
66,IV-IV,M_i_neut,O,GeC,7.144854,7.879309033147152,0.48364989663027996
67,II-VI,M_i_A,Sc,ZnS,4.502325,4.518821528767866,0.126411693264481
68,IV-IV,M_B,Sb,SiC,6.971528999999999,7.706383825463897,0.3928697220312971
69,III-V,M_A,Hf,BAs,7.6093839999999995,4.153873523302105,0.32755571117431265
70,II-VI,M_i_neut,Cs,CdS,4.438366,4.18790687364191,0.1757872497677054
71,IV-IV,M_i_B,C,SnC,7.362067,8.167002214483166,0.31744736495938425
72,IV-IV,M_B,Te,SnC,5.172788,5.4308871894053805,0.3950345429847628
73,IV-IV,M_i_B,F,GeC,6.803752,7.149458047744936,0.3684965466320752
74,II-VI,M_i_neut,Cs,ZnSe,5.745138,5.169441053635256,0.15765443607478993
75,II-VI,M_i_B,Ir,CdS,4.763054,4.487590157070573,0.09439860027210935
76,II-VI,M_i_B,Bi,ZnSe,6.282951000000001,5.534787039313981,0.1381980736816107
77,II-VI,M_i_B,Mg,ZnS,4.931966,4.562818091562247,0.1717972696976827
78,II-VI,M_B,Sr,CdTe,5.331,4.230771182725127,0.24697458582861082
79,II-VI,M_i_neut,Na,ZnO,5.0122480000000005,3.3036481489292355,0.2863096422157707
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,6.487684609858951,0.39128952291175595
81,IV-IV,M_i_B,Al,SiC,6.9505289999999995,7.739359982349534,0.24935474042373296
82,IV-IV,M_A,Rh,GeC,3.480516,3.4062066567813205,0.3574991576216597
83,II-VI,M_B,Ca,CdTe,5.151,3.4299180003329814,0.18444884796201352
84,II-VI,M_i_neut,Ir,ZnS,5.411389,5.113438994297523,0.16522325467463903
85,IV-IV,M_i_B,C,SiGe,6.933628999999999,5.7316265869943495,0.26098881329013185
86,III-V,M_i_B,C,AlAs,7.190668,5.994777366909008,0.19090572256561733
87,III-V,M_A,Te,BP,7.769961,7.30725556367553,0.3264357449140947
88,II-VI,M_i_B,C,CdTe,6.943,6.4384086374507685,0.12286222481471208
89,III-V,M_i_neut,Pb,AlP,6.935306,6.6294007332216385,0.21027859789707465
90,II-VI,M_i_B,Y,CdO,3.839067,4.410016659299079,0.16055881903398248
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.429684610143184,0.12297378457786652
92,II-VI,M_i_A,W,CdTe,6.851,6.382922793363011,0.1084952913539247
93,III-V,M_i_B,Pb,GaP,6.811591,6.681770041513272,0.2578791418192697
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,6.048166200158068,0.16819276630702085
95,II-VI,M_i_neut,W,ZnTe,6.377951,6.287181813656173,0.16617657509541311
96,II-VI,M_i_neut,In,CdO,3.627329,3.2563160601577565,0.18054861434198172
97,II-VI,M_i_B,Sb,CdTe,5.257999999999999,3.7783660961638406,0.08310363765407486
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,5.685085787090865,0.10807544790344781
99,II-VI,M_B,Os,CdTe,5.718,6.071726726506872,0.13300235343934577
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.436797295961877,0.12637949605309814
101,IV-IV,M_B,Bi,GeC,7.388043,6.437987766329391,0.4220139300166286
102,II-VI,M_i_B,Re,CdTe,6.642,5.780459593299999,0.10924642338008424
103,II-VI,M_B,Ru,CdTe,4.654,4.595238767716412,0.13557857963435987
104,II-VI,M_i_A,Al,CdS,4.62634,3.17069721840401,0.10466849211099444
105,II-VI,M_A,Ru,CdO,2.903838,3.3506134713840914,0.18050464377848496
106,II-VI,M_i_A,Pb,CdO,3.534417,3.9517753258244412,0.17324849827349187
107,II-VI,M_B,Tc,CdTe,5.587000000000001,4.827180705683789,0.1017254592038783
108,II-VI,M_B,V,CdTe,4.232,3.2333700698545527,0.1425653295516952
109,II-VI,M_B,Rh,CdTe,4.114,4.385802772276219,0.14506553782052745
110,II-VI,M_i_B,Zr,CdTe,4.454,4.159564597929438,0.0975792355135633
111,II-VI,M_i_B,W,CdTe,6.415,6.479876246133301,0.14687803764827212
112,IV-IV,M_i_neut,Sr,Si,6.397273,4.267263412600736,0.2010705504628649
113,II-VI,M_i_A,Be,CdS,5.087941000000001,2.8773392983788186,0.11347764739801547
114,II-VI,M_i_neut,La,CdTe,4.672,4.194722730001779,0.13861772171784822
115,IV-IV,M_i_A,C,Si,6.357864,5.427700305068972,0.3561708069210569
116,II-VI,M_i_A,Sb,CdTe,4.91,3.7621667769351794,0.10348971785017706
117,II-VI,M_i_neut,W,CdTe,6.27,6.204873463877401,0.11797691597467103
118,II-VI,M_i_neut,Sb,CdTe,4.8,3.656919420331859,0.0847995366552367
119,III-V,M_i_A,Tc,InP,4.828802,4.40909822258408,0.25010131358175297
120,IV-IV,M_B,Au,GeC,5.675841,6.082665605234753,0.3461524692241567
121,III-V,M_i_B,Ti,BAs,6.349291,6.003712181216795,0.26780104944793154
122,II-VI,M_i_B,La,CdSe,4.064545,4.3262494068263875,0.14025753098737634
123,III-V,M_i_B,Mg,GaN,5.071135,6.373928897968973,0.36516858953992604
124,II-VI,M_i_neut,Zr,CdTe,4.1339999999999995,4.086625975201995,0.08765586296394072
125,II-VI,M_B,Cd,CdS,3.163209,2.7540299302371998,0.10658418809831116
126,II-VI,M_i_A,Sn,CdS,3.916097,3.9499101102397773,0.09281737733515026
127,II-VI,M_B,Hf,CdTe,5.159,7.1871970131672445,0.20831911968100195
128,II-VI,M_i_B,Rb,CdS,3.529205,4.03804996093082,0.09238039801618322
129,II-VI,M_i_B,Os,CdTe,6.07,5.437910488370236,0.1251853164869352
130,II-VI,M_i_neut,Y,CdTe,4.121,4.57121547557693,0.08368982355758235
131,II-VI,M_B,Zn,CdS,3.301715,2.4730064062464203,0.14206198149240643
132,II-VI,M_i_B,Be,ZnO,2.7770240000000004,2.91004924361131,0.3660829529466207
133,II-VI,M_i_neut,Nb,CdTe,4.494,4.392557723713257,0.06939179802147742
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,4.922537027382673,0.27041355272135525
135,II-VI,M_B,C,CdTe,5.059,5.339850516648352,0.2303272220838912
136,II-VI,M_i_A,Mo,CdTe,5.242000000000001,4.711384001598395,0.07219590348749336
137,II-VI,M_B,Rh,ZnSe,4.203021,4.052051761231529,0.15147582412402794
138,II-VI,M_i_B,Nb,CdTe,4.417,4.484045641915475,0.07570257489224964
139,III-V,M_i_neut,Sr,AlAs,4.723997,4.410363689071074,0.21644285264701266
140,IV-IV,M_i_A,Fe,SnC,3.64794,5.656615242225451,0.46965266996227545
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,5.540559317082739,0.09260353057562912
142,II-VI,M_i_B,La,CdTe,4.205,4.37819139150997,0.13380166776633384
143,II-VI,M_B,C,ZnSe,4.101471,5.721472522616059,0.1965748909926604
144,II-VI,M_i_A,Os,CdTe,5.862,5.3293476279965,0.10411822958891777
145,IV-IV,M_i_neut,Ta,SiGe,6.032376999999999,4.897568253168857,0.17776586793084853
146,II-VI,M_i_B,Ag,ZnO,4.98645,4.446755344884177,0.18712235818482043
147,II-VI,M_i_B,Sr,CdO,3.334288,4.1823625096330534,0.16217031298148452
148,III-V,M_i_B,Hf,InP,5.149064,5.169290133889322,0.2835363391826907
149,II-VI,M_i_B,Ta,CdTe,5.774,5.802486425224443,0.09961951641212441
150,II-VI,M_B,Cr,CdTe,3.412,2.42420474803684,0.13755358591149325
151,IV-IV,M_B,Pd,SiC,5.755425,6.357842596481961,0.26869547083458567
152,III-V,M_i_B,B,AlP,5.057439,4.312300581909636,0.2280708475877216
153,II-VI,M_i_A,Nb,CdTe,4.188,4.397880623829868,0.06664084808944454
154,III-V,M_i_B,Ta,InAs,4.886297,5.549234783741558,0.20798340626693637
155,III-V,M_i_B,Co,GaN,6.600535000000001,5.388894249687179,0.40111880543449274
156,III-V,M_i_B,W,InAs,5.466696,5.76905135161175,0.2251927409987091
157,III-V,M_i_A,Te,AlAs,6.342025,6.988168364307884,0.13563069156969987
158,II-VI,M_i_B,Ti,CdS,2.358631,3.556648364515219,0.08377965786245578
159,II-VI,M_i_A,Zr,ZnTe,3.730255,4.059584336592069,0.1816389523049755
160,II-VI,M_i_A,Zr,CdTe,3.6180000000000003,4.097743369402256,0.08907222028138927
161,III-V,M_i_neut,Mo,AlP,5.420163,5.267853120444549,0.27073148702385214
162,III-V,M_B,Mg,GaP,3.815344,1.6163157627214009,0.28083336353714095
163,II-VI,M_A,Sb,ZnO,2.699995,5.0809633187339305,0.22518797548653804
164,II-VI,M_B,Rb,CdTe,3.76,3.7541110726219555,0.24802591253889705
165,II-VI,M_A,Ir,CdO,3.5936730000000003,2.561853930857093,0.2630596829716644
166,II-VI,M_i_B,Rh,CdS,3.3271129999999998,3.761004887486348,0.08037568841786487
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,5.548341703526917,0.08587314054993239
168,IV-IV,M_A,Bi,SiC,5.910053,4.595906658070055,0.3836158996497359
169,II-VI,M_i_neut,Sc,CdTe,4.05,3.537015074212232,0.10546531727512426
170,II-VI,M_B,Fe,CdTe,3.136,2.2091092892497577,0.15772689946734367
171,II-VI,M_i_B,As,ZnSe,5.519378,4.458439749495838,0.13814766796537647
172,II-VI,M_B,Co,CdTe,3.0810000000000004,2.728229902873017,0.10017970708605986
173,II-VI,M_i_neut,Ga,CdS,3.507993,2.7591733574955426,0.07635007234152863
174,II-VI,M_i_neut,Mo,CdTe,4.7010000000000005,4.69192522073224,0.07589361030589961
175,II-VI,M_i_neut,Co,CdO,2.646598,2.457797141536761,0.1292420567779306
176,II-VI,M_B,K,CdTe,3.7539999999999996,3.502091350907473,0.24743002698551916
177,II-VI,M_i_B,Y,CdTe,3.497,4.607820531098261,0.06757378416705055
178,II-VI,M_i_A,Te,ZnSe,6.352062999999999,5.521412293016699,0.08718582255388303
179,II-VI,M_B,B,CdTe,4.479,4.730157284313279,0.12989936618942485
180,II-VI,M_B,Be,CdTe,3.762,3.7646899804190594,0.25682756117398964
181,III-V,M_i_neut,W,GaSb,5.420782,6.272834717561059,0.18307149544976323
182,II-VI,M_i_A,Zn,ZnS,3.268056,3.889413052217003,0.11348492423123245
183,II-VI,M_A,Zr,CdS,3.1863580000000002,2.0804528813535916,0.09512713052262559
184,II-VI,M_B,Li,ZnTe,3.4027629999999998,4.019769825804282,0.2555851027631758
185,II-VI,M_i_neut,Ba,CdTe,4.442,3.8773907047372886,0.11715878421370048
186,II-VI,M_i_neut,As,CdS,4.094933999999999,4.301388935873262,0.10005045895680957
187,III-V,M_B,Hf,InSb,4.665163,4.511562938118521,0.24735599704666256
188,II-VI,M_i_B,Mo,CdTe,4.601,4.793008741024552,0.08225728965708518
189,II-VI,M_i_A,Ta,CdTe,5.343,5.680160201703226,0.0795997924430233
190,III-V,M_i_A,Cl,GaP,5.653321,4.457512635724051,0.2351071406559552
191,IV-IV,M_i_neut,La,Ge,5.326147,5.012866960541582,0.14029193536667095
192,II-VI,M_B,Mg,CdTe,3.7889999999999997,3.483269694428807,0.20851495983809365
193,II-VI,M_B,Mn,CdTe,3.194,2.2250069353887896,0.1524492626319618
194,II-VI,M_i_B,B,CdSe,4.871931,4.010702069942225,0.09820342739444997
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,6.166381855592448,0.38111077816995514
196,II-VI,M_i_A,La,CdTe,3.5589999999999997,4.2417222831860295,0.1368462179796947
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,5.164146049158331,0.10894269077190888
198,IV-IV,M_B,Rb,SiGe,5.448151,4.330111947751424,0.3504682188699947
199,II-VI,M_B,Cs,CdTe,3.37,5.023220414022533,0.2737778696056565
200,III-V,M_i_B,Zr,InN,2.1341069999999998,5.4653719076644895,0.31853046498574106
201,II-VI,M_B,Si,CdSe,2.6001819999999998,3.0475609479715304,0.13677343402619657
202,II-VI,M_B,Ir,CdTe,3.951,3.7731925201130982,0.15133748011650466
203,II-VI,M_i_B,Ti,CdTe,3.5389999999999997,3.1361795200197884,0.07586890454082894
204,II-VI,M_i_A,B,CdTe,5.207000000000001,4.126708731154592,0.10640306880293016
205,III-V,M_i_neut,Ir,InP,3.8199959999999997,3.882557615918517,0.2952380404236376
206,II-VI,M_i_B,Ru,CdTe,4.146,4.060784520733513,0.07505882064420454
207,II-VI,M_i_neut,I,ZnSe,6.019228,6.447963844326948,0.1314014241035686
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.872733214787205,0.17197170537651782
209,II-VI,M_i_A,Y,CdTe,3.1439999999999997,4.501848511432317,0.08095912546898273
210,II-VI,M_i_B,Sc,CdTe,3.6439999999999997,3.565664219999231,0.09887348982698005
211,III-V,M_i_B,In,AlAs,4.5806569999999995,3.8405712936210974,0.16686787712443915
212,II-VI,M_i_neut,B,CdTe,5.052,4.131002534353894,0.10621800684570433
213,III-V,M_i_B,Os,GaSb,6.043499,5.561475534708713,0.16566455532647012
214,II-VI,M_i_neut,Ti,CdTe,3.34,3.0883528489715264,0.07630250642091237
215,II-VI,M_B,Tl,ZnSe,2.6308119999999997,2.091194939091453,0.1756693267276822
216,IV-IV,M_i_neut,Rb,SiSn,5.962376,4.812959968852601,0.19396580755222786
217,II-VI,M_i_neut,Cd,CdS,3.307201,2.692373152846592,0.07722683788386972
218,IV-IV,M_i_B,As,SiGe,4.863747,4.264139260389916,0.15274708108199822
219,II-VI,M_A,C,CdSe,6.231954,7.180995023418944,0.2107342984062832
220,III-V,M_i_B,Zn,BSb,5.924497,4.916194121414639,0.2749020010171186
221,II-VI,M_i_neut,Sr,CdTe,3.97,3.33823314143147,0.10934602745419848
222,II-VI,M_i_A,Bi,CdSe,3.952889,3.719211006488147,0.14381816175102208
223,II-VI,M_i_neut,K,CdO,2.835541,3.1776927112023388,0.23094852471225488
224,II-VI,M_i_A,Sc,CdTe,3.4789999999999996,3.5031932222286613,0.09962557285077052
225,II-VI,M_i_B,Ba,CdTe,3.946,3.9430125679761376,0.12703311946597368
226,II-VI,M_B,Li,CdTe,3.6839999999999997,3.820556251230763,0.27739358711787543
227,II-VI,M_i_B,Rh,CdTe,3.458,3.278119629314355,0.07759858313884066
228,IV-IV,M_i_B,P,SiGe,4.7803830000000005,4.14602638425798,0.2534753538409286
229,II-VI,M_i_A,Cu,ZnO,3.014662,3.8067010273391233,0.22164497984580733
230,II-VI,M_i_neut,Se,ZnS,6.272565,6.216052909142283,0.1277174577608457
231,II-VI,M_i_A,Rh,CdTe,3.427,3.2173799959397336,0.0800910371958185
232,II-VI,M_i_B,Br,CdO,5.645980000000001,4.337894166314584,0.22363999597473092
233,II-VI,M_i_B,B,CdTe,4.843,4.147996718685773,0.1004630955188942
234,IV-IV,M_i_B,N,GeC,4.531255000000001,7.573707396965682,0.4199916655857041
235,II-VI,M_i_neut,Ru,CdTe,3.813,3.946529905574068,0.07381561520028677
236,II-VI,M_i_A,Ru,CdTe,3.8080000000000003,4.008116573793307,0.07408280206455772
237,IV-IV,M_i_A,Tl,SiGe,4.810553,4.453372156991956,0.21175256656852945
238,II-VI,M_i_B,Te,CdS,5.7312959999999995,5.128772599209005,0.12011071333312022
239,II-VI,M_i_B,Tc,CdTe,4.78,4.384265955329707,0.07461305391806902
240,II-VI,M_A,C,CdTe,5.707999999999999,7.106596633898443,0.18966942200250678
241,II-VI,M_i_A,Tc,CdTe,4.754,4.315961580159674,0.08695397055652442
242,III-V,M_i_B,Cd,GaP,4.369673000000001,4.89739635010754,0.16262431304400385
243,II-VI,M_B,Na,CdTe,3.178,4.511857364857431,0.22450356594906917
244,II-VI,M_i_A,Li,ZnS,2.336097,2.7776634248111414,0.1808065736772097
245,III-V,M_i_B,B,AlSb,4.777525,3.648122102256744,0.19429738942500066
246,II-VI,M_i_B,Mn,ZnS,1.8154810000000001,3.458242544448777,0.16171864318738358
247,III-V,M_B,Os,AlSb,5.0619559999999995,4.924178766638744,0.19848344509140486
248,III-V,M_i_neut,In,InN,4.520876,5.401406034963346,0.4181643639377648
249,III-V,M_i_A,Mn,BSb,1.8644349999999998,4.715873368044683,0.22422589193033163
250,II-VI,M_i_A,Cd,CdS,3.02337,2.6831942523435925,0.08097025132869093
251,II-VI,M_B,Al,CdTe,2.5989999999999998,2.5798726901313294,0.10462274958270983
252,II-VI,M_i_A,Ti,CdTe,3.008,3.0664731626724473,0.07001268380010846
253,II-VI,M_i_B,S,ZnTe,6.007401,4.711700698938918,0.1391376783671842
254,IV-IV,M_i_B,O,SiSn,4.323297,2.7459854162423767,0.259028797197622
255,II-VI,M_i_B,Cd,CdS,2.987293,2.8366586479828206,0.08156764968599685
256,III-V,M_i_A,S,InP,5.03909,4.481907724030667,0.1714639395458674
257,II-VI,M_i_A,Ir,CdTe,4.311,3.7337093648446023,0.10297749689406765
258,II-VI,M_B,Cd,CdSe,2.090747,1.7385520125454916,0.12482341151570892
259,II-VI,M_B,Ni,CdTe,3.228,2.5789764167435285,0.09660412933573138
260,II-VI,M_A,Rh,CdO,2.915673,2.3776291029412517,0.20626841387618755
261,II-VI,M_i_neut,Pt,CdS,2.982152,3.5461414621293033,0.07785582380266107
262,II-VI,M_i_neut,Sb,ZnTe,4.311339,4.33997167004795,0.11938819135354999
263,II-VI,M_i_A,Ca,ZnTe,3.241119,3.0275825894181674,0.13679299367820205
264,II-VI,M_i_B,Na,ZnTe,3.755551,2.758419543986929,0.15046807101953627
265,II-VI,M_i_B,Bi,CdTe,3.9610000000000003,3.8817567372928203,0.1238709108433095
266,II-VI,M_i_B,S,CdS,5.855580000000001,5.345720863319775,0.12941117453464487
267,II-VI,M_i_B,Ir,CdTe,4.2219999999999995,3.8198565113743173,0.11519784589823712
268,II-VI,M_i_neut,Rh,CdTe,3.1039999999999996,3.150585123788992,0.06936880449690437
269,III-V,M_i_neut,Br,InP,4.884957,4.225339720127009,0.17874024086914994
270,IV-IV,M_i_A,Os,GeSn,4.384718,4.4633946788845735,0.16746715090953534
271,II-VI,M_A,P,ZnS,4.73641,5.187134954977466,0.17561675981972355
272,II-VI,M_B,Sb,CdTe,2.123,1.578777444787778,0.12663927780396075
273,II-VI,M_i_neut,Ca,CdSe,3.217879,2.8565782059272187,0.14637434540120176
274,IV-IV,M_i_neut,Mn,GeC,3.328115,5.875376023658305,0.2937459952859366
275,II-VI,M_i_neut,Ca,CdTe,3.5210000000000004,2.691049173158234,0.09737397726440486
276,II-VI,M_B,Zn,CdTe,2.565,1.43957608518871,0.1239213358082199
277,IV-IV,M_A,W,GeC,3.2998559999999997,2.608845344207244,0.3055315496511969
278,III-V,M_i_A,Pd,InN,5.589995,4.670588648243668,0.38682277108175167
279,II-VI,M_i_B,N,CdTe,4.58,3.6533600927216283,0.1832682466298706
280,III-V,M_i_B,Nb,InSb,3.913903,3.7309529132177213,0.2210802413715791
281,II-VI,M_i_B,Cs,CdTe,3.469,3.881839803726957,0.17382135995656728
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,4.993411658691835,0.17815819030963084
283,II-VI,M_i_A,K,ZnSe,3.099839,3.4818332378939645,0.14598974645801746
284,II-VI,M_i_neut,Cd,CdO,2.319802,2.2540467478936064,0.17948453421385097
285,II-VI,M_A,Sb,CdTe,3.87,2.329358186172617,0.1107510336559857
286,II-VI,M_i_neut,N,CdTe,4.5,3.6335769381033627,0.1719101151398343
287,II-VI,M_i_B,Hf,CdTe,4.315,4.9388910444950564,0.08945718448433276
288,III-V,M_i_B,La,GaSb,4.371508,4.338611767179686,0.23647052495549575
289,II-VI,M_i_A,V,CdTe,2.966,2.7534323226706077,0.09123452758485956
290,II-VI,M_i_B,Sr,CdSe,3.016486,3.4844769748223996,0.14138245157949195
291,II-VI,M_i_B,V,CdTe,2.9410000000000003,2.793100067705663,0.08145217597539602
292,IV-IV,M_A,Na,GeSn,4.465356,4.969587982113884,0.20924841165727814
293,II-VI,M_i_neut,Tc,CdTe,4.277,4.279571271367357,0.08124011654111254
294,IV-IV,M_A,Os,SiC,5.10728,4.720289418561061,0.337668117582502
295,IV-IV,M_i_B,As,SiSn,4.394126,2.8525112836723516,0.1858475248970103
296,III-V,M_B,Hg,BSb,3.5796349999999997,3.7428752057524344,0.3249174579882468
297,II-VI,M_i_neut,Pb,CdTe,3.306,3.0193494773999014,0.12703585084431315
298,III-V,M_i_A,La,AlSb,3.8329489999999997,4.729342799971578,0.16551716455733637
299,II-VI,M_i_A,N,CdTe,4.408,3.6247851191678024,0.18315036803913293
300,II-VI,M_i_B,Sr,CdTe,3.2960000000000003,3.397508187591016,0.14436291086918657
301,II-VI,M_B,Ge,CdSe,2.157188,2.1867940842183415,0.12356190794209483
302,II-VI,M_i_A,Ba,CdTe,3.2739999999999996,3.804469262590564,0.11084231642842662
303,II-VI,M_i_neut,V,CdTe,2.8789999999999996,2.7262220699748365,0.07500377303789155
304,IV-IV,M_B,I,SiGe,4.361028,4.61115120893338,0.24510785191462933
305,III-V,M_i_neut,Ru,AlAs,5.3116389999999996,4.3376453060328,0.2266110309111279
306,II-VI,M_A,Ba,ZnS,2.808519,2.057449630830277,0.19508401641958714
307,II-VI,M_i_neut,Al,CdTe,3.06,2.7673963040829506,0.08675790074051598
308,II-VI,M_i_A,Fe,CdTe,2.807,1.8948458402275776,0.09397674726126588
309,III-V,M_i_A,Cl,AlAs,4.506616,4.649355779672229,0.16361868444761596
310,II-VI,M_i_B,Be,ZnTe,3.431579,2.444865606315774,0.20348496169444055
311,II-VI,M_B,Zn,ZnTe,1.8907200000000002,2.1581643950087352,0.18555426411264705
312,III-V,M_B,O,AlAs,3.8051269999999997,3.680683027177519,0.38342562967471133
313,II-VI,M_i_A,S,CdS,5.4309,5.279618333440993,0.12654660387325076
314,II-VI,M_i_A,Bi,CdTe,3.531,3.7910983153158355,0.12872530213657812
315,IV-IV,M_i_neut,Tl,SiSn,4.869882,4.18488746647313,0.18673701459632017
316,III-V,M_i_A,Ir,GaSb,4.136324,4.2361944359615835,0.20420057705574057
317,II-VI,M_A,Bi,ZnS,4.010057,3.1749648781093818,0.19019746150634653
