SC_type,AB_compound,Def_site,Impuirty_atom,dH-B NN,dH-B Error,dH-B DFT,dH-A NN,dH-A Error,dH-A DFT
II-VI,CdS,M_A,Pd,2.0778735905885695,0.3427466272454449,1.8064872570000001,2.2439962148666384,0.3306375867234545,3.421644545000002
II-VI,CdS,M_A,Pt,2.4561241060495376,0.32751997067668603,2.667656386999998,3.335914760828018,0.4386824685721813,3.7492595999999994
II-VI,CdS,M_A,Rb,2.228190878033638,0.3293276395699519,2.3089132519999978,1.9612228333950044,0.2325110107813724,2.3651146939999994
II-VI,CdS,M_A,Re,3.3157518804073334,0.5325265407317773,2.820027823999997,4.0311410307884215,0.5508392660426782,4.01399368
II-VI,CdS,M_A,Rh,3.003835475444794,0.40563467209605897,3.3005114900000017,2.9525370419025423,0.25243771775381524,2.825609904999997
II-VI,CdS,M_A,Ru,3.5623829662799835,0.4284595489740693,3.693344876999999,3.300359284877777,0.24831240876800978,3.3415409100000026
II-VI,CdS,M_A,S,3.699087417125702,0.16941845352199808,4.064147999999999,5.279892134666443,0.18152766379994367,6.666434000000002
II-VI,CdS,M_A,Sb,2.16859090924263,0.3277091366695216,1.8186345630000016,3.0223493754863737,0.41977590789050756,2.774178473999999
II-VI,CdS,M_A,Sc,2.2387570202350617,0.3710933554574793,1.7976921839999993,1.423331931233406,0.21334187492016018,1.1556921840000007
II-VI,CdS,M_A,Se,3.36681769490242,0.21100175304739716,2.859745000000003,4.795597243309021,0.2482979385496682,5.414887999999997
II-VI,CdS,M_A,Si,2.3029808431863783,0.3606514801087852,2.933327422000002,2.8078028321266175,0.37149584198944624,2.1991712500000014
II-VI,CdS,M_A,Sn,1.4498602479696274,0.27200563188381266,1.1687942370000002,1.811441919207573,0.30964140938137275,1.1565142939999995
II-VI,CdS,M_A,Sr,1.287422552704811,0.37514697121054547,0.8802450079999998,0.8390363097190857,0.2144878016178092,0.8872450080000004
II-VI,CdS,M_A,Ta,2.4883207350969316,0.5934294925981223,1.5316805269999991,2.926925292611122,0.5711690797007255,2.0526433299999995
II-VI,CdS,M_A,Tc,3.437584322690964,0.5145989249698094,3.6654930020000025,2.996447467803955,0.3275936839053352,3.10358497
II-VI,CdS,M_A,Te,2.930635505914688,0.21739679485351726,2.652952776999999,4.207673501968384,0.28999783734802037,5.079142654999999
II-VI,CdS,M_A,Ti,2.2512436717748643,0.45288015155413924,2.5627888749999985,1.5050730615854264,0.2647864352685596,1.632998858
II-VI,CdS,M_A,Tl,0.8496508449316025,0.24302496381743036,0.8371970090000003,1.3933210045099258,0.31905453187193256,1.631339032
II-VI,CdS,M_A,W,3.388641154766083,0.43820462261933063,2.9385455019999975,4.17673978805542,0.43750937182518157,3.8418079799999996
II-VI,CdS,M_A,Y,2.1603771209716798,0.36671368649600594,1.7806671339999984,1.4717434346675873,0.19558359428825206,1.1386671340000014
II-VI,CdS,M_A,Zn,0.5996814932674169,0.19140718762774728,0.3015441629999997,0.716484534740448,0.16658660759293897,0.3085441630000004
II-VI,CdS,M_A,Zr,3.3240106105804443,0.6528459621597752,5.400501999999997,2.190681129693985,0.3959377615136272,3.186357999999999
II-VI,CdS,M_B,Ag,4.312805825471878,0.3372289499026164,3.617794227,2.673138278722763,0.19216638926340968,2.566447980000002
II-VI,CdS,M_B,Al,6.030436360836029,0.39221578184639977,6.965410749,3.4102106213569643,0.29366906748906635,3.6990875759999993
II-VI,CdS,M_B,As,2.564936465024948,0.41569857196169024,2.668795271999998,1.3487895458936692,0.2852550818308518,1.5657344090000007
II-VI,CdS,M_B,Au,3.0787033438682556,0.3458920891528336,2.8896555019999974,2.165017732977867,0.16883734367907818,2.5730434249999985
II-VI,CdS,M_B,B,6.833236289024353,0.31135043561779785,6.877174287999995,4.466639739274979,0.3017056241380151,4.396442973000004
II-VI,CdS,M_B,Ba,9.713514065742492,0.44557732499300173,9.597313424999996,7.040650153160096,0.44504262586953197,6.885295113000003
II-VI,CdS,M_B,Be,7.718341767787933,0.316708397755723,7.3541746360000015,4.780076467990876,0.2514553333946912,4.710136013000002
II-VI,CdS,M_B,Bi,3.4757185339927674,0.4741391726941102,3.9313257169999956,1.8816421031951904,0.29696467025992346,1.7344631950000018
II-VI,CdS,M_B,Br,1.045048713684082,0.1724214921519051,1.326397,0.8903329014778137,0.16252098794971911,0.6042529999999999
II-VI,CdS,M_B,C,7.3476166248321535,0.5507072389076497,6.563419587999995,5.28006192445755,0.48460763984833044,5.2440964150000005
II-VI,CdS,M_B,Ca,9.346129083633423,0.3229749899601182,9.228458215999996,6.256954801082611,0.29346461495814247,6.6111350429999955
II-VI,CdS,M_B,Cd,4.78198493719101,0.3015993715088023,6.134496000000006,2.8086479783058165,0.21010633947160212,3.163208999999998
II-VI,CdS,M_B,Cl,0.9539766490459443,0.19152661903681306,1.3538132910000011,0.8574734032154083,0.17641433443787272,0.6834901180000007
II-VI,CdS,M_B,Co,6.8044917464256285,0.3102198473546524,8.327281590000002,4.179347747564316,0.25817953959084095,5.243847265999997
II-VI,CdS,M_B,Cr,7.2880814909935,0.3080971568252476,7.669345216000005,4.456668519973755,0.25167583942949695,4.441415221000001
II-VI,CdS,M_B,Cs,6.856203162670136,0.6381899355394445,6.059261066000003,4.481363123655319,0.5256864217642375,3.513880518999998
II-VI,CdS,M_B,Cu,5.079435884952545,0.28991580867755373,4.6780377100000035,2.978977745771408,0.17988622341618288,3.369360173999998
II-VI,CdS,M_B,F,1.1558169305324555,0.26621295182848775,1.8959436460000005,1.2873637080192566,0.2453928968154015,1.2256204729999995
II-VI,CdS,M_B,Fe,6.935672903060913,0.3307962218003991,7.139933500000003,4.181408363580704,0.26957659496129904,4.0301472480000005
II-VI,CdS,M_B,Ga,5.2191778182983395,0.28028656346984265,5.603046643,2.86349618434906,0.19432552360937702,2.631217712999999
II-VI,CdS,M_B,Ge,4.940659856796264,0.289122013811814,4.8439449130000005,2.6417479634284975,0.2153517102368078,2.3898776479999992
II-VI,CdS,M_B,Hf,9.961863923072816,0.3258381280536135,9.472902327999993,7.400090765953064,0.31295266268522803,6.139726910000006
II-VI,CdS,M_B,Hg,4.082602578401565,0.3747396113636363,3.8968712660000024,2.498644310235977,0.21082917248463812,2.6729742250000013
II-VI,CdS,M_B,I,1.1979132354259492,0.25295189100592647,1.379845000000001,0.8095429301261902,0.17858964966371763,0.7292729999999994
II-VI,CdS,M_B,In,5.099684298038483,0.2972020622320401,5.5241141399999965,2.9510064244270326,0.20732491368846212,3.342452640000002
II-VI,CdS,M_B,Ir,6.136594903469086,0.3872875167958149,6.197865328999997,4.310625678300857,0.35007485857030096,4.243905183000001
II-VI,CdS,M_B,K,6.654609882831574,0.5023822717035459,6.524621657999999,4.243617689609527,0.319113191096602,4.086657188999996
II-VI,CdS,M_B,La,10.422541570663451,0.3291600722399115,11.753259899999993,7.311225247383118,0.356522702504428,8.375593429999999
II-VI,CdS,M_B,Li,5.671160113811493,0.7131788784098637,5.957413116999994,3.3267774045467378,0.5285673805313306,3.989089944
II-VI,CdS,M_B,Mg,7.253353750705719,0.33332332469247145,7.292543165999999,4.41209961771965,0.24173109287907124,4.675219993000004
II-VI,CdS,M_B,Mn,6.2970991134643555,0.3836841185096429,7.3700160750000006,3.603978008031845,0.29726564208652584,4.343745977999997
II-VI,CdS,M_B,Mo,9.341620588302613,0.2882717743826207,10.4693408,6.6827563643455505,0.3214550014329602,6.6180730899999975
II-VI,CdS,M_B,N,3.244136077165604,0.4112411040742599,3.353852446000001,2.1537879407405853,0.25090852120152307,2.2508626059999988
II-VI,CdS,M_B,Na,7.431766259670257,0.41523964242513356,9.346189999999996,4.779950797557831,0.2950773710897839,5.9359739999999945
II-VI,CdS,M_B,Nb,9.694926166534424,0.2551189622324053,10.695168120000003,6.7875037550926205,0.247924524023347,7.171273125999997
II-VI,CdS,M_B,Ni,5.938279247283935,0.3434084492246233,5.258600438999998,3.51659677028656,0.26270178576155323,3.3065195439999977
II-VI,CdS,M_B,O,1.513785293698311,0.3486094779995984,1.2544766199999988,1.307384017109871,0.29458562768965413,0.5873526799999997
II-VI,CdS,M_B,Os,7.802734386920929,0.39517641443174484,7.4373306779999995,6.0085918545722965,0.3256382812449419,6.118007505000003
II-VI,CdS,M_B,P,2.9738153904676436,0.5129044667094739,3.0045823970000027,1.5299411118030548,0.2944484160256725,1.4021944790000016
II-VI,CdS,M_B,Pb,4.249979418516159,0.36358779865472707,5.196257255999997,2.454202598333359,0.23541271990175258,2.6626230850000026
II-VI,CdS,M_B,Pd,5.649231934547425,0.3382257492091198,3.5305506250000014,3.490204870700836,0.2669633121188093,2.521384740000001
II-VI,CdS,M_B,Pt,4.333247935771942,0.42446624381976816,3.8659097549999997,2.8104538142681124,0.25422399001834717,2.3231897950000007
II-VI,CdS,M_B,Rb,6.730588912963867,0.4942488083316111,6.362926619999997,4.4000890254974365,0.3351507104988959,3.7948048890000026
II-VI,CdS,M_B,Re,9.253763794898987,0.3882666812804175,8.739321191999997,7.29524484872818,0.33837906987113114,7.308963874999998
II-VI,CdS,M_B,Rh,6.791448581218719,0.3566282517891259,7.064644858000003,4.336450386047363,0.31982806864516433,3.9654200999999993
II-VI,CdS,M_B,Ru,7.712401866912842,0.3075803738914289,7.986628245000001,5.095906865596771,0.27472427752863127,5.010501105000002
II-VI,CdS,M_B,S,0.9308842368423939,0.2022862863042829,-4.369997697040162e-10,0.5676336288452148,0.1608116045612109,0.0
II-VI,CdS,M_B,Sb,3.15861229300499,0.4457823329357997,3.2850779310000022,1.6373293817043304,0.2672490770885393,1.6162986690000007
II-VI,CdS,M_B,Sc,9.570441818237304,0.22926346460716351,10.498885550000008,6.368123781681061,0.2617325112716605,7.232562378999999
II-VI,CdS,M_B,Se,0.9633721835911274,0.227287563610912,0.0726899999999997,0.534422904253006,0.1506544813408253,0.025545999999999847
II-VI,CdS,M_B,Si,5.463915586471558,0.3459232487978097,6.160050790000007,3.044912040233612,0.26131705936526994,2.8015714449999973
II-VI,CdS,M_B,Sn,4.5130257368087765,0.2874069094039713,5.021407605000006,2.4265358805656434,0.18816689469909983,2.3848044890000004
II-VI,CdS,M_B,Sr,9.415349674224853,0.3711310279354874,9.291238376000006,6.582177555561065,0.35533109049548134,6.673915203000004
II-VI,CdS,M_B,Ta,9.840669631958008,0.4155113988580736,9.877483895000008,7.519680738449097,0.31640490166915747,7.774123524999995
II-VI,CdS,M_B,Tc,8.789819586277009,0.37692524901154595,9.296886369999998,6.137700569629669,0.3700750316369963,6.110655164999998
II-VI,CdS,M_B,Te,1.502194121479988,0.3636295632440881,0.6358661450000003,0.7631518483161926,0.21906054244180642,0.4377328499999999
II-VI,CdS,M_B,Ti,9.307832407951356,0.24008730258984626,10.450382240000007,6.214682137966156,0.23332977524616236,6.896269053
II-VI,CdS,M_B,Tl,4.566082465648651,0.26603128320235586,4.753950376999997,2.7668813705444335,0.17610361009706899,2.9237692269999975
II-VI,CdS,M_B,V,8.954464435577393,0.2963644760743807,9.186192878999993,5.925060570240021,0.28357634666071607,5.751865369999996
II-VI,CdS,M_B,Zn,4.984147155284882,0.3357310073400814,6.048001999999998,2.8155416667461397,0.21772334866918597,3.3017150000000006
II-VI,CdS,M_i_A,Ag,2.5473904252052306,0.2557868209637254,2.1716008589999993,2.287681657075882,0.14836136499965744,2.4395777849999982
II-VI,CdS,M_i_A,Al,5.5573331952095035,0.36720026065716904,6.578055000000004,3.871954846382141,0.2591371724726104,4.62634
II-VI,CdS,M_i_A,As,4.774991679191589,0.24580867933275963,4.521491903999997,4.55191947221756,0.21326880568706863,4.737754214000004
II-VI,CdS,M_i_A,Au,2.763760006427765,0.19225653147711755,2.751822133999998,2.8850017189979553,0.20668067164570378,3.7545332299999963
II-VI,CdS,M_i_A,B,6.111851871013641,0.30249693461772115,6.762310920000003,5.186200225353241,0.25880189337395465,5.600902778000004
II-VI,CdS,M_i_A,Ba,6.272275388240814,0.5931335891200409,5.600030056999999,4.276009833812713,0.4928851629252022,4.207334917999997
II-VI,CdS,M_i_A,Be,5.233080816268921,0.27313640270495254,6.389083999999998,3.344848018884659,0.22618661967518913,5.087941000000002
II-VI,CdS,M_i_A,Bi,5.353173792362213,0.29998473904857104,5.7792523489999965,4.578214883804321,0.2667500053307064,4.901713
II-VI,CdS,M_i_A,Br,3.9139655232429504,0.25273645990488625,3.698975806999999,4.7713316679000854,0.21675914086311132,4.347975807000002
II-VI,CdS,M_i_A,C,7.842777359485626,0.37603020363514955,7.242426220000003,7.460336971282959,0.3739072963749354,7.242426220000003
II-VI,CdS,M_i_A,Ca,5.220486986637115,0.26501390241775347,4.328844847999998,3.150505357980728,0.14595361793971964,3.0308448480000005
II-VI,CdS,M_i_A,Cd,3.9552204966545106,0.26584416592815724,4.693513999999996,2.9130112886428834,0.20487732658544883,3.02337
II-VI,CdS,M_i_A,Cl,3.399461680650711,0.24660435020038615,3.0729099229999983,4.337669205665589,0.31404071242241255,3.7219099229999992
II-VI,CdS,M_i_A,Co,4.658098721504212,0.40456158651018437,6.728878221999997,3.090312296152115,0.29068108361491063,4.9647670710000025
II-VI,CdS,M_i_A,Cr,4.815554213523865,0.2435208965838366,4.814891848000001,2.9590984761714934,0.12908300516699378,2.906285026000002
II-VI,CdS,M_i_A,Cs,5.54948457479477,0.8161004781512774,4.556377698000003,3.997388994693756,0.5547629610395635,3.3303203239999997
II-VI,CdS,M_i_A,Cu,3.203152072429657,0.4497315041812464,3.079634342000002,2.4708965957164764,0.1969996090012568,3.0902799790000013
II-VI,CdS,M_i_A,F,2.042108526825905,0.33359138208123423,1.5921802780000005,2.8211393475532534,0.43013021716910044,2.241180278000001
II-VI,CdS,M_i_A,Fe,4.482424676418304,0.2593208016387983,5.338430132000005,2.761192101240158,0.16393384519536403,3.547967052999998
II-VI,CdS,M_i_A,Ga,4.469972252845764,0.3148226474741868,4.007703275000001,3.121855300664902,0.22485106755522904,2.355197517999998
II-VI,CdS,M_i_A,Ge,5.318812108039856,0.3424304444466682,4.841511545000002,3.983655023574829,0.2323916150593284,3.7067674529999985
II-VI,CdS,M_i_A,Hf,6.129051911830902,0.31596399532388353,5.3632989600000025,4.144987779855728,0.2612264050612112,3.349446715
II-VI,CdS,M_i_A,Hg,3.4657971918582917,0.19948834536134097,2.7665478979999993,2.8506627678871155,0.17995236727960243,2.8619740299999994
II-VI,CdS,M_i_A,I,4.577946102619171,0.30526722270804835,4.740095747999996,5.194574439525605,0.26068760202212216,5.389095747999996
II-VI,CdS,M_i_A,In,4.6644626438617705,0.2854407293167637,4.314740771999996,3.4610481202602386,0.22567887350943264,3.4524024450000006
II-VI,CdS,M_i_A,Ir,5.213402009010315,0.24486125476689258,5.676951960999995,4.651812648773193,0.2228344275277936,5.042314987999996
II-VI,CdS,M_i_A,K,3.9571720361709595,0.4693772677221635,3.1628682900000022,2.79906405210495,0.19649742016291855,2.0442269939999993
II-VI,CdS,M_i_A,La,7.1792781233787535,0.41020315962568105,6.6082065289999985,4.672320401668548,0.32438246655930447,4.549863235000003
II-VI,CdS,M_i_A,Li,2.277565982937813,0.6297090643319954,1.9190697490000015,1.6315328478813171,0.337328428873102,1.2700697490000008
II-VI,CdS,M_i_A,Mg,4.519379341602326,0.2990960528994508,4.279379798,2.7911839187145233,0.18606955246120213,2.9813797980000025
II-VI,CdS,M_i_A,Mn,4.129924690723419,0.2934382885011961,4.834362706999998,2.4364224493503572,0.16369605100896392,3.1274157830000027
II-VI,CdS,M_i_A,Mo,7.272899961471557,0.2822555467593245,9.266751,5.429397916793823,0.25968876077385433,6.664465000000004
II-VI,CdS,M_i_A,N,4.4326020121574405,0.3449801025490028,4.482209078000002,4.972111093997955,0.24534549850897908,4.698542411000004
II-VI,CdS,M_i_A,Na,3.7076302409172057,0.4070621358380594,3.9277368870000005,2.6556095600128176,0.1732212446004509,3.129484449000002
II-VI,CdS,M_i_A,Nb,7.263387191295624,0.2956150826049052,6.802344752000005,4.966165292263031,0.2491321809552288,4.597772931000001
II-VI,CdS,M_i_A,Ni,4.073369187116623,0.3830221119624586,4.114587070999999,2.7691534876823427,0.23325267360726712,3.481829348999999
II-VI,CdS,M_i_A,O,3.5153709590435027,0.290242580865576,3.6273332520000006,4.584205311536789,0.34079232743833243,4.2795324850000025
II-VI,CdS,M_i_A,Os,6.336760663986206,0.2564619758873814,6.575287309999996,5.940186417102813,0.22120957512250555,6.575287309999996
II-VI,CdS,M_i_A,P,4.569257938861847,0.3019406426421099,4.927209029000002,4.902385008335114,0.2172823975996952,4.644144283999995
II-VI,CdS,M_i_A,Pb,4.853326392173767,0.2818600933935618,4.735883887999998,3.8566252529621123,0.2563128875408021,3.5215728900000003
II-VI,CdS,M_i_A,Pd,3.785428690910339,0.28213139466110715,2.540807256999998,2.8269118547439573,0.22601396610983834,2.8509645449999974
II-VI,CdS,M_i_A,Pt,4.08297672867775,0.2330325106447752,4.257966387000001,3.6277388513088225,0.24277407634864057,4.034569599999998
II-VI,CdS,M_i_A,Rb,4.619822341203689,0.6251201722262677,4.068153252000001,3.3144252002239227,0.31055122507447036,2.8193546939999985
II-VI,CdS,M_i_A,Re,7.3426960706710815,0.37048863767846807,6.732287823999998,6.468202114105225,0.27723086467112545,6.621253679999997
II-VI,CdS,M_i_A,Rh,5.143509554862976,0.27333214072533446,5.447981489999997,3.8448467016220094,0.20441105567221957,3.6680799050000013
II-VI,CdS,M_i_A,Ru,6.006638610363007,0.28262022494980443,6.151374876999997,4.417809593677521,0.16217242463488377,4.494570909999996
II-VI,CdS,M_i_A,S,3.942137396335602,0.19676389422758978,4.129755999999998,5.096408677101135,0.2162150517055677,5.430900000000002
II-VI,CdS,M_i_A,Sb,5.5780122637748715,0.2933874465638052,5.402744563,4.977986407279968,0.2945584987828658,5.0532884739999995
II-VI,CdS,M_i_A,Sc,6.456302547454834,0.28157539977082535,6.228192183999996,4.044454056024551,0.22606077551376544,4.281192183999999
II-VI,CdS,M_i_A,Se,4.004577308893204,0.2546496859875905,3.8256606250000003,4.805143332481384,0.2419694964312151,5.123660625000005
II-VI,CdS,M_i_A,Si,5.764790964126587,0.3461621748564315,6.623747422000005,4.8169975757598875,0.2798955852144896,4.584591249999997
II-VI,CdS,M_i_A,Sn,5.248216068744659,0.3412449784400126,6.1312399999999965,3.9554404079914094,0.24439280657764584,3.9160969999999993
II-VI,CdS,M_i_A,Sr,5.494075512886047,0.48974841418424264,4.716165007999998,3.5749771535396575,0.3858226048662844,3.4181650080000012
II-VI,CdS,M_i_A,Ta,7.386169517040253,0.3637012161171963,10.113272999999994,5.811666345596313,0.32078231145148556,6.769985999999998
II-VI,CdS,M_i_A,Tc,6.6944079279899595,0.2861567884352436,7.216523001999998,4.950566720962525,0.24559360464734648,5.349614970000003
II-VI,CdS,M_i_A,Te,4.943694174289703,0.3809828808481605,4.6469127770000025,5.187167942523956,0.2704442851444813,5.768102655000005
II-VI,CdS,M_i_A,Ti,5.960223722457886,0.2761719600177354,6.394548874999999,3.6268381476402283,0.2522712636752685,4.159758858000003
II-VI,CdS,M_i_A,Tl,3.7831014573574064,0.2772288027828241,3.3674670089999976,2.8685595631599425,0.18453252473667986,2.8566090319999984
II-VI,CdS,M_i_A,V,5.933018803596497,0.29235248620128323,6.038749510999998,3.675753492116928,0.24878178901325013,3.923745174999996
