,Type,Site,Impurity,AB,(-1/-2)_DFT,train_mean,train_std
62,II-VI,M_B,Co,ZnS,3.185677,3.125216131918297,0.06982964987121498
63,III-V,M_i_A,W,BP,2.226279,2.036619873409407,0.04701161933302156
64,III-V,M_B,Ba,InP,1.968646,1.5263360419768421,0.056257995526970514
65,III-V,M_B,La,GaAs,1.296742,1.4506200596587238,0.05701228281192087
66,II-VI,M_B,Si,ZnS,1.9715200000000002,3.1666666946522257,0.04646985317105249
67,II-VI,M_i_B,Sn,CdO,2.396583,2.1753633508636994,0.03266216907105547
68,III-V,M_i_B,Tc,BAs,1.6639580000000003,1.7087389062793434,0.04516614695194297
69,II-VI,M_B,Os,CdSe,1.8707470000000002,1.7414621418717005,0.03972020368054495
70,II-VI,M_B,Mo,CdTe,1.425733,1.6451107623189212,0.027986104074831666
71,II-VI,M_B,Re,CdTe,1.7442990000000003,1.4888951360104752,0.0372133021320472
72,II-VI,M_i_A,Ba,ZnSe,3.293708,3.3571500746336356,0.051538252417984536
73,II-VI,M_B,Ti,CdTe,1.39895,1.8807714403478215,0.022420364765224993
74,II-VI,M_B,Sc,CdTe,1.660697,1.9421126730839113,0.020632522306924854
75,II-VI,M_i_A,Cl,ZnO,2.815788,2.9532377722909757,0.05698829415145209
76,II-VI,M_B,Ta,CdTe,1.4090129999999998,1.5915899945606138,0.02735719991977191
77,II-VI,M_B,Ba,CdTe,2.0860689999999997,2.04352894823743,0.024246361200677646
78,IV-IV,M_i_neut,O,GeC,0.715697,2.1955462853814796,0.0481800712584327
79,II-VI,M_i_A,Sc,ZnS,3.794865,3.7957208643223543,0.04255281198453169
80,II-VI,M_i_neut,Ti,ZnS,3.691995,3.7114222531287906,0.041594440814545774
81,IV-IV,M_B,Sb,SiC,3.225696,3.2572462991291227,0.033965043299638474
82,III-V,M_A,Hf,BAs,2.096178,2.03162672178115,0.055792591840619084
83,II-VI,M_i_neut,Cs,CdS,3.0634740000000003,3.006364729456063,0.049829953180067006
84,IV-IV,M_i_B,C,SnC,2.010536,1.8756572417127653,0.045869122005651415
85,IV-IV,M_B,Te,SnC,2.454275,2.2921124574952167,0.04480028413175633
86,IV-IV,M_i_B,F,GeC,2.683869,2.487998968173791,0.09120231346789995
87,II-VI,M_i_neut,Cs,ZnSe,3.317415,3.4224364400156815,0.062479068759690407
88,IV-IV,M_A,Pb,SnC,2.179812,1.9309938351319231,0.06362504142964605
89,II-VI,M_i_B,Ir,CdS,2.265716,2.6904541385916696,0.033663216277147384
90,II-VI,M_i_B,Bi,ZnSe,2.6872580000000004,2.732564838145056,0.03871708225207826
91,II-VI,M_i_B,Mg,ZnS,4.208352,3.7125336681086565,0.04666189631753355
92,II-VI,M_B,Sr,CdTe,1.985532,2.076600681540379,0.019026753378541744
93,II-VI,M_i_neut,Na,ZnO,3.5529800000000002,3.5414068529696836,0.05042768847442165
94,IV-IV,M_i_neut,Zn,SiC,3.174117,3.1154804124301676,0.03126962850819139
95,IV-IV,M_i_B,Al,SiC,3.130156,3.0756137926285545,0.037343699720588104
96,II-VI,M_B,I,ZnO,3.777396,3.632383248824835,0.10262719130527394
97,IV-IV,M_A,Rh,GeC,2.2193009999999997,2.3484166446186685,0.06048629363679787
98,II-VI,M_B,Ca,CdTe,1.848559,2.0968793831429893,0.019718885061949038
99,II-VI,M_i_neut,Ir,ZnS,3.4895660000000004,3.4576851152971324,0.04259746119609113
100,IV-IV,M_i_B,C,SiGe,0.756983,0.9722415843455107,0.03195382959874845
101,IV-IV,M_B,Re,SnC,2.026084,2.018208571957378,0.042627271391682056
102,III-V,M_i_B,C,AlAs,1.698216,1.7605924339766381,0.056287032860832274
103,III-V,M_A,Te,BP,2.347328,2.5750898513147495,0.0670269167151121
104,II-VI,M_i_B,C,CdTe,1.8858990000000002,1.5449955103955926,0.0290969559140324
105,III-V,M_i_neut,Pb,AlP,2.607391,2.645958497140442,0.04033158987151508
106,IV-IV,M_B,Li,GeC,1.8387470000000001,2.6482221817339058,0.07475660813148054
107,II-VI,M_i_B,Y,CdO,2.420577,2.26923252027194,0.029793254463411592
108,II-VI,M_i_A,C,CdTe,1.616738,1.5389177505475622,0.029543573202515078
109,II-VI,M_i_A,W,CdTe,1.986989,1.8800686116697078,0.024974781001322183
110,IV-IV,M_A,As,SnC,2.046465,1.9075318301096735,0.059197222790366384
111,III-V,M_i_B,Pb,GaP,2.4351700000000003,2.344618092641274,0.06266932959263195
112,IV-IV,M_i_neut,W,SnC,2.16598,2.0356022710650015,0.05248663950985707
113,II-VI,M_i_A,C,ZnTe,1.350499,1.477972717918025,0.07119615474565849
114,II-VI,M_i_neut,W,ZnTe,2.258779,2.138498317981467,0.034810901947324856
115,II-VI,M_i_neut,In,CdO,2.2540259999999996,2.1553359601286872,0.03073524612929283
116,II-VI,M_i_B,Sb,CdTe,1.7494459999999998,2.0114445502442893,0.020066749603006823
117,II-VI,M_i_A,Re,CdTe,1.8364779999999998,1.9806500737817068,0.027763413710470974
118,II-VI,M_B,Os,CdTe,1.463419,1.3958538916065408,0.03427497643209936
119,II-VI,M_i_neut,C,CdTe,1.886039,1.5413712382182223,0.03189148707717476
120,IV-IV,M_B,Bi,GeC,2.9441919999999997,2.6706650335436595,0.054031653287049314
121,II-VI,M_i_B,Re,CdTe,1.77777,1.98150939216902,0.03335663139184252
122,II-VI,M_B,Ru,CdTe,1.4358950000000001,1.580118878879495,0.030033619513893068
123,II-VI,M_A,O,CdS,2.07995,1.913222242946651,0.03972175004818436
124,II-VI,M_i_A,Al,CdS,3.0340740000000004,2.790886657467226,0.03903548068073636
125,II-VI,M_A,Ru,CdO,2.07777,1.8598235757638846,0.04206887932528256
126,II-VI,M_i_A,Pb,CdO,2.4126279999999998,2.182152659947165,0.040964153860328714
127,II-VI,M_B,Tc,CdTe,1.7526830000000002,1.5914173481177794,0.02528915732238489
128,II-VI,M_B,V,CdTe,1.733701,1.7836151036969174,0.021590327123867672
129,II-VI,M_B,Rh,CdTe,1.730015,1.5620000579303905,0.024844015309695426
130,II-VI,M_i_B,Zr,CdTe,2.196184,2.1696532518247627,0.016619658049466128
131,II-VI,M_i_B,W,CdTe,2.092259,1.882362596839601,0.030114368532122255
132,IV-IV,M_i_neut,Sr,Si,1.44038,1.3884646908777065,0.04165317619404183
133,II-VI,M_i_A,Be,CdS,2.6483220000000003,2.665760601683766,0.0410843001044219
134,II-VI,M_i_neut,La,CdTe,2.249895,2.2595933895898948,0.03398130060336592
135,IV-IV,M_i_A,C,Si,0.904148,1.0517042704298356,0.027731259343773348
136,II-VI,M_i_A,Sb,CdTe,1.8009279999999999,2.013007483268426,0.018441572623995973
137,II-VI,M_i_neut,W,CdTe,2.031557,1.8816978633888646,0.022623394291989937
138,II-VI,M_i_neut,Sb,CdTe,2.0124009999999997,2.015852511253917,0.017898645941239192
139,III-V,M_i_A,Tc,InP,1.665057,1.5942174580236703,0.03107698367657481
140,IV-IV,M_B,Au,GeC,2.615014,2.532439317840198,0.06386951807751676
141,III-V,M_i_B,Ti,BAs,1.894653,1.8544952395536076,0.05391508346318004
142,II-VI,M_i_B,La,CdSe,2.7344310000000003,2.4947549273348053,0.03754800040796004
143,III-V,M_i_B,Mg,GaN,4.5119739999999995,4.214702775734296,0.0941681722095911
144,II-VI,M_i_neut,Zr,CdTe,2.089487,2.1685340059903786,0.015822679921500157
145,II-VI,M_B,Cd,CdS,2.3993919999999997,2.599956600590578,0.03773574126488543
146,II-VI,M_i_A,Sn,CdS,3.025235,2.7776831357571004,0.02481272520996044
147,II-VI,M_B,Hf,CdTe,1.3888479999999999,1.6556515846444164,0.024862733082163118
148,II-VI,M_i_B,Rb,CdS,3.2276599999999998,3.086757312564771,0.039188580158169666
149,II-VI,M_i_B,Os,CdTe,1.9197950000000001,1.9251485981660905,0.025213300390060967
150,II-VI,M_i_neut,Y,CdTe,2.193402,2.2064931736193465,0.018596815243815314
151,II-VI,M_B,Zn,CdS,2.232239,2.595022524152845,0.03476555045797227
152,II-VI,M_i_B,Be,ZnO,3.507357,3.1376051404865217,0.05088520164672774
153,II-VI,M_i_neut,Nb,CdTe,2.097759,2.070983262379533,0.012063962604564831
154,IV-IV,M_i_A,Pb,Si,1.50406,1.4714562990283397,0.026542526018497267
155,II-VI,M_B,C,CdTe,0.322891,1.3392092471752108,0.03815106082115858
156,II-VI,M_i_A,Mo,CdTe,2.0893650000000004,1.9096906914605207,0.02136242430576571
157,II-VI,M_B,Rh,ZnSe,2.5822599999999998,2.4153258311607466,0.042025211301012694
158,II-VI,M_i_B,Nb,CdTe,2.03383,2.0699721606324877,0.013651166263956295
159,III-V,M_i_neut,Sr,AlAs,2.440962,2.0214082077654543,0.07249354450837053
160,IV-IV,M_i_A,Fe,SnC,2.23248,2.0996958054745165,0.044060435114943994
161,II-VI,M_i_neut,Re,CdTe,1.9064709999999998,1.9818758023270184,0.02857434894398811
162,II-VI,M_i_B,La,CdTe,2.4052029999999998,2.2731923016393543,0.03311971859494303
163,II-VI,M_B,C,ZnSe,0.6326390000000001,1.9181513221039377,0.04749776252989436
164,II-VI,M_i_A,Os,CdTe,1.908196,1.9251653279739913,0.02211312621026608
165,IV-IV,M_i_neut,Ta,SiGe,2.0,1.1424274198442472,0.03045913184269821
166,II-VI,M_i_B,Ag,ZnO,3.5569129999999998,3.311023179772976,0.04093703343917009
167,II-VI,M_i_B,Sr,CdO,2.383832,2.344267906110386,0.02791359793610332
168,III-V,M_i_B,Hf,InP,1.915879,1.8045010232836731,0.04941033246956839
169,II-VI,M_i_B,Ta,CdTe,1.994363,2.0938553811292935,0.018333938040699067
170,II-VI,M_B,Cr,CdTe,1.590006,1.803501540258378,0.02206047674353312
171,IV-IV,M_B,Pd,SiC,3.1794700000000002,2.9949521237991927,0.0351626759523306
172,III-V,M_i_B,B,AlP,2.525787,2.324557203455135,0.04764450235394238
173,II-VI,M_i_A,Nb,CdTe,2.204728,2.0696605172712217,0.013425678016869844
174,III-V,M_i_B,Ta,InAs,1.450297,1.273907604062662,0.04332579577268119
175,III-V,M_i_B,W,InAs,1.340062,1.1862131716160345,0.03157197099852315
176,III-V,M_i_A,Te,AlAs,1.738936,2.092471000952931,0.043064327312096765
177,II-VI,M_i_B,Ti,CdS,3.065039,2.879826407680323,0.029849637984786535
178,II-VI,M_i_A,Zr,ZnTe,2.288992,2.460111990494043,0.039797750208337396
179,II-VI,M_i_A,Zr,CdTe,2.1457040000000003,2.167853082078831,0.014915907451660127
180,III-V,M_i_neut,Mo,AlP,2.095523,2.3223024451219896,0.027968819550212173
181,III-V,M_B,Mg,GaP,1.6075700000000002,2.016109897653419,0.06401911567519528
182,II-VI,M_A,Sb,ZnO,3.4947239999999997,3.309240338514312,0.04638838390195472
183,II-VI,M_B,Rb,CdTe,2.287602,2.1091083407162667,0.028713937546103057
184,II-VI,M_A,Ir,CdO,1.9678259999999999,1.8770168087441905,0.03910984944951385
185,II-VI,M_i_B,Rh,CdS,2.3031349999999997,2.623623922491722,0.03556489128209257
186,II-VI,M_i_neut,Ta,CdTe,2.092156,2.097029422189515,0.021114840889344278
187,IV-IV,M_A,Bi,SiC,3.207871,3.102014778500462,0.050177850049149667
188,II-VI,M_i_neut,Sc,CdTe,2.163615,2.1577232307382417,0.022365532737799818
189,II-VI,M_B,Fe,CdTe,1.657574,1.7486210157019833,0.025075365070264272
190,II-VI,M_i_B,As,ZnSe,2.281319,2.4516578908611804,0.036241731942734334
191,II-VI,M_B,Co,CdTe,1.587807,1.6598826415370262,0.021110719350134057
192,II-VI,M_i_neut,Ga,CdS,2.991164,2.7210211564829416,0.024081621430953343
193,II-VI,M_i_neut,Mo,CdTe,2.0051509999999997,1.9103767007581638,0.02031904903726657
194,II-VI,M_i_neut,Co,CdO,2.139425,1.9183884863642109,0.026336598976315365
195,II-VI,M_B,K,CdTe,2.213833,2.0886810789761454,0.024166944745760897
196,II-VI,M_i_B,Y,CdTe,2.4414830000000003,2.2102503621968888,0.019970291109074518
197,II-VI,M_i_A,Te,ZnSe,2.06412,2.5148197655751803,0.03423612299331928
198,II-VI,M_B,B,CdTe,0.660665,1.5142204125302987,0.02966989882475749
199,II-VI,M_B,Be,CdTe,1.123679,1.6915720157001133,0.034393901271867096
200,III-V,M_i_neut,W,GaSb,0.820047,0.8799373621348094,0.060460454575180296
201,II-VI,M_i_A,Zn,ZnS,3.809917,3.5618390038435885,0.04254880719799522
202,II-VI,M_A,Zr,CdS,2.7500709999999997,2.893871989260585,0.03107585555036751
203,II-VI,M_B,Li,ZnTe,1.739409,2.063653246708575,0.07228365929101603
204,II-VI,M_i_neut,Ba,CdTe,2.326003,2.3495340787375123,0.025233214024254366
205,II-VI,M_i_neut,As,CdS,2.487714,2.6016920553336913,0.029250736496586605
206,III-V,M_B,Hf,InSb,0.7883939999999999,0.5347752519323754,0.06335439704817901
207,II-VI,M_i_B,Mo,CdTe,2.157433,1.9130979720602994,0.02142124248140103
208,II-VI,M_i_A,Ta,CdTe,2.2714090000000002,2.0960511017554446,0.019332993462033717
209,III-V,M_i_A,Cl,GaP,2.1246709999999998,1.9316493834227502,0.05930809307046614
210,IV-IV,M_i_neut,La,Ge,0.8784120000000001,0.9865423255814545,0.03622785342617477
211,II-VI,M_B,Mg,CdTe,1.5605069999999999,1.9709122048173036,0.032150414758889974
212,II-VI,M_B,Mn,CdTe,1.576849,1.7814793047003605,0.023437417814992555
213,II-VI,M_i_B,B,CdSe,2.524871,1.9496688814320557,0.03342895173885795
214,IV-IV,M_B,Rh,SiC,3.0842099999999997,2.9754746487180377,0.03502522528136252
215,II-VI,M_i_A,La,CdTe,2.261479,2.258862853006195,0.033609052128959434
216,II-VI,M_i_neut,Os,CdTe,1.9694630000000002,1.9277813367848586,0.023964034621310623
217,IV-IV,M_B,Rb,SiGe,0.736234,1.0724559912545293,0.0430003043342093
218,II-VI,M_B,Cs,CdTe,1.797447,1.9520628097770019,0.03901890611765159
219,III-V,M_i_B,Zr,InN,2.462416,2.3747271767241167,0.04526928796108999
220,II-VI,M_B,Si,CdSe,1.068368,2.079484323194895,0.04806480406247419
221,II-VI,M_B,Ir,CdTe,1.7183549999999999,1.39378847739141,0.033775086742077944
222,II-VI,M_i_B,Ti,CdTe,2.193137,2.1007917222854395,0.013489447954365272
223,II-VI,M_i_A,B,CdTe,1.658986,1.7184126340310375,0.03133637026189179
224,III-V,M_i_neut,Ir,InP,1.7039830000000002,1.6787240118488025,0.03213710195459017
225,II-VI,M_i_B,Ru,CdTe,2.031489,1.8776960022232991,0.020287431892401772
226,II-VI,M_i_neut,I,ZnSe,2.907334,2.595624746312158,0.04082679729551749
227,IV-IV,M_i_neut,Zr,Ge,0.870302,0.901919343076875,0.027134205716970825
228,II-VI,M_i_A,Y,CdTe,2.26021,2.2079962629109104,0.01955305178827213
229,II-VI,M_i_B,Sc,CdTe,2.335259,2.159474338252681,0.01994216070894541
230,III-V,M_i_B,In,AlAs,2.38089,2.1412103225529844,0.04489124356717954
231,II-VI,M_i_neut,B,CdTe,2.0074110000000003,1.7183378395887012,0.031934387474956756
232,III-V,M_i_B,Os,GaSb,0.613161,0.8902897328627329,0.0436223096631685
233,II-VI,M_i_neut,Ti,CdTe,2.157861,2.1014756551221763,0.012691078386879193
234,II-VI,M_B,Tl,ZnSe,2.341133,2.440357617363897,0.03817863952964874
235,IV-IV,M_i_neut,Rb,SiSn,1.2,1.0614138571138743,0.03677908548388887
236,II-VI,M_i_neut,Cd,CdS,2.7628220000000003,2.863631262177867,0.027298845422163643
237,IV-IV,M_i_B,As,SiGe,1.038329,1.2035817331634753,0.02757793183737998
238,II-VI,M_A,C,CdSe,1.911994,1.744702085699466,0.033023562631303426
239,III-V,M_i_B,Zn,BSb,1.7222119999999999,1.5259910631950913,0.05185206639821382
240,II-VI,M_i_neut,Sr,CdTe,2.322479,2.2899346833607743,0.022860302418939746
241,II-VI,M_i_A,Bi,CdSe,2.214091,2.264718375036609,0.03289499643570548
242,II-VI,M_i_neut,K,CdO,2.28612,2.274831426432738,0.03525265276813959
243,II-VI,M_i_A,Sc,CdTe,2.152307,2.154335238164879,0.02064724393677814
244,II-VI,M_i_B,Ba,CdTe,2.532009,2.3546995610267816,0.026813408543734027
245,II-VI,M_B,Li,CdTe,1.6473080000000002,1.7729748772143226,0.0501772119485621
246,II-VI,M_i_B,Rh,CdTe,1.858803,1.8620950368068718,0.01892892093769818
247,IV-IV,M_i_B,P,SiGe,0.910092,0.9313113024935248,0.02802352428153557
248,II-VI,M_i_A,Cu,ZnO,3.5214160000000003,3.169932236670812,0.0370836283143799
249,II-VI,M_i_neut,Se,ZnS,2.6660169999999996,3.037381984379219,0.04812858804378931
250,II-VI,M_i_A,Rh,CdTe,1.8526759999999998,1.8599567468394753,0.014880748487455363
251,II-VI,M_i_B,Br,CdO,1.6670049999999998,1.9763884677783061,0.03889128597743851
252,II-VI,M_i_B,B,CdTe,2.099068,1.7263379454003682,0.029344801327724306
253,IV-IV,M_i_B,N,GeC,2.5,2.2779476241757535,0.08894918257598101
254,II-VI,M_i_neut,Ru,CdTe,1.9779220000000002,1.8830071381481304,0.01782056526259082
255,II-VI,M_i_A,Ru,CdTe,1.9908029999999999,1.8799988295499959,0.019138705262731884
256,IV-IV,M_i_A,Tl,SiGe,1.4393799999999999,1.3110188916611552,0.029237001991910882
257,II-VI,M_i_B,Te,CdS,2.091758,2.638688141052323,0.033756132014829576
258,II-VI,M_i_B,Tc,CdTe,1.9521669999999998,1.8579164918206221,0.022128301286375062
259,II-VI,M_A,C,CdTe,1.776847,1.5278651037124844,0.030218412592498557
260,II-VI,M_i_A,Tc,CdTe,1.9330470000000002,1.8553182664098429,0.019207879582377983
261,III-V,M_i_B,Cd,GaP,2.374029,2.2858216769180726,0.04714097203836177
262,II-VI,M_B,Na,CdTe,2.0032799999999997,1.9514606311584661,0.03426693883353905
263,II-VI,M_i_A,Li,ZnS,3.9243580000000002,3.5610503840433863,0.054301407133962504
264,III-V,M_i_B,B,AlSb,1.615912,1.5224281901431902,0.07327094830038071
265,II-VI,M_i_B,Mn,ZnS,3.720425,3.541062614678526,0.04285511854682541
266,III-V,M_B,Os,AlSb,1.307776,1.0942639218207684,0.07854507543474812
267,III-V,M_i_neut,In,InN,2.454529,2.4577182077545414,0.054519848765937844
268,III-V,M_i_A,Mn,BSb,1.355128,1.3385059056752113,0.038481165597036085
269,II-VI,M_i_A,Cd,CdS,2.7898169999999998,2.8688752596799305,0.026420381710278613
270,II-VI,M_B,Al,CdTe,1.1859879999999998,1.810750488299174,0.027561041085616914
271,II-VI,M_i_A,Ti,CdTe,2.1382380000000003,2.1012666366366153,0.013693187773699773
272,II-VI,M_i_B,S,ZnTe,0.904,1.3889843717680939,0.04185269758049526
273,IV-IV,M_i_B,O,SiSn,0.20850900000000003,0.721654913221985,0.052128593133659376
274,II-VI,M_i_B,Cd,CdS,2.745788,2.8936104882765687,0.035079410896374154
275,III-V,M_i_A,S,InP,0.8451049999999999,1.3039418390085722,0.039310373408917625
276,II-VI,M_i_A,Ir,CdTe,1.819777,1.931574025154223,0.018363842728913046
277,II-VI,M_B,Cd,CdSe,2.002148,2.1717625853222784,0.03280581220632356
278,II-VI,M_B,Ni,CdTe,1.600273,1.6575485357136608,0.019771788290032677
279,II-VI,M_A,Rh,CdO,1.692304,1.8343167805070735,0.036751566749185394
280,II-VI,M_i_neut,Pt,CdS,2.5384290000000003,2.6884130612505808,0.030158450844910492
281,II-VI,M_i_neut,Sb,ZnTe,2.106929,2.1436343941307436,0.04030286088734215
282,II-VI,M_i_A,Ca,ZnTe,2.476969,2.5781420640304367,0.04010836009942697
283,II-VI,M_i_B,Na,ZnTe,2.531431,2.4086359621412963,0.04634826761194136
284,II-VI,M_i_B,Bi,CdTe,1.8749939999999998,2.0719376249687222,0.02636473832397777
285,II-VI,M_i_B,S,CdS,1.563124,2.1515927851041035,0.03826536523413136
286,II-VI,M_i_B,Ir,CdTe,1.7172479999999999,1.930625505417175,0.028638449257734486
287,II-VI,M_i_neut,Rh,CdTe,1.8906150000000002,1.8617009722280156,0.01394467808262201
288,III-V,M_i_neut,Br,InP,1.748793,1.7167891194669125,0.04098393348268689
289,IV-IV,M_i_A,Os,GeSn,0.525704,0.6638538577545875,0.02917341349311893
290,II-VI,M_A,P,ZnS,3.5464279999999997,2.9294899892288044,0.06333328923230137
291,II-VI,M_B,Sb,CdTe,1.8309360000000001,1.7044464214887427,0.029935965685610185
292,II-VI,M_i_neut,Ca,CdSe,2.668965,2.477708826553358,0.028256606190180267
293,IV-IV,M_i_neut,Mn,GeC,2.565387,2.6004064282589914,0.06028288650260705
294,II-VI,M_i_neut,Ca,CdTe,2.2987439999999997,2.2553847388657915,0.01822984314818021
295,II-VI,M_B,Zn,CdTe,1.420383,1.8483164396192726,0.025568413092464794
296,IV-IV,M_A,W,GeC,2.7212549999999998,2.3631942835162496,0.06653501081962561
297,III-V,M_i_A,Pd,InN,1.9481130000000002,2.171493643365791,0.04117048091376005
298,II-VI,M_i_B,N,CdTe,1.9865849999999998,1.3857746260479122,0.03601714754103758
299,III-V,M_i_B,Nb,InSb,1.04582,0.9471049278042152,0.03194096157748608
300,II-VI,M_i_B,Cs,CdTe,2.379696,2.26780185783648,0.04671580271987727
301,IV-IV,M_i_A,Ta,Ge,0.727521,0.8375529302369488,0.030086376680880073
302,II-VI,M_i_A,K,ZnSe,3.153177,3.2705425116529545,0.06556940945909745
303,II-VI,M_i_neut,Cd,CdO,2.205752,2.1647062559670043,0.0272172673925367
304,II-VI,M_A,Sb,CdTe,2.124484,1.7993700660048972,0.021535009336331807
305,II-VI,M_i_neut,N,CdTe,1.836097,1.3845437210160128,0.03756408069074367
306,II-VI,M_i_B,Hf,CdTe,2.214798,2.137622256403229,0.020164084857421383
307,III-V,M_i_B,La,GaSb,1.201765,1.0567027591167097,0.06540162837673635
308,II-VI,M_i_A,V,CdTe,2.571429,1.9824726346412558,0.01349057880617001
309,II-VI,M_i_B,Sr,CdSe,2.773493,2.515971712072907,0.028608558473600085
310,II-VI,M_i_B,V,CdTe,2.047152,1.9806043005896368,0.014688044684916274
311,IV-IV,M_A,Na,GeSn,0.543848,0.5620330808446375,0.05122529125299198
312,II-VI,M_i_neut,Tc,CdTe,2.03892,1.8579569355669399,0.01851190325771744
