,Type,Site,Impurity,AB,(0/-1)_DFT,train_mean,train_std
66,II-VI,M_B,Si,ZnS,1.152018,2.5135000094220863,0.06185638599740634
67,II-VI,M_i_B,Sn,CdO,1.9365560000000002,1.7867302360238462,0.027691906497568055
68,III-V,M_i_B,Tc,BAs,1.12348,1.355646333628141,0.05004498322719491
69,II-VI,M_B,Os,CdSe,1.401893,1.0443914454501368,0.06493011925847976
70,II-VI,M_B,Mo,CdTe,1.090997,1.0661727443275335,0.03576163093095437
71,II-VI,M_B,Re,CdTe,0.635196,0.4368853432741059,0.048975224394954414
72,II-VI,M_i_A,Ba,ZnSe,2.7487369999999998,2.5275363174162395,0.03693967695060219
73,II-VI,M_B,Ti,CdTe,1.1933280000000002,1.3557083654523145,0.030951297355012647
74,II-VI,M_B,Sc,CdTe,1.2214,1.4825463522548996,0.031991327429791966
75,II-VI,M_i_A,Cl,ZnO,0.975318,1.3988996926693713,0.04823623703666404
76,II-VI,M_B,Ta,CdTe,1.184412,0.9725907631206845,0.047401814049373096
77,II-VI,M_B,Ba,CdTe,1.746675,1.5095334674823775,0.05543445610644063
78,IV-IV,M_i_neut,O,GeC,0.21099600000000002,1.1264458349244624,0.06406781283841914
79,II-VI,M_i_A,Sc,ZnS,3.2268939999999997,3.220144627461169,0.04733372584684376
80,II-VI,M_i_neut,Ti,ZnS,3.083972,3.087514929631584,0.054353528314477394
81,IV-IV,M_B,Sb,SiC,2.58313,2.699220504650003,0.05768421590498837
82,III-V,M_A,Hf,BAs,1.599742,1.4086185728856868,0.06246531454252026
83,II-VI,M_i_neut,Cs,CdS,2.31922,2.3830274723790836,0.06893381494401309
84,IV-IV,M_i_B,C,SnC,1.246668,1.2251183829909862,0.062381436962960606
85,IV-IV,M_B,Te,SnC,1.920151,2.0351836611502288,0.05433885523390036
86,IV-IV,M_i_B,F,GeC,0.25097600000000003,0.889818868638103,0.10062267084179266
87,II-VI,M_i_neut,Cs,ZnSe,2.667926,2.270022079725682,0.07138914804525222
88,IV-IV,M_A,Pb,SnC,1.525382,1.5070574851493537,0.07967644536907788
89,II-VI,M_i_B,Ir,CdS,1.7520900000000001,2.0602012066180775,0.042764473640192875
90,II-VI,M_i_B,Bi,ZnSe,2.2173689999999997,2.388799905451853,0.036681128179265735
91,II-VI,M_i_B,Mg,ZnS,3.5037160000000003,2.989130088041475,0.048050741638154364
92,II-VI,M_B,Sr,CdTe,1.7013220000000002,1.512207786336872,0.05371728356305944
93,II-VI,M_i_neut,Na,ZnO,2.377708,2.4577013831228505,0.04857974003357865
94,IV-IV,M_i_neut,Zn,SiC,2.544964,2.5802757839891894,0.05244951116597589
95,IV-IV,M_i_B,Al,SiC,2.4607419999999998,2.588647341147863,0.04488530444292189
96,II-VI,M_B,I,ZnO,2.641058,2.7540911483126442,0.06799254567271014
97,IV-IV,M_A,Rh,GeC,1.536491,1.386706933270854,0.08529662587086187
98,II-VI,M_B,Ca,CdTe,1.469262,1.4875636764404239,0.05457674317935224
99,II-VI,M_i_neut,Ir,ZnS,1.9009330000000002,2.637995592987875,0.03725082668039618
100,IV-IV,M_i_B,C,SiGe,0.756983,0.5229528617277739,0.05662695541688185
101,IV-IV,M_B,Re,SnC,0.964124,0.9994504942044393,0.07196009219677885
102,III-V,M_i_B,C,AlAs,1.237414,1.3901199002186249,0.07765996182789778
103,III-V,M_A,Te,BP,1.908332,1.4627633166898728,0.09789791234802007
104,II-VI,M_i_B,C,CdTe,1.386496,1.0216815895409908,0.04709574345630923
105,III-V,M_i_neut,Pb,AlP,2.1579509999999997,1.9931128108433847,0.053906608779144584
106,IV-IV,M_B,Li,GeC,1.796947,1.7034045990140392,0.10297979558347516
107,II-VI,M_i_B,Y,CdO,1.9703389999999998,1.9478806362054115,0.04439108246267225
108,II-VI,M_i_A,C,CdTe,0.503099,1.005622006353371,0.047643684255695214
109,II-VI,M_i_A,W,CdTe,1.566194,1.5027610193787029,0.022472092493378414
110,IV-IV,M_A,As,SnC,1.635578,1.0697303974150039,0.060960080335502174
111,III-V,M_i_B,Pb,GaP,2.125354,1.7152748522231165,0.04748933991755336
112,IV-IV,M_i_neut,W,SnC,1.6542270000000001,1.5949239785243337,0.05355018479879847
113,II-VI,M_i_A,C,ZnTe,0.532802,1.1408441517131809,0.06025620059672094
114,II-VI,M_i_neut,W,ZnTe,1.5595,1.5776783703768282,0.045322961638848476
115,II-VI,M_i_neut,In,CdO,1.666309,1.8534393249767056,0.030997964913447182
116,II-VI,M_i_B,Sb,CdTe,1.478928,1.6847851559508686,0.022645240278164305
117,II-VI,M_i_A,Re,CdTe,1.6619830000000002,1.5645765724676042,0.02067921661467602
118,II-VI,M_B,Os,CdTe,0.9963850000000001,0.6362568186326261,0.0395608164840735
119,II-VI,M_i_neut,C,CdTe,1.209,1.014297162496144,0.04758491974759419
120,IV-IV,M_B,Bi,GeC,2.4382330000000003,2.201360375440624,0.06031759969797157
121,II-VI,M_i_B,Re,CdTe,1.709065,1.566787821613182,0.027246419209821838
122,II-VI,M_B,Ru,CdTe,0.974518,1.0162883131802356,0.03823560725788757
123,II-VI,M_A,O,CdS,0.43849,0.9171179043588621,0.053715983518858555
124,II-VI,M_i_A,Al,CdS,2.380537,2.3324094182630035,0.03584928986636915
125,II-VI,M_A,Ru,CdO,0.910234,0.9168906196222819,0.05122901021803364
126,II-VI,M_i_A,Pb,CdO,2.0273369999999997,1.827665301219343,0.0370557658951035
127,II-VI,M_B,Tc,CdTe,0.648452,1.0428860465132188,0.023876632667506007
128,II-VI,M_B,V,CdTe,1.27786,1.244474238826423,0.028163176690354726
129,II-VI,M_B,Rh,CdTe,0.275046,0.9405503593210156,0.03742116196572571
130,II-VI,M_i_B,Zr,CdTe,1.861207,1.9748839907257534,0.025394804800385525
131,II-VI,M_i_B,W,CdTe,1.7098919999999997,1.5122567758132992,0.026226320296022287
132,IV-IV,M_i_neut,Sr,Si,1.0935030000000001,1.0595393871678243,0.03893080782821864
133,II-VI,M_i_A,Be,CdS,2.244068,2.1229810818213126,0.05343520252011128
134,II-VI,M_i_neut,La,CdTe,1.9012740000000001,2.010889788482822,0.024812917281256574
135,IV-IV,M_i_A,C,Si,0.532674,0.6186742379711575,0.053252474089101096
136,II-VI,M_i_A,Sb,CdTe,1.4150790000000002,1.6608515657786511,0.016483602529523602
137,II-VI,M_i_neut,W,CdTe,1.670023,1.459095269089647,0.0223554918783514
138,II-VI,M_i_neut,Sb,CdTe,1.6317700000000002,1.6545492925493726,0.018197566087174703
139,III-V,M_i_A,Tc,InP,1.4574,1.3152597243054907,0.04889195429699911
140,IV-IV,M_B,Au,GeC,2.032842,2.0698193306186403,0.06360366190077729
141,III-V,M_i_B,Ti,BAs,1.518734,1.528819710197999,0.058434271724645395
142,II-VI,M_i_B,La,CdSe,2.336767,2.216899210591368,0.03809045784103376
143,III-V,M_i_B,Mg,GaN,3.717064,3.5270629762012944,0.04695604357081265
144,II-VI,M_i_neut,Zr,CdTe,1.7986360000000001,1.951191378410875,0.023045260006706907
145,II-VI,M_B,Cd,CdS,2.089155,1.8646445919843937,0.05423624421122063
146,II-VI,M_i_A,Sn,CdS,2.647543,2.259721889868369,0.03023806033685755
147,II-VI,M_B,Hf,CdTe,1.046959,1.0626860855858808,0.0420996215077838
148,II-VI,M_i_B,Rb,CdS,2.349135,2.3981624613442905,0.05657296807254416
149,II-VI,M_i_B,Os,CdTe,1.601214,1.524116521018763,0.024336814646599984
150,II-VI,M_i_neut,Y,CdTe,1.8418189999999999,1.9959534416480351,0.0212728561760673
151,II-VI,M_B,Zn,CdS,1.8133569999999999,1.7705524511950201,0.04498044517494398
152,II-VI,M_i_B,Be,ZnO,2.842622,2.483421792015425,0.0569479740260819
153,II-VI,M_i_neut,Nb,CdTe,1.6853349999999998,1.7416501438647471,0.02432620662789409
154,IV-IV,M_i_A,Pb,Si,1.214774,1.2554397361440375,0.05590516608007005
155,II-VI,M_B,C,CdTe,-0.00675,0.7527708531046129,0.07076834205032866
156,II-VI,M_i_A,Mo,CdTe,1.334938,1.5372190952742475,0.021767858172228875
157,II-VI,M_B,Rh,ZnSe,0.629409,1.7082691766530984,0.06042916829226365
158,II-VI,M_i_B,Nb,CdTe,1.659325,1.7678058314857439,0.023695586311636433
159,III-V,M_i_neut,Sr,AlAs,2.1293919999999997,1.6134395357368612,0.050287514050571816
160,IV-IV,M_i_A,Fe,SnC,1.6266770000000002,1.7061579146948922,0.04027002172550476
161,II-VI,M_i_neut,Re,CdTe,1.53568,1.5101261157457877,0.020591600045060356
162,II-VI,M_i_B,La,CdTe,2.117337,2.0528397958329045,0.02652521751574626
163,II-VI,M_B,C,ZnSe,0.142583,1.4294551388210057,0.05887281193791497
164,II-VI,M_i_A,Os,CdTe,1.4355129999999998,1.4895571193431685,0.02301066341171945
165,IV-IV,M_i_neut,Ta,SiGe,1.515896,0.8965332687830332,0.028385872072508752
166,II-VI,M_i_B,Ag,ZnO,2.3704509999999996,2.4340896938822096,0.03287032850507705
167,II-VI,M_i_B,Sr,CdO,1.961322,1.7944578012480246,0.03936594552146998
168,III-V,M_i_B,Hf,InP,1.693799,1.6208752159620574,0.05791431684683344
169,II-VI,M_i_B,Ta,CdTe,1.671212,1.8632623139244742,0.032275801913208516
170,II-VI,M_B,Cr,CdTe,1.30972,1.2049214259607552,0.028442882952895706
171,IV-IV,M_B,Pd,SiC,2.491248,2.373052120138143,0.054521972583509236
172,III-V,M_i_B,B,AlP,2.129932,1.7768312226521523,0.056991018492145155
173,II-VI,M_i_A,Nb,CdTe,1.7684959999999998,1.749654667358276,0.022994283115097876
174,III-V,M_i_B,Ta,InAs,1.1800329999999999,1.0941047672361996,0.053188848484802945
175,III-V,M_i_B,W,InAs,1.0079719999999999,0.8409288749717991,0.039661316197058455
176,III-V,M_i_A,Te,AlAs,1.3604,1.6716586613437787,0.05486812754602319
177,II-VI,M_i_B,Ti,CdS,2.641885,2.4799677532158313,0.027228709546296446
178,II-VI,M_i_A,Zr,ZnTe,1.944973,2.096239587698816,0.04617246145045306
179,II-VI,M_i_A,Zr,CdTe,1.788138,1.9656911015786491,0.02661541722451157
180,III-V,M_i_neut,Mo,AlP,1.6684330000000003,1.6797174328845066,0.036146789138247745
181,III-V,M_B,Mg,GaP,1.134533,1.630309086553705,0.08391105613117866
182,II-VI,M_A,Sb,ZnO,2.438171,2.117037212019222,0.048286286686803195
183,II-VI,M_B,Rb,CdTe,1.91445,1.6870241568378894,0.056140350517995055
184,II-VI,M_A,Ir,CdO,1.381333,1.1219506072626957,0.049379385220237874
185,II-VI,M_i_B,Rh,CdS,1.7226849999999998,1.9634150083888933,0.044935446253407924
186,II-VI,M_i_neut,Ta,CdTe,1.75899,1.8130492862117613,0.02897086394105997
187,IV-IV,M_A,Bi,SiC,2.4907340000000002,2.429233998755138,0.06964797452554872
188,II-VI,M_i_neut,Sc,CdTe,1.78875,1.989602513354032,0.024343813918245718
189,II-VI,M_B,Fe,CdTe,1.197783,1.0520740823415122,0.0247644095628855
190,II-VI,M_i_B,As,ZnSe,1.856695,2.0142891178000104,0.035703872982840994
191,II-VI,M_B,Co,CdTe,0.94586,1.0333689861044382,0.0302764957970283
192,II-VI,M_i_neut,Ga,CdS,2.287927,2.3033661148468263,0.040113168315801265
193,II-VI,M_i_neut,Mo,CdTe,1.6917349999999998,1.5279506182881786,0.0210520832886345
194,II-VI,M_i_neut,Co,CdO,1.320365,1.6074725626540332,0.02745936571547287
195,II-VI,M_B,K,CdTe,1.801796,1.4496506582162245,0.044456430227918044
196,II-VI,M_i_B,Y,CdTe,2.1170430000000002,2.023916692549066,0.020872253529119377
197,II-VI,M_i_A,Te,ZnSe,1.5739809999999999,1.95160392063305,0.03533555420473672
198,II-VI,M_B,B,CdTe,0.259137,0.6494500679571721,0.05737730378290597
199,II-VI,M_B,Be,CdTe,0.598637,0.9861810138767328,0.07400125997648205
200,III-V,M_i_neut,W,GaSb,0.5540510000000001,0.5109091229930318,0.036688168813597294
201,II-VI,M_i_A,Zn,ZnS,3.198714,2.888855992940232,0.046059189119747386
202,II-VI,M_A,Zr,CdS,2.205005,2.049255628193697,0.042762065689242366
203,II-VI,M_B,Li,ZnTe,1.484677,1.2698549342915555,0.0884127953217881
204,II-VI,M_i_neut,Ba,CdTe,1.9466720000000002,1.9435188990507375,0.028720407773854848
205,II-VI,M_i_neut,As,CdS,2.1955419999999997,2.054956853310082,0.03360870930405029
206,III-V,M_B,Hf,InSb,0.086656,-0.10084335123315542,0.06339125698003316
207,II-VI,M_i_B,Mo,CdTe,1.7596919999999998,1.5520178706696046,0.015882141879349942
208,II-VI,M_i_A,Ta,CdTe,1.778918,1.8606508113346414,0.028594173543757033
209,III-V,M_i_A,Cl,GaP,0.241457,0.7447407915130622,0.07570345027679347
210,IV-IV,M_i_neut,La,Ge,0.725529,0.8270709216751385,0.03396437883454661
211,II-VI,M_B,Mg,CdTe,1.183375,1.2429054769646122,0.06962046061049565
212,II-VI,M_B,Mn,CdTe,0.983294,1.131763588335625,0.02382042814525827
213,II-VI,M_i_B,B,CdSe,1.764662,1.3399263967640405,0.06043425979370372
214,IV-IV,M_B,Rh,SiC,2.506597,2.279947679041593,0.05593092177884527
215,II-VI,M_i_A,La,CdTe,1.952708,2.0405496944290378,0.02062986965212215
216,II-VI,M_i_neut,Os,CdTe,1.503257,1.4774463668497135,0.02341230142112747
217,IV-IV,M_B,Rb,SiGe,0.5558960000000001,0.6187949739369676,0.04836903170471665
218,II-VI,M_B,Cs,CdTe,1.741729,1.7090716106250725,0.07701792581951147
219,III-V,M_i_B,Zr,InN,2.09197,1.9360466533827327,0.04624964493533439
220,II-VI,M_B,Si,CdSe,0.671369,1.641182922635083,0.06432580873874783
221,II-VI,M_B,Ir,CdTe,0.305657,0.6132953509591755,0.04367779538909079
222,II-VI,M_i_B,Ti,CdTe,1.760211,1.8668797800294876,0.021750371997619852
223,II-VI,M_i_A,B,CdTe,1.3995600000000001,1.2449979357508005,0.04312422697800461
224,III-V,M_i_neut,Ir,InP,0.988635,1.1567867342864648,0.061152357298148344
225,II-VI,M_i_B,Ru,CdTe,1.571022,1.4855538357123586,0.018041315603459954
226,II-VI,M_i_neut,I,ZnSe,1.448495,1.511871060025354,0.053610153079255485
227,IV-IV,M_i_neut,Zr,Ge,0.612105,0.7551088983240755,0.025028556702620507
228,II-VI,M_i_A,Y,CdTe,1.884782,2.013621487962113,0.022893176593112703
229,II-VI,M_i_B,Sc,CdTe,1.9417360000000001,2.005110602322138,0.02290267115892418
230,III-V,M_i_B,In,AlAs,2.058288,1.7612055412064316,0.035266566560100514
231,II-VI,M_i_neut,B,CdTe,1.6068,1.2376594658986426,0.040093332651977016
232,III-V,M_i_B,Os,GaSb,0.43795500000000004,0.6376519936809718,0.032241852373990514
233,II-VI,M_i_neut,Ti,CdTe,1.766509,1.8532744267185923,0.021967403934390166
234,II-VI,M_B,Tl,ZnSe,1.776863,1.9670228674501693,0.06068537161853176
235,IV-IV,M_i_neut,Rb,SiSn,0.7475569999999999,0.6533077558840652,0.041918111982447534
236,II-VI,M_i_neut,Cd,CdS,2.3836,2.382197835785562,0.030998513734827187
237,IV-IV,M_i_B,As,SiGe,0.803847,0.921817353698016,0.019098051863276917
238,II-VI,M_A,C,CdSe,1.479061,0.8453872432747331,0.06192825481131974
239,III-V,M_i_B,Zn,BSb,1.235434,1.1459025968484955,0.04375031364092824
240,II-VI,M_i_neut,Sr,CdTe,1.928489,1.8430968920959505,0.03208192607056947
241,II-VI,M_i_A,Bi,CdSe,1.7755439999999998,1.9338629577865092,0.03087857328350388
242,II-VI,M_i_neut,K,CdO,1.457682,1.626228612229457,0.03920886041419742
243,II-VI,M_i_A,Sc,CdTe,1.812675,2.00232293496489,0.02608568547062035
244,II-VI,M_i_B,Ba,CdTe,2.0509009999999996,1.9782107158768496,0.031044621894278424
245,II-VI,M_B,Li,CdTe,1.292829,1.1283171205288747,0.07732953724675075
246,II-VI,M_i_B,Rh,CdTe,1.142659,1.3667364543973246,0.02170150272576121
247,IV-IV,M_i_B,P,SiGe,0.732334,0.8221349427694611,0.034253236533736055
248,II-VI,M_i_A,Cu,ZnO,2.340316,2.336250084594579,0.03638984272530736
249,II-VI,M_i_neut,Se,ZnS,1.9839639999999998,2.3153293832508632,0.04053607600596262
250,II-VI,M_i_A,Rh,CdTe,1.33744,1.3544546671442792,0.023133903805479358
251,II-VI,M_i_B,Br,CdO,0.95329,0.8203027955099135,0.060226990814366554
252,II-VI,M_i_B,B,CdTe,1.60701,1.2481256523747715,0.041731605774753704
253,IV-IV,M_i_B,N,GeC,1.6048069999999999,1.4839055496951297,0.08531469781291784
254,II-VI,M_i_neut,Ru,CdTe,1.380811,1.4592833228333408,0.019897439724184625
255,II-VI,M_i_A,Ru,CdTe,1.535596,1.4754774134034327,0.020543238674892276
256,IV-IV,M_i_A,Tl,SiGe,1.1293,0.983145907860181,0.04039786528793333
257,II-VI,M_i_B,Te,CdS,1.617791,2.017846736580683,0.03601140155091088
258,II-VI,M_i_B,Tc,CdTe,1.602884,1.629139669858683,0.017564750398509188
259,II-VI,M_A,C,CdTe,1.410817,0.7433809080786467,0.05880223793208552
260,II-VI,M_i_A,Tc,CdTe,1.5020040000000001,1.6145480869663569,0.019158759885406062
261,III-V,M_i_B,Cd,GaP,1.9437400000000002,1.8089804792618918,0.04359944873497454
262,II-VI,M_B,Na,CdTe,1.556239,1.402841308049848,0.047202017188772406
263,II-VI,M_i_A,Li,ZnS,3.255855,2.868823157332154,0.05590805411905685
264,III-V,M_i_B,B,AlSb,1.302994,1.228126752955765,0.06648148837211512
265,II-VI,M_i_B,Mn,ZnS,3.07258,2.880346417414361,0.045199430890154144
266,III-V,M_B,Os,AlSb,-0.024637,0.2741223899503414,0.0660378982827669
267,III-V,M_i_neut,In,InN,1.976466,1.9904258207763974,0.04035288789945253
268,III-V,M_i_A,Mn,BSb,0.794746,0.9832065303288904,0.048539596810001445
269,II-VI,M_i_A,Cd,CdS,2.412209,2.3966469934381482,0.030467076722822856
270,II-VI,M_B,Al,CdTe,0.8040069999999999,1.1927639197956872,0.03448560174521879
271,II-VI,M_i_A,Ti,CdTe,1.7639340000000001,1.8693782040496871,0.024732753801672197
272,II-VI,M_i_B,S,ZnTe,0.904,1.1374252749685205,0.041338209447161905
273,IV-IV,M_i_B,O,SiSn,-0.137924,0.10595969281606939,0.07563098936779657
274,II-VI,M_i_B,Cd,CdS,2.3701849999999998,2.394017843032043,0.03532789413254101
275,III-V,M_i_A,S,InP,0.561632,1.0256588739997254,0.07767969341067264
276,II-VI,M_i_A,Ir,CdTe,1.362539,1.4126883510597046,0.023782875710867093
277,II-VI,M_B,Cd,CdSe,1.7057060000000002,1.5312589436874595,0.05407524327871881
278,II-VI,M_B,Ni,CdTe,1.231834,1.0485446612359468,0.03511312382963223
279,II-VI,M_A,Rh,CdO,1.071787,0.9231365624002997,0.04254466159607444
280,II-VI,M_i_neut,Pt,CdS,1.9542389999999998,1.9071741609639408,0.036682747495858065
281,II-VI,M_i_neut,Sb,ZnTe,1.6789049999999999,1.7945220328484943,0.0406951444503313
282,II-VI,M_i_A,Ca,ZnTe,2.138,2.0233665968947117,0.056348752088219316
283,II-VI,M_i_B,Na,ZnTe,2.140171,1.9635742670447691,0.05155754707605544
284,II-VI,M_i_B,Bi,CdTe,1.49527,1.8675209166234557,0.036350821066533034
285,II-VI,M_i_B,S,CdS,1.100529,1.5557373509043262,0.04131130701854232
286,II-VI,M_i_B,Ir,CdTe,1.165672,1.429160999636999,0.027115136486085527
287,II-VI,M_i_neut,Rh,CdTe,1.058618,1.3388619549315754,0.021542379091098036
288,III-V,M_i_neut,Br,InP,0.208011,0.7468263987163372,0.08861582282140322
289,IV-IV,M_i_A,Os,GeSn,0.206195,0.49690772209344497,0.03783570117037395
290,II-VI,M_A,P,ZnS,2.107054,2.1766331400975916,0.08105177837273293
291,II-VI,M_B,Sb,CdTe,0.206551,1.1514222312465676,0.024065597072964146
292,II-VI,M_i_neut,Ca,CdSe,2.297032,2.0243439072779874,0.03658596566393472
293,IV-IV,M_i_neut,Mn,GeC,1.9164169999999998,2.060742678930797,0.058047846109810085
294,II-VI,M_i_neut,Ca,CdTe,1.88828,1.887975481710529,0.02701930312306346
295,II-VI,M_B,Zn,CdTe,1.0481989999999999,1.047905932598295,0.03262100752728434
296,IV-IV,M_A,W,GeC,2.007422,1.5231456694544285,0.06880726648719684
297,III-V,M_i_A,Pd,InN,1.413114,1.651003268873842,0.041873570816622775
298,II-VI,M_i_B,N,CdTe,1.436345,0.8464351132631535,0.040182352455785324
299,III-V,M_i_B,Nb,InSb,0.771596,0.759719788545788,0.03432985873393462
300,II-VI,M_i_B,Cs,CdTe,1.946552,1.7603216891059912,0.0642162617222303
301,IV-IV,M_i_A,Ta,Ge,0.5320159999999999,0.7436512134124972,0.03395147275597881
302,II-VI,M_i_A,K,ZnSe,2.600635,2.306260636952706,0.0398595828958534
303,II-VI,M_i_neut,Cd,CdO,1.746161,1.9183892626300156,0.027598657890771233
304,II-VI,M_A,Sb,CdTe,1.7537650000000002,1.2535104836285418,0.035061037476804266
305,II-VI,M_i_neut,N,CdTe,1.337782,0.8382676195947738,0.04187708079303433
306,II-VI,M_i_B,Hf,CdTe,1.8650630000000001,1.9670176242585318,0.03699873158757087
307,III-V,M_i_B,La,GaSb,1.016825,0.976809674907941,0.044030643885370216
308,II-VI,M_i_A,V,CdTe,2.571429,1.7236734118361974,0.02005270474030252
309,II-VI,M_i_B,Sr,CdSe,2.378172,2.0207444846615954,0.03290948951329477
310,II-VI,M_i_B,V,CdTe,1.71833,1.7268646171347175,0.02227582021640695
311,IV-IV,M_A,Na,GeSn,0.347298,0.28584262548631195,0.07961381184612261
312,II-VI,M_i_neut,Tc,CdTe,1.553844,1.603210748925789,0.02072798474131768
313,IV-IV,M_A,Os,SiC,1.916245,2.005400927314562,0.06448998569268001
