,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
38,II-VI,M_B,W,CdTe,8.891,8.006270798544701,0.13959711903948324
39,IV-IV,M_i_A,Ru,SiC,8.849056,7.7072973868165064,0.19273829858708727
40,III-V,M_i_neut,Cl,BSb,8.706022,5.184799242002801,0.6582695924298994
41,II-VI,M_i_B,Al,ZnS,8.683907000000001,5.700914094764498,0.1706685720269598
42,IV-IV,M_i_B,Al,GeC,8.644658,7.9212078362452445,0.2127976174859127
43,III-V,M_i_neut,Pt,BP,8.616133999999999,7.811594563154709,0.3555586946799679
44,III-V,M_i_neut,Ag,BP,8.32291,7.75212607347328,0.27325625437877904
45,III-V,M_i_A,Ba,GaP,8.311112,5.2989202085075355,0.3316798586315086
46,II-VI,M_B,Nb,CdTe,8.266,7.465567005877278,0.10407189631183185
47,IV-IV,M_i_A,Tc,SiC,8.192969,7.7694579485828825,0.1899891309583083
48,II-VI,M_B,Y,CdTe,8.189,7.504794597609065,0.1002774325060474
49,III-V,M_i_B,I,AlP,8.180603,7.643555662360908,0.22922131135940227
50,II-VI,M_B,Ca,CdSe,8.176685,6.840268744084443,0.12557003549925702
51,III-V,M_i_A,Be,GaN,8.159421,5.523327033884124,0.4049277369066656
52,IV-IV,M_i_A,B,SiC,8.043847,7.1913375377923785,0.20682947946623437
53,III-V,M_i_A,W,BP,7.924508,9.089350870951389,0.28901672238314025
54,III-V,M_B,Ba,InP,7.916874000000001,4.280842702155705,0.38655322882449217
55,III-V,M_B,La,GaAs,7.901258,4.9797731721383345,0.30952993782043553
56,III-V,M_i_B,Tc,BAs,7.729577000000001,7.517872045168536,0.2401631567905457
57,II-VI,M_B,Os,CdSe,7.718526,7.324524834555916,0.09038010307217664
58,II-VI,M_B,Mo,CdTe,7.7170000000000005,7.205709427983479,0.09684428040874314
59,II-VI,M_B,Re,CdTe,7.6979999999999995,8.274342219431066,0.11225462604802185
60,II-VI,M_i_A,Ba,ZnSe,7.676982000000001,7.014382404870955,0.2060166303217689
61,II-VI,M_B,Ti,CdTe,7.655,5.862450321517813,0.12105188610433511
62,II-VI,M_B,Sc,CdTe,7.62,6.038875186485468,0.1250692486431308
63,II-VI,M_i_A,Cl,ZnO,7.616961,5.672985872319447,0.25040099062911536
64,II-VI,M_B,Ta,CdTe,7.585,8.621861817718596,0.14786455401914408
65,II-VI,M_B,Ba,CdTe,7.574,7.641903355423179,0.27828108924457395
66,IV-IV,M_i_neut,O,GeC,7.517438,8.347799735269945,0.28749698684690933
67,II-VI,M_i_A,Sc,ZnS,7.5110850000000005,7.71510006295389,0.2221705436778581
68,IV-IV,M_B,Sb,SiC,7.388986999999999,6.785368928089611,0.3372891199327847
69,III-V,M_A,Hf,BAs,7.386991,5.021905602112726,0.3612532817033498
70,II-VI,M_i_neut,Cs,CdS,7.371510000000001,5.794741780072124,0.15126971018553084
71,IV-IV,M_i_B,C,SnC,7.362067,8.579656390468077,0.21101553997257086
72,IV-IV,M_B,Te,SnC,7.3602479999999995,9.01047954581141,0.37655032320480514
73,IV-IV,M_i_B,F,GeC,7.333756,7.850018278170839,0.2435527904118579
74,II-VI,M_i_neut,Cs,ZnSe,7.297979,6.6797953444270775,0.25973107448339294
75,II-VI,M_i_B,Ir,CdS,7.268053999999999,4.865127769751901,0.10376832301614425
76,II-VI,M_i_B,Bi,ZnSe,7.242951,5.694953998415546,0.16313469632405928
77,II-VI,M_i_B,Mg,ZnS,7.236806,5.296243377866029,0.2127416926621361
78,II-VI,M_B,Sr,CdTe,7.229,7.104445073525987,0.11938355431092562
79,II-VI,M_i_neut,Na,ZnO,7.191727,7.074034109257104,0.33373243814781645
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,7.0837988005638435,0.2530631281664494
81,IV-IV,M_i_B,Al,SiC,7.109779,7.588790485031092,0.23706462650718482
82,IV-IV,M_A,Rh,GeC,7.072358,5.718782676912611,0.36198141899470493
83,II-VI,M_B,Ca,CdTe,7.0489999999999995,6.183201957347663,0.1413271650649063
84,II-VI,M_i_neut,Ir,ZnS,7.044389,5.520098970445936,0.2089349858364688
85,IV-IV,M_i_B,C,SiGe,7.029664,5.469757480779981,0.18010699872742397
86,III-V,M_i_B,C,AlAs,6.978333999999999,5.877145573939128,0.22514948065040072
87,III-V,M_A,Te,BP,6.957153999999999,6.5575518135345785,0.4661890620341909
88,II-VI,M_i_B,C,CdTe,6.943,6.144707632400061,0.08820350930108543
89,III-V,M_i_neut,Pb,AlP,6.935306,7.066950069647589,0.18496816068850225
90,II-VI,M_i_B,Y,CdO,6.894886,7.76333555346109,0.20328593716121413
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.2202569103239345,0.08655718780109944
92,II-VI,M_i_A,W,CdTe,6.851,5.8982029349889675,0.11683340332543707
93,III-V,M_i_B,Pb,GaP,6.811591,6.677099098042708,0.19296746346620683
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,5.931184105818813,0.15423651537022318
95,II-VI,M_i_neut,W,ZnTe,6.695950999999999,6.278641205881949,0.1947353497742938
96,II-VI,M_i_neut,In,CdO,6.683149,5.701681337566754,0.19782244166596058
97,II-VI,M_i_B,Sb,CdTe,6.681,3.7727000818716645,0.07324621284365655
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,6.1267674361434725,0.08663231892350645
99,II-VI,M_B,Os,CdTe,6.666,6.616611956651829,0.11308891337328461
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.224437068503386,0.08937753602020125
101,IV-IV,M_B,Bi,GeC,6.642875,6.46444395143846,0.45259999730449474
102,II-VI,M_i_B,Re,CdTe,6.642,6.332977964807996,0.10666008649693814
103,II-VI,M_B,Ru,CdTe,6.612,6.185126245215869,0.10533016229342146
104,II-VI,M_i_A,Al,CdS,6.578055,4.536109425062736,0.09933151123585182
105,II-VI,M_A,Ru,CdO,6.5520510000000005,5.162477325309554,0.21897780853073853
106,II-VI,M_i_A,Pb,CdO,6.54363,6.201824046486856,0.1863109012185084
107,II-VI,M_B,Tc,CdTe,6.5360000000000005,6.560933627929208,0.10291073693803746
108,II-VI,M_B,V,CdTe,6.523,5.8197844330866655,0.12327718862552732
109,II-VI,M_B,Rh,CdTe,6.481,5.346032748451488,0.10874261252305037
110,II-VI,M_i_B,Zr,CdTe,6.475,5.858643407209213,0.0868433094832241
111,II-VI,M_i_B,W,CdTe,6.415,6.069795519739442,0.12450523673962018
112,IV-IV,M_i_neut,Sr,Si,6.397273,4.919807824381806,0.2908999298056475
113,II-VI,M_i_A,Be,CdS,6.3890839999999995,5.028942768325894,0.11572722390137276
114,II-VI,M_i_neut,La,CdTe,6.379,5.865287433864545,0.13118672080317173
115,IV-IV,M_i_A,C,Si,6.357864,5.379461933921521,0.27080517994244685
116,II-VI,M_i_A,Sb,CdTe,6.332999999999999,3.7222105636881535,0.08633830860845228
117,II-VI,M_i_neut,W,CdTe,6.27,5.896816830814874,0.12311412983829725
118,II-VI,M_i_neut,Sb,CdTe,6.223,3.7194309998065407,0.07504958512691735
119,III-V,M_i_A,Tc,InP,6.217023999999999,5.532189304692409,0.20832224247998063
120,IV-IV,M_B,Au,GeC,6.2141779999999995,6.698118840907353,0.444964153265859
121,III-V,M_i_B,Ti,BAs,6.201029,7.321937923538355,0.2703029307943434
122,II-VI,M_i_B,La,CdSe,6.173819,6.190876137246876,0.09818949220968985
123,III-V,M_i_B,Mg,GaN,6.168469,6.196201795007385,0.40766088357694624
124,II-VI,M_i_neut,Zr,CdTe,6.155,6.035886506531218,0.09777627058804449
125,II-VI,M_B,Cd,CdS,6.1344959999999995,4.08371826975939,0.1306996098790409
126,II-VI,M_i_A,Sn,CdS,6.13124,4.948065202413529,0.09773991148238657
127,II-VI,M_B,Hf,CdTe,6.107,8.404797607814691,0.20082459100018504
128,II-VI,M_i_B,Rb,CdS,6.097848,4.978953149619582,0.09629784178445495
129,II-VI,M_i_B,Os,CdTe,6.07,5.032313817831997,0.09896357716742767
130,II-VI,M_i_neut,Y,CdTe,6.059,6.035135992338281,0.06892267487842609
131,II-VI,M_B,Zn,CdS,6.048001999999999,3.8676433260014447,0.12124974344354002
132,II-VI,M_i_B,Be,ZnO,6.034982,6.352005929584396,0.4021706690283234
133,II-VI,M_i_neut,Nb,CdTe,6.0329999999999995,6.30022830681399,0.08015080862875669
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,5.8590992331408716,0.2805205159731074
135,II-VI,M_B,C,CdTe,6.007999999999999,6.880142442708861,0.13955997111339408
136,II-VI,M_i_A,Mo,CdTe,5.995,5.8054286389791585,0.07382093574772046
137,II-VI,M_B,Rh,ZnSe,5.993703,6.529907363121789,0.1803345833388749
138,II-VI,M_i_B,Nb,CdTe,5.956,6.135981386748148,0.09441345390092913
139,III-V,M_i_neut,Sr,AlAs,5.929858,3.952887070415693,0.3392942419596779
140,IV-IV,M_i_A,Fe,SnC,5.929035,7.618746402857842,0.29125185279992377
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,6.173745760212048,0.11566906415453114
142,II-VI,M_i_B,La,CdTe,5.912000000000001,5.890071380120629,0.10723516434982364
143,II-VI,M_B,C,ZnSe,5.911153,7.334764331679311,0.2358692287285954
144,II-VI,M_i_A,Os,CdTe,5.862,4.798944965274176,0.0861884235938496
145,IV-IV,M_i_neut,Ta,SiGe,5.840308,5.817468092155124,0.18899126105234515
146,II-VI,M_i_B,Ag,ZnO,5.834783,6.174870424248137,0.22065458603318852
147,II-VI,M_i_B,Sr,CdO,5.810501,5.974329789701638,0.311330106085005
148,III-V,M_i_B,Hf,InP,5.794212,5.546478156896152,0.20193909539004495
149,II-VI,M_i_B,Ta,CdTe,5.774,6.642575291487316,0.12473979594189379
150,II-VI,M_B,Cr,CdTe,5.765,4.9066080264764285,0.10523306539769361
151,IV-IV,M_B,Pd,SiC,5.755425,5.368211074706778,0.3945964082559978
152,III-V,M_i_B,B,AlP,5.7467690000000005,4.808384048166795,0.21610645465629486
153,II-VI,M_i_A,Nb,CdTe,5.727,6.235834106427748,0.08561224043986218
154,III-V,M_i_B,Ta,InAs,5.724173,5.73067838397904,0.20621870683839955
155,III-V,M_i_B,Co,GaN,5.698535,5.753762014180564,0.43043394002642765
156,III-V,M_i_B,W,InAs,5.684196,5.35573871674724,0.19409949661184883
157,III-V,M_i_A,Te,AlAs,5.670371,6.277931184645212,0.15131276308726077
158,II-VI,M_i_B,Ti,CdS,5.659346,5.5969595949436,0.07265809171377983
159,II-VI,M_i_A,Zr,ZnTe,5.640255000000001,6.887203697499942,0.16354324522372693
160,II-VI,M_i_A,Zr,CdTe,5.638999999999999,5.964203054829252,0.09219715533749906
161,III-V,M_i_neut,Mo,AlP,5.636163,6.122963587377052,0.2048387449183493
162,III-V,M_B,Mg,GaP,5.5889050000000005,2.578904639309222,0.2863229958371828
163,II-VI,M_A,Sb,ZnO,5.586536,4.926196812881713,0.30541228220303823
164,II-VI,M_B,Rb,CdTe,5.574,5.709460766403024,0.16019583398745643
165,II-VI,M_A,Ir,CdO,5.56046,4.445951703357224,0.334814115195976
166,II-VI,M_i_B,Rh,CdS,5.551328,4.957361666542735,0.0883339829396379
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,6.493008057487016,0.1148856399823218
168,IV-IV,M_A,Bi,SiC,5.492596,4.976322285772352,0.3303527958459698
169,II-VI,M_i_neut,Sc,CdTe,5.473,4.885888851767401,0.084915776409592
170,II-VI,M_B,Fe,CdTe,5.465,4.976310992396516,0.1188621522374274
171,II-VI,M_i_B,As,ZnSe,5.464378,4.813539282379308,0.10539223141016146
172,II-VI,M_B,Co,CdTe,5.46,4.605117230080445,0.11691839029368563
173,II-VI,M_i_neut,Ga,CdS,5.459708,4.498699937430656,0.08708920626169062
174,II-VI,M_i_neut,Mo,CdTe,5.454,5.849103720117914,0.06704606039726184
175,II-VI,M_i_neut,Co,CdO,5.443811,5.967234504539158,0.16541491443752518
176,II-VI,M_B,K,CdTe,5.436,4.777401375019323,0.16785677517436562
177,II-VI,M_i_B,Y,CdTe,5.435,5.857473953462031,0.07557924292147002
178,II-VI,M_i_A,Te,ZnSe,5.434063,4.952320631960605,0.14543799093004586
179,II-VI,M_B,B,CdTe,5.428,5.758252218892987,0.16419621414210311
180,II-VI,M_B,Be,CdTe,5.421,6.197386761000926,0.18735456171823703
181,III-V,M_i_neut,W,GaSb,5.420782,4.6015484163964455,0.21804412231560238
182,II-VI,M_i_A,Zn,ZnS,5.417896,4.791413342684107,0.14730570244114527
183,II-VI,M_A,Zr,CdS,5.4005019999999995,3.55837260326796,0.1218197761061478
184,II-VI,M_B,Li,ZnTe,5.394522,5.112681168945833,0.28738077728352324
185,II-VI,M_i_neut,Ba,CdTe,5.391,4.928939932424828,0.12266083999779094
186,II-VI,M_i_neut,As,CdS,5.382434,4.771452841909875,0.07203017833799794
187,III-V,M_B,Hf,InSb,5.364508,3.7896934136831084,0.2345739841269526
188,II-VI,M_i_B,Mo,CdTe,5.353,5.710742892755086,0.07731023210071092
189,II-VI,M_i_A,Ta,CdTe,5.343,6.437124096604336,0.10219046672669437
190,III-V,M_i_A,Cl,GaP,5.326942,5.574592748831295,0.21049527973792945
191,IV-IV,M_i_neut,La,Ge,5.326147,5.717710976387226,0.20843025957012218
192,II-VI,M_B,Mg,CdTe,5.31,4.669666134379066,0.1923988440184352
193,II-VI,M_B,Mn,CdTe,5.28,4.368305000172357,0.12052039959973404
194,II-VI,M_i_B,B,CdSe,5.273931,5.010770624386787,0.08833050919202243
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,5.547527480590573,0.3942214660239248
196,II-VI,M_i_A,La,CdTe,5.266,5.776103482702385,0.11933942802122967
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,4.790711059890798,0.09141783234054922
198,IV-IV,M_B,Rb,SiGe,5.256082,3.9724504976024995,0.32569334624613067
199,II-VI,M_B,Cs,CdTe,5.25,7.623526651563788,0.42022171783500756
200,III-V,M_i_B,Zr,InN,5.24444,7.650747942810499,0.3724180371568435
201,II-VI,M_B,Si,CdSe,5.235698,4.431245709451169,0.11936053119632525
202,II-VI,M_B,Ir,CdTe,5.231,5.272506999355445,0.09949132148161234
203,II-VI,M_i_B,Ti,CdTe,5.215,4.560975542161843,0.07705532248476045
204,II-VI,M_i_A,B,CdTe,5.207000000000001,4.816816289093199,0.10831048758778786
205,III-V,M_i_neut,Ir,InP,5.168292,5.136008039767951,0.21453679197836747
206,II-VI,M_i_B,Ru,CdTe,5.156000000000001,4.633583974812341,0.06776215292112799
207,II-VI,M_i_neut,I,ZnSe,5.114387000000001,4.407109675313226,0.1516779419312346
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.326721621631366,0.21425433526769866
209,II-VI,M_i_A,Y,CdTe,5.082,5.938565284847426,0.07401028320359994
210,II-VI,M_i_B,Sc,CdTe,5.067,4.574121770876189,0.09752943965278697
211,III-V,M_i_B,In,AlAs,5.054657,4.952242692195267,0.18928581814517795
212,II-VI,M_i_neut,B,CdTe,5.052,4.825975356776316,0.10232991933972106
213,III-V,M_i_B,Os,GaSb,5.039499,4.299789889971403,0.19682303067711196
214,II-VI,M_i_neut,Ti,CdTe,5.015,4.838821948336917,0.07622616428230686
215,II-VI,M_B,Tl,ZnSe,4.992494000000001,6.08209875426103,0.22334131296750243
216,IV-IV,M_i_neut,Rb,SiSn,4.989315,4.804290891279886,0.24824194233323713
217,II-VI,M_i_neut,Cd,CdS,4.977344,4.031173157902951,0.06958111365294392
218,IV-IV,M_i_B,As,SiGe,4.959747,4.231540782254747,0.1847267739344124
219,II-VI,M_A,C,CdSe,4.955438,5.6372016033284105,0.1338105663549963
220,III-V,M_i_B,Zn,BSb,4.931979,5.1354647664156285,0.2797997670510361
221,II-VI,M_i_neut,Sr,CdTe,4.919,4.908673057674996,0.09471176337044991
222,II-VI,M_i_A,Bi,CdSe,4.912889,4.000301289415789,0.08322406843929221
223,II-VI,M_i_neut,K,CdO,4.908647,5.6786063296573115,0.2672481346567691
224,II-VI,M_i_A,Sc,CdTe,4.902,4.825676705238479,0.08668426617935003
225,II-VI,M_i_B,Ba,CdTe,4.895,4.93194692123685,0.10970414407710029
226,II-VI,M_B,Li,CdTe,4.877,3.3327361761007928,0.229935043873356
227,II-VI,M_i_B,Rh,CdTe,4.877,3.7980341163139415,0.06678071607328426
228,IV-IV,M_i_B,P,SiGe,4.876417,4.122924074277079,0.1922212192224965
229,II-VI,M_i_A,Cu,ZnO,4.876162,5.849626629274037,0.18029051456880021
230,II-VI,M_i_neut,Se,ZnS,4.8505650000000005,5.04630234440897,0.1361249381757055
231,II-VI,M_i_A,Rh,CdTe,4.845,3.919297848647117,0.06841486744403648
232,II-VI,M_i_B,Br,CdO,4.8434800000000005,5.596394068105004,0.2603575086608197
233,II-VI,M_i_B,B,CdTe,4.843,4.717325707517707,0.08911578516206907
234,IV-IV,M_i_B,N,GeC,4.841501999999999,7.872801071541531,0.26993020635501147
235,II-VI,M_i_neut,Ru,CdTe,4.822,4.753824926549326,0.07009733242878027
236,II-VI,M_i_A,Ru,CdTe,4.817,4.716886630992368,0.07064615020912743
237,IV-IV,M_i_A,Tl,SiGe,4.810553,5.121711619671656,0.1299624240587031
238,II-VI,M_i_B,Te,CdS,4.805296,4.71276802176359,0.09701510604550871
239,II-VI,M_i_B,Tc,CdTe,4.78,4.999769373106215,0.06792806277713469
240,II-VI,M_A,C,CdTe,4.76,5.22356709631652,0.13606610879852366
241,II-VI,M_i_A,Tc,CdTe,4.754,5.089590974338515,0.06301832278420678
242,III-V,M_i_B,Cd,GaP,4.747673000000001,4.396781943223685,0.1732309127114323
243,II-VI,M_B,Na,CdTe,4.747,4.127610988217886,0.1691884971155926
244,II-VI,M_i_A,Li,ZnS,4.7375169999999995,5.174913552002076,0.24020162244550347
245,III-V,M_i_B,B,AlSb,4.713025,2.7387110133496977,0.1870815015243461
246,II-VI,M_i_B,Mn,ZnS,4.705481,4.692272720000714,0.17563605237130736
247,III-V,M_B,Os,AlSb,4.70151,4.127028372826098,0.25826810970403147
248,III-V,M_i_neut,In,InN,4.700876,6.827132407066008,0.36806802050179316
249,III-V,M_i_A,Mn,BSb,4.694458,4.812795097174416,0.32366277338832683
250,II-VI,M_i_A,Cd,CdS,4.6935139999999995,3.9639673150764336,0.06917188820584211
251,II-VI,M_B,Al,CdTe,4.6930000000000005,3.923963979102807,0.157066909490839
252,II-VI,M_i_A,Ti,CdTe,4.684,4.799989025877854,0.07214257364691384
253,II-VI,M_i_B,S,ZnTe,4.679561,3.029015101011125,0.15472500051239407
254,IV-IV,M_i_B,O,SiSn,4.666316999999999,2.9071192217346287,0.1958116549756995
255,II-VI,M_i_B,Cd,CdS,4.657436,3.777942353486985,0.07970096811355873
256,III-V,M_i_A,S,InP,4.651991000000001,4.280447743383233,0.1908741845367911
257,II-VI,M_i_A,Ir,CdTe,4.6419999999999995,3.453809665962207,0.08599177325062576
258,II-VI,M_B,Cd,CdSe,4.621263,3.6077874995914008,0.09826028999184705
259,II-VI,M_B,Ni,CdTe,4.61,4.130681114722398,0.11903100764375012
260,II-VI,M_A,Rh,CdO,4.60746,4.509120170821005,0.22067737536070703
261,II-VI,M_i_neut,Pt,CdS,4.5891519999999995,4.370729645116346,0.11305155253681687
262,II-VI,M_i_neut,Sb,ZnTe,4.577339,4.663063573492663,0.14003749723254572
263,II-VI,M_i_A,Ca,ZnTe,4.5689589999999995,5.853517564377855,0.22631096201506334
264,II-VI,M_i_B,Na,ZnTe,4.564971,4.299515327712449,0.22551944377985034
265,II-VI,M_i_B,Bi,CdTe,4.558,3.7280293417335115,0.10074394721764976
266,II-VI,M_i_B,S,CdS,4.554437,3.8881159281718602,0.08223807602561298
267,II-VI,M_i_B,Ir,CdTe,4.553,3.6821071881655114,0.10620055303031037
268,II-VI,M_i_neut,Rh,CdTe,4.523,3.8944498580939273,0.065522441590008
269,III-V,M_i_neut,Br,InP,4.510883,4.821765421445761,0.20126080581564013
270,IV-IV,M_i_A,Os,GeSn,4.497376,3.4443267867698593,0.1423837918668793
271,II-VI,M_A,P,ZnS,4.496569999999999,3.8352058681888805,0.18207523452807708
272,II-VI,M_B,Sb,CdTe,4.495,2.444395530183548,0.15555654167898114
273,II-VI,M_i_neut,Ca,CdSe,4.494395,4.663401098607308,0.09399284154681246
274,IV-IV,M_i_neut,Mn,GeC,4.479184,7.394752988689666,0.22913223448968287
275,II-VI,M_i_neut,Ca,CdTe,4.47,4.326915730927349,0.08848265806823409
276,II-VI,M_B,Zn,CdTe,4.463,2.985679777587817,0.14303538915024436
277,IV-IV,M_A,W,GeC,4.432193,6.77885207716187,0.3051458871101222
278,III-V,M_i_A,Pd,InN,4.4274949999999995,6.490531180207057,0.3683482060537136
279,II-VI,M_i_B,N,CdTe,4.422,3.177481479891066,0.14279259452191354
280,III-V,M_i_B,Nb,InSb,4.400841000000001,5.440213767353808,0.2097229687668755
281,II-VI,M_i_B,Cs,CdTe,4.4,4.745021599104489,0.18150602078579067
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,5.025058391204836,0.20019648991320657
283,II-VI,M_i_A,K,ZnSe,4.37218,5.44840684760498,0.1950932605214659
284,II-VI,M_i_neut,Cd,CdO,4.3570150000000005,5.01578274557825,0.19283017341558864
285,II-VI,M_A,Sb,CdTe,4.346,1.2744163815218417,0.11016311283364406
286,II-VI,M_i_neut,N,CdTe,4.342,3.2839356789821297,0.1381139396732418
287,II-VI,M_i_B,Hf,CdTe,4.315,5.929320902612315,0.11806641512126648
288,III-V,M_i_B,La,GaSb,4.309508,4.997450229390698,0.29397096353624513
289,II-VI,M_i_A,V,CdTe,4.309,4.810279832459172,0.06240016977636651
290,II-VI,M_i_B,Sr,CdSe,4.2930019999999995,4.939527861093419,0.08836685208774403
291,II-VI,M_i_B,V,CdTe,4.284,4.572949452314814,0.07104643944201874
292,IV-IV,M_A,Na,GeSn,4.28204,2.535750394134337,0.335788491481734
293,II-VI,M_i_neut,Tc,CdTe,4.277,5.139178331185543,0.05616882156271685
294,IV-IV,M_A,Os,SiC,4.272365,5.360465007545322,0.29323324571748
295,IV-IV,M_i_B,As,SiSn,4.2711190000000006,3.4073621632558257,0.1751012059242061
296,III-V,M_B,Hg,BSb,4.269662,6.213146197635871,0.5978106709191593
297,II-VI,M_i_neut,Pb,CdTe,4.255,3.118410169806538,0.09170325129771954
298,III-V,M_i_A,La,AlSb,4.251396,4.650065491383971,0.35731725817067533
299,II-VI,M_i_A,N,CdTe,4.25,3.2721605137652707,0.1490061093333439
300,II-VI,M_i_B,Sr,CdTe,4.245,4.748097553509245,0.09846347985847977
301,II-VI,M_B,Ge,CdSe,4.240703,4.1506694954281285,0.13278916264802643
302,II-VI,M_i_A,Ba,CdTe,4.223,4.822293929637363,0.10994380460146592
303,II-VI,M_i_neut,V,CdTe,4.223,4.820899424026274,0.0637849754352457
304,IV-IV,M_B,I,SiGe,4.216976,3.475848544988591,0.38095368290268056
305,III-V,M_i_neut,Ru,AlAs,4.209639,3.84666721041554,0.20738922554048583
306,II-VI,M_A,Ba,ZnS,4.208519,3.3899147508080105,0.1826954866937937
307,II-VI,M_i_neut,Al,CdTe,4.205,3.6231260751130185,0.10335418609750326
308,II-VI,M_i_A,Fe,CdTe,4.187,3.636086681637979,0.0801417482997343
309,III-V,M_i_A,Cl,AlAs,4.170788,5.030936266702466,0.236210086488947
310,II-VI,M_i_B,Be,ZnTe,4.159579,4.023317220683731,0.254377227760496
311,II-VI,M_B,Zn,ZnTe,4.15456,3.430919780089694,0.20060771969408894
312,III-V,M_B,O,AlAs,4.140954,3.527288891336133,0.29693249415489464
313,II-VI,M_i_A,S,CdS,4.1297559999999995,4.1300738595396185,0.07922967906393306
314,II-VI,M_i_A,Bi,CdTe,4.128,3.4342165727225735,0.09100855518055063
315,IV-IV,M_i_neut,Tl,SiSn,4.120821,4.2424074406813235,0.18632974472209962
316,III-V,M_i_A,Ir,GaSb,4.116324,2.7505978342336306,0.17878658606621817
317,II-VI,M_A,Bi,ZnS,4.107218,2.802927876955433,0.18015977852048137
318,IV-IV,M_i_B,K,SiGe,4.105738,4.381100488824841,0.24131457072830592
319,II-VI,M_i_neut,Be,CdTe,4.104,4.068196415725011,0.11461527718378137
320,IV-IV,M_i_B,Hf,GeSn,4.102451,4.0486449096856,0.19066767329391388
