,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
92,II-VI,M_i_A,W,CdTe,6.851,6.068000784693929,0.10137980715850611
93,III-V,M_i_B,Pb,GaP,6.811591,5.912742979353557,0.20303150485599059
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,6.222992108110349,0.1207907217416439
95,II-VI,M_i_neut,W,ZnTe,6.377951,6.173423224118141,0.1529190722048208
96,II-VI,M_i_neut,In,CdO,3.627329,3.3874984927084455,0.15642590228596337
97,II-VI,M_i_B,Sb,CdTe,5.257999999999999,3.652429634156225,0.07265519324489265
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,5.718096040480117,0.07703620229254947
99,II-VI,M_B,Os,CdTe,5.718,5.981950165360371,0.11564613276643136
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.3467828447566195,0.10007315074765148
101,IV-IV,M_B,Bi,GeC,7.388043,6.317779031715214,0.362991588896735
102,II-VI,M_i_B,Re,CdTe,6.642,5.79240253091434,0.09620820702047768
103,II-VI,M_B,Ru,CdTe,4.654,4.515697682555429,0.10979568178350926
104,II-VI,M_i_A,Al,CdS,4.62634,2.987296925519204,0.06472999833810264
105,II-VI,M_A,Ru,CdO,2.903838,3.409095304178379,0.15325356355517655
106,II-VI,M_i_A,Pb,CdO,3.534417,3.9918981744813395,0.15221619976196396
107,II-VI,M_B,Tc,CdTe,5.587000000000001,4.743054009787224,0.09560388251736918
108,II-VI,M_B,V,CdTe,4.232,3.172117929925718,0.09805561911577314
109,II-VI,M_B,Rh,CdTe,4.114,4.076513201736219,0.11113619168935025
110,II-VI,M_i_B,Zr,CdTe,4.454,4.3459856253353335,0.06070497760284351
111,II-VI,M_i_B,W,CdTe,6.415,6.154185612512768,0.11339150986207622
112,IV-IV,M_i_neut,Sr,Si,6.397273,4.218009975866421,0.16110835275988697
113,II-VI,M_i_A,Be,CdS,5.087941000000001,3.0026998836142402,0.08804137550975469
114,II-VI,M_i_neut,La,CdTe,4.672,4.412610703299902,0.10597430039013982
115,IV-IV,M_i_A,C,Si,6.357864,5.481533512871808,0.29204315301789446
116,II-VI,M_i_A,Sb,CdTe,4.91,3.6279382847029438,0.07604607648620311
117,II-VI,M_i_neut,W,CdTe,6.27,6.027400609633578,0.10487630758889761
118,II-VI,M_i_neut,Sb,CdTe,4.8,3.5981831257228136,0.06781739848015857
119,III-V,M_i_A,Tc,InP,4.828802,4.507128413332944,0.19428105998342363
120,IV-IV,M_B,Au,GeC,5.675841,6.582010639551733,0.32007297689687103
121,III-V,M_i_B,Ti,BAs,6.349291,6.070226690654077,0.2506275511934866
122,II-VI,M_i_B,La,CdSe,4.064545,4.438750099473043,0.0949387150788218
123,III-V,M_i_B,Mg,GaN,5.071135,5.850300881336234,0.30598959624477823
124,II-VI,M_i_neut,Zr,CdTe,4.1339999999999995,4.31685689976288,0.05948205357570132
125,II-VI,M_B,Cd,CdS,3.163209,2.5566011161829487,0.11019234551445821
126,II-VI,M_i_A,Sn,CdS,3.916097,3.833670619851806,0.06930535679683651
127,II-VI,M_B,Hf,CdTe,5.159,7.143189567162361,0.1901453151478078
128,II-VI,M_i_B,Rb,CdS,3.529205,3.9958826900756903,0.07494191264049926
129,II-VI,M_i_B,Os,CdTe,6.07,5.345056059077742,0.09456616894475914
130,II-VI,M_i_neut,Y,CdTe,4.121,4.4768524069424505,0.07194141334402843
131,II-VI,M_B,Zn,CdS,3.301715,2.111973027090474,0.13260767130223514
132,II-VI,M_i_B,Be,ZnO,2.7770240000000004,3.167825233008757,0.2711471532335654
133,II-VI,M_i_neut,Nb,CdTe,4.494,4.641176529379376,0.05811539248840586
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,4.621771749894288,0.21758610992992825
135,II-VI,M_B,C,CdTe,5.059,5.388402077868207,0.18380938494846707
136,II-VI,M_i_A,Mo,CdTe,5.242000000000001,4.823450813826736,0.06423080219098708
137,II-VI,M_B,Rh,ZnSe,4.203021,3.9856947187990115,0.11089565025627567
138,II-VI,M_i_B,Nb,CdTe,4.417,4.6783287279739785,0.061072652351749177
139,III-V,M_i_neut,Sr,AlAs,4.723997,4.753407722865534,0.1602403098211887
140,IV-IV,M_i_A,Fe,SnC,3.64794,5.52436775650453,0.42155925480923045
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,5.693736314668145,0.07872750763950813
142,II-VI,M_i_B,La,CdTe,4.205,4.490907720763151,0.10056802937563081
143,II-VI,M_B,C,ZnSe,4.101471,5.842553134679319,0.15394972676562052
144,II-VI,M_i_A,Os,CdTe,5.862,5.270008845491928,0.07265553624707814
145,IV-IV,M_i_neut,Ta,SiGe,6.032376999999999,4.863587922076482,0.12864802308522497
146,II-VI,M_i_B,Ag,ZnO,4.98645,4.123880568409244,0.1514975675291878
147,II-VI,M_i_B,Sr,CdO,3.334288,4.039032306675197,0.1655514620718971
148,III-V,M_i_B,Hf,InP,5.149064,5.3235316444902585,0.24791842494421346
149,II-VI,M_i_B,Ta,CdTe,5.774,5.879350181156717,0.07511709146862183
150,II-VI,M_B,Cr,CdTe,3.412,2.4868198768155603,0.11385968128659593
151,IV-IV,M_B,Pd,SiC,5.755425,6.658648580155841,0.24156972779279545
152,III-V,M_i_B,B,AlP,5.057439,4.291132372906229,0.16120377923468965
153,II-VI,M_i_A,Nb,CdTe,4.188,4.615343397159172,0.05697390086672696
154,III-V,M_i_B,Ta,InAs,4.886297,5.612932386115823,0.21066183730107974
155,III-V,M_i_B,Co,GaN,6.600535000000001,5.372770623495131,0.3588426636907232
156,III-V,M_i_B,W,InAs,5.466696,5.560711581799158,0.1981714956384734
157,III-V,M_i_A,Te,AlAs,6.342025,6.308399120827808,0.13415583632175057
158,II-VI,M_i_B,Ti,CdS,2.358631,3.4609495704378164,0.06254621646672996
159,II-VI,M_i_A,Zr,ZnTe,3.730255,4.462831877616675,0.13086919233265606
160,II-VI,M_i_A,Zr,CdTe,3.6180000000000003,4.29534268567713,0.06576868567262086
161,III-V,M_i_neut,Mo,AlP,5.420163,5.214472315098762,0.18633820264883033
162,III-V,M_B,Mg,GaP,3.815344,1.696943005652735,0.25791338748745957
163,II-VI,M_A,Sb,ZnO,2.699995,4.526219624335306,0.1877847394065407
164,II-VI,M_B,Rb,CdTe,3.76,3.891357904520465,0.1797851281598427
165,II-VI,M_A,Ir,CdO,3.5936730000000003,3.127289224515036,0.21857056661502383
166,II-VI,M_i_B,Rh,CdS,3.3271129999999998,3.9217994339810494,0.07702012574757441
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,5.7739803015826485,0.06922158760518722
168,IV-IV,M_A,Bi,SiC,5.910053,4.199542187756862,0.313665634734773
169,II-VI,M_i_neut,Sc,CdTe,4.05,3.4116049660840737,0.08087404885019663
170,II-VI,M_B,Fe,CdTe,3.136,2.3746960088973452,0.12014096369713359
171,II-VI,M_i_B,As,ZnSe,5.519378,4.4358519320544145,0.11000987213905344
172,II-VI,M_B,Co,CdTe,3.0810000000000004,2.5233332503967985,0.07710284509510622
173,II-VI,M_i_neut,Ga,CdS,3.507993,2.7688270599255596,0.053038986876385155
174,II-VI,M_i_neut,Mo,CdTe,4.7010000000000005,4.843102445494912,0.06589631593876442
175,II-VI,M_i_neut,Co,CdO,2.646598,2.695692989920785,0.12273569107103656
176,II-VI,M_B,K,CdTe,3.7539999999999996,3.2935121526812607,0.18734688199584834
177,II-VI,M_i_B,Y,CdTe,3.497,4.474271579163457,0.0758284869750337
178,II-VI,M_i_A,Te,ZnSe,6.352062999999999,5.339006043469546,0.10695082134705083
179,II-VI,M_B,B,CdTe,4.479,3.8155822894156612,0.11358745403988972
180,II-VI,M_B,Be,CdTe,3.762,3.5776175414596225,0.1435967627164242
181,III-V,M_i_neut,W,GaSb,5.420782,6.0287231113644735,0.18371855030671708
182,II-VI,M_i_A,Zn,ZnS,3.268056,3.7418941045110143,0.10504488999576835
183,II-VI,M_A,Zr,CdS,3.1863580000000002,2.307955635389116,0.0837204617248609
184,II-VI,M_B,Li,ZnTe,3.4027629999999998,3.288769752382456,0.17824668775455454
185,II-VI,M_i_neut,Ba,CdTe,4.442,4.078482130958633,0.09371613120879309
186,II-VI,M_i_neut,As,CdS,4.094933999999999,4.3563297345949605,0.07057695748188299
187,III-V,M_B,Hf,InSb,4.665163,4.188445899991162,0.19134047465775977
188,II-VI,M_i_B,Mo,CdTe,4.601,4.882525004043551,0.07150592727316539
189,II-VI,M_i_A,Ta,CdTe,5.343,5.790660840644181,0.06815128027902358
190,III-V,M_i_A,Cl,GaP,5.653321,4.804724053330858,0.1955888557819659
191,IV-IV,M_i_neut,La,Ge,5.326147,4.67109662010858,0.11950809869856614
192,II-VI,M_B,Mg,CdTe,3.7889999999999997,3.2774644202556447,0.14429025138442944
193,II-VI,M_B,Mn,CdTe,3.194,2.2859025957493038,0.13660079837973219
194,II-VI,M_i_B,B,CdSe,4.871931,3.822855816457679,0.08183843566804357
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,6.553771562053917,0.3180374703625461
196,II-VI,M_i_A,La,CdTe,3.5589999999999997,4.391354983539171,0.10086389839199095
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,5.221632671098895,0.08135730163542655
198,IV-IV,M_B,Rb,SiGe,5.448151,4.2159949314923875,0.30346731519087894
199,II-VI,M_B,Cs,CdTe,3.37,4.923054270595007,0.23623608536499438
200,III-V,M_i_B,Zr,InN,2.1341069999999998,5.7458916108258675,0.33659737487989977
201,II-VI,M_B,Si,CdSe,2.6001819999999998,3.047297834303339,0.10227592263840891
202,II-VI,M_B,Ir,CdTe,3.951,4.08760366529064,0.12713735460549072
203,II-VI,M_i_B,Ti,CdTe,3.5389999999999997,3.1034178833326087,0.06328291032332074
204,II-VI,M_i_A,B,CdTe,5.207000000000001,3.80676519259656,0.08983923955350709
205,III-V,M_i_neut,Ir,InP,3.8199959999999997,4.411970791760484,0.2652621615531782
206,II-VI,M_i_B,Ru,CdTe,4.146,4.114415046945245,0.08067485314921242
207,II-VI,M_i_neut,I,ZnSe,6.019228,5.908354008891004,0.11139369103171332
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.362715899403524,0.1250397178293942
209,II-VI,M_i_A,Y,CdTe,3.1439999999999997,4.399537673049279,0.0695413669308611
210,II-VI,M_i_B,Sc,CdTe,3.6439999999999997,3.4096896120310625,0.0789078554773652
211,III-V,M_i_B,In,AlAs,4.5806569999999995,4.195075698787442,0.1329367556299472
212,II-VI,M_i_neut,B,CdTe,5.052,3.807506600562437,0.09630576838789365
213,III-V,M_i_B,Os,GaSb,6.043499,5.356376817889175,0.15110150374601497
214,II-VI,M_i_neut,Ti,CdTe,3.34,3.0797136911398715,0.06458822223606753
215,II-VI,M_B,Tl,ZnSe,2.6308119999999997,2.200428897801409,0.16539064368096917
216,IV-IV,M_i_neut,Rb,SiSn,5.962376,4.579229787870358,0.16965711488078322
217,II-VI,M_i_neut,Cd,CdS,3.307201,2.9811306191031717,0.07791918654143222
218,IV-IV,M_i_B,As,SiGe,4.863747,4.058888902872291,0.13283639128818872
219,II-VI,M_A,C,CdSe,6.231954,7.090234804654872,0.15602233290778234
220,III-V,M_i_B,Zn,BSb,5.924497,5.1555257186183905,0.2539889849069743
221,II-VI,M_i_neut,Sr,CdTe,3.97,3.592010670399931,0.09475309119045026
222,II-VI,M_i_A,Bi,CdSe,3.952889,3.748776289493004,0.08820129826997775
223,II-VI,M_i_neut,K,CdO,2.835541,3.2936268703983655,0.21995855609874704
224,II-VI,M_i_A,Sc,CdTe,3.4789999999999996,3.371319850657271,0.08387241305663971
225,II-VI,M_i_B,Ba,CdTe,3.946,4.084603150672033,0.0985929437803051
226,II-VI,M_B,Li,CdTe,3.6839999999999997,2.9039295571984765,0.1951397367569966
227,II-VI,M_i_B,Rh,CdTe,3.458,3.403141383812039,0.06559211673085008
228,IV-IV,M_i_B,P,SiGe,4.7803830000000005,4.774077975548532,0.2172958810657134
229,II-VI,M_i_A,Cu,ZnO,3.014662,3.5651704045221444,0.18319315890993584
230,II-VI,M_i_neut,Se,ZnS,6.272565,5.938938573391087,0.13965061674259432
231,II-VI,M_i_A,Rh,CdTe,3.427,3.3523880444159877,0.0576432127595933
232,II-VI,M_i_B,Br,CdO,5.645980000000001,4.828360883812801,0.19151625500536884
233,II-VI,M_i_B,B,CdTe,4.843,3.809609909378532,0.0985114919156611
234,IV-IV,M_i_B,N,GeC,4.531255000000001,7.367166748409838,0.37439642117785893
235,II-VI,M_i_neut,Ru,CdTe,3.813,4.070278619518605,0.07949741623544242
236,II-VI,M_i_A,Ru,CdTe,3.8080000000000003,4.077710288417307,0.06692219404989719
237,IV-IV,M_i_A,Tl,SiGe,4.810553,4.217326547310726,0.14595294283922564
238,II-VI,M_i_B,Te,CdS,5.7312959999999995,5.067897795707189,0.09682674120095516
239,II-VI,M_i_B,Tc,CdTe,4.78,4.332568582155931,0.059009219953447524
240,II-VI,M_A,C,CdTe,5.707999999999999,6.733902677630274,0.15266593721735472
241,II-VI,M_i_A,Tc,CdTe,4.754,4.2883678434038925,0.06173497927665172
242,III-V,M_i_B,Cd,GaP,4.369673000000001,4.882371314915372,0.13099720804354076
243,II-VI,M_B,Na,CdTe,3.178,3.7393337484219997,0.17600397115923525
244,II-VI,M_i_A,Li,ZnS,2.336097,2.8794684810540394,0.1315034982011518
245,III-V,M_i_B,B,AlSb,4.777525,3.604175331910163,0.16467660748664836
246,II-VI,M_i_B,Mn,ZnS,1.8154810000000001,3.3675723532763158,0.13278245119676163
247,III-V,M_B,Os,AlSb,5.0619559999999995,4.180861245651701,0.19748821718030699
248,III-V,M_i_neut,In,InN,4.520876,5.094693385986157,0.3669324001518534
249,III-V,M_i_A,Mn,BSb,1.8644349999999998,4.903156654084038,0.18187407053082305
250,II-VI,M_i_A,Cd,CdS,3.02337,2.94833876166611,0.08082387698887
251,II-VI,M_B,Al,CdTe,2.5989999999999998,2.0950179158543314,0.10871804475993438
252,II-VI,M_i_A,Ti,CdTe,3.008,3.0570268935418925,0.0577679975559992
253,II-VI,M_i_B,S,ZnTe,6.007401,4.678123993588097,0.10944370381517352
254,IV-IV,M_i_B,O,SiSn,4.323297,3.466944461632815,0.16216050617701713
255,II-VI,M_i_B,Cd,CdS,2.987293,3.0102103462582375,0.08044835651549209
256,III-V,M_i_A,S,InP,5.03909,4.571491726125737,0.12094704216228583
257,II-VI,M_i_A,Ir,CdTe,4.311,3.97245826028022,0.07823327387646285
258,II-VI,M_B,Cd,CdSe,2.090747,2.1500130965663886,0.09551566430371757
259,II-VI,M_B,Ni,CdTe,3.228,2.313832264408961,0.08074554581974538
260,II-VI,M_A,Rh,CdO,2.915673,2.639649648677427,0.14644215893160367
261,II-VI,M_i_neut,Pt,CdS,2.982152,4.002276370478231,0.08118241118046744
262,II-VI,M_i_neut,Sb,ZnTe,4.311339,4.2334501635137185,0.10409897319096596
263,II-VI,M_i_A,Ca,ZnTe,3.241119,3.3408408268131344,0.115780316684048
264,II-VI,M_i_B,Na,ZnTe,3.755551,2.990925823719364,0.134928238069682
265,II-VI,M_i_B,Bi,CdTe,3.9610000000000003,3.6568338531316997,0.1001352440045184
266,II-VI,M_i_B,S,CdS,5.855580000000001,5.32883789773374,0.10385920323042933
267,II-VI,M_i_B,Ir,CdTe,4.2219999999999995,4.031487884500974,0.09075568804856482
268,II-VI,M_i_neut,Rh,CdTe,3.1039999999999996,3.3589586964656233,0.0629108214999657
269,III-V,M_i_neut,Br,InP,4.884957,4.44499731297599,0.11847514722468065
270,IV-IV,M_i_A,Os,GeSn,4.384718,4.186173188697272,0.14253007516157887
271,II-VI,M_A,P,ZnS,4.73641,5.086773067176999,0.11616859613408123
272,II-VI,M_B,Sb,CdTe,2.123,1.6005489099882684,0.09534977942655551
273,II-VI,M_i_neut,Ca,CdSe,3.217879,3.0336063655532315,0.0764115210199719
274,IV-IV,M_i_neut,Mn,GeC,3.328115,5.911243387822878,0.24590344750911278
275,II-VI,M_i_neut,Ca,CdTe,3.5210000000000004,2.8644388264540446,0.07890887980210422
276,II-VI,M_B,Zn,CdTe,2.565,1.4395024732471302,0.11401198193288171
277,IV-IV,M_A,W,GeC,3.2998559999999997,4.628251345338823,0.28930674650237564
278,III-V,M_i_A,Pd,InN,5.589995,4.712422362404467,0.3282343234084007
279,II-VI,M_i_B,N,CdTe,4.58,3.407155713535994,0.15484168417237618
280,III-V,M_i_B,Nb,InSb,3.913903,3.9895555875251225,0.1698306721750004
281,II-VI,M_i_B,Cs,CdTe,3.469,3.960027589342647,0.14721116080698868
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,4.883014541361307,0.1377357899472964
283,II-VI,M_i_A,K,ZnSe,3.099839,3.7176257769985015,0.12201382985561449
284,II-VI,M_i_neut,Cd,CdO,2.319802,2.699082865733729,0.15040283457385983
285,II-VI,M_A,Sb,CdTe,3.87,2.152756087532731,0.08714243652393922
286,II-VI,M_i_neut,N,CdTe,4.5,3.3938120313941313,0.1568552560627403
287,II-VI,M_i_B,Hf,CdTe,4.315,5.0409052501127425,0.07609279097703629
288,III-V,M_i_B,La,GaSb,4.371508,4.487693074972639,0.21863350073515408
289,II-VI,M_i_A,V,CdTe,2.966,2.94142453599609,0.07602167261004784
290,II-VI,M_i_B,Sr,CdSe,3.016486,3.7024678813073555,0.09794604393475781
291,II-VI,M_i_B,V,CdTe,2.9410000000000003,2.9569188677129077,0.07431899808517936
292,IV-IV,M_A,Na,GeSn,4.465356,4.130811834028747,0.19425322157500527
293,II-VI,M_i_neut,Tc,CdTe,4.277,4.293757105571178,0.06250847161691457
294,IV-IV,M_A,Os,SiC,5.10728,5.169223642227193,0.35497963121693993
295,IV-IV,M_i_B,As,SiSn,4.394126,3.194547888784107,0.15345408689209922
296,III-V,M_B,Hg,BSb,3.5796349999999997,3.4057942174521294,0.29437949033109057
297,II-VI,M_i_neut,Pb,CdTe,3.306,3.107290837166962,0.09709736588724197
298,III-V,M_i_A,La,AlSb,3.8329489999999997,4.720242660817545,0.14557296861004074
299,II-VI,M_i_A,N,CdTe,4.408,3.3798844008174855,0.1637329109033714
300,II-VI,M_i_B,Sr,CdTe,3.2960000000000003,3.6014015812625693,0.11855973654605398
301,II-VI,M_B,Ge,CdSe,2.157188,2.283245653246994,0.09684915034682377
302,II-VI,M_i_A,Ba,CdTe,3.2739999999999996,3.9822114478423187,0.08413750452468521
303,II-VI,M_i_neut,V,CdTe,2.8789999999999996,2.9137821731267355,0.06865468654627942
304,IV-IV,M_B,I,SiGe,4.361028,5.013555338169131,0.2289725075053294
305,III-V,M_i_neut,Ru,AlAs,5.3116389999999996,4.477544560192354,0.21131015525906194
306,II-VI,M_A,Ba,ZnS,2.808519,2.273023990719974,0.16328447378647717
307,II-VI,M_i_neut,Al,CdTe,3.06,2.652611019908462,0.05697368498324991
308,II-VI,M_i_A,Fe,CdTe,2.807,2.1518827961561335,0.06714770362783205
309,III-V,M_i_A,Cl,AlAs,4.506616,5.069767464892332,0.16722318185851415
310,II-VI,M_i_B,Be,ZnTe,3.431579,2.738715891424799,0.11316014304950447
311,II-VI,M_B,Zn,ZnTe,1.8907200000000002,2.0606916150815824,0.1405745508820613
312,III-V,M_B,O,AlAs,3.8051269999999997,4.063909912781948,0.31126260544422707
313,II-VI,M_i_A,S,CdS,5.4309,5.293884016751038,0.10312790806565474
314,II-VI,M_i_A,Bi,CdTe,3.531,3.616524442984661,0.09185304222610659
315,IV-IV,M_i_neut,Tl,SiSn,4.869882,3.778467144551506,0.13161889760506937
316,III-V,M_i_A,Ir,GaSb,4.136324,4.222855952152753,0.17451482472049556
317,II-VI,M_A,Bi,ZnS,4.010057,3.064551029488283,0.17146403639038638
