,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
35,II-VI,M_i_neut,La,ZnSe,9.193508999999999,8.135266443501143,0.1823642946121602
36,II-VI,M_B,Zr,CdTe,8.923,7.525838050944918,0.09982891341137597
37,II-VI,M_B,La,CdTe,8.913,8.091648796723396,0.2921603092404032
38,II-VI,M_B,W,CdTe,8.891,8.081296744449746,0.131748931841042
39,IV-IV,M_i_A,Ru,SiC,8.849056,7.800405679930781,0.17442042085900353
40,III-V,M_i_neut,Cl,BSb,8.706022,4.619937504384382,0.6195404606721145
41,II-VI,M_i_B,Al,ZnS,8.683907000000001,6.449820891228491,0.14080591831239475
42,IV-IV,M_i_B,Al,GeC,8.644658,8.000699356135906,0.21559705193892842
43,III-V,M_i_neut,Pt,BP,8.616133999999999,7.609715586238581,0.37818789348766263
44,III-V,M_i_neut,Ag,BP,8.32291,7.660074284876169,0.287502876375384
45,III-V,M_i_A,Ba,GaP,8.311112,5.425087944971352,0.3180762440106888
46,II-VI,M_B,Nb,CdTe,8.266,7.557379818437083,0.09804183126769109
47,IV-IV,M_i_A,Tc,SiC,8.192969,7.697830171703451,0.19367173897700024
48,II-VI,M_B,Y,CdTe,8.189,7.634608852577243,0.1079098571589361
49,III-V,M_i_B,I,AlP,8.180603,7.802128890592324,0.21879498517046428
50,II-VI,M_B,Ca,CdSe,8.176685,7.208821961682736,0.14100564747458055
51,III-V,M_i_A,Be,GaN,8.159421,5.776322903314842,0.3616544717949192
52,IV-IV,M_i_A,B,SiC,8.043847,7.167339681061324,0.21243902645388904
53,III-V,M_i_A,W,BP,7.924508,9.139622124052217,0.3007981993141734
54,III-V,M_B,Ba,InP,7.916874000000001,4.044191041369758,0.3849646198863291
55,III-V,M_B,La,GaAs,7.901258,4.457734939564123,0.3181832272362698
56,III-V,M_i_B,Tc,BAs,7.729577000000001,7.6534504207166005,0.2716199910350688
57,II-VI,M_B,Os,CdSe,7.718526,7.319447414752946,0.10168319647638493
58,II-VI,M_B,Mo,CdTe,7.7170000000000005,7.488875258794546,0.10745338718912363
59,II-VI,M_B,Re,CdTe,7.6979999999999995,8.259565524071565,0.11892993689004111
60,II-VI,M_i_A,Ba,ZnSe,7.676982000000001,7.323254573670977,0.19237401263765017
61,II-VI,M_B,Ti,CdTe,7.655,5.959698366439038,0.11478132441192619
62,II-VI,M_B,Sc,CdTe,7.62,6.12008149918742,0.12863922839718728
63,II-VI,M_i_A,Cl,ZnO,7.616961,5.913052342101869,0.27746820135978306
64,II-VI,M_B,Ta,CdTe,7.585,8.453562996744498,0.17142409733937192
65,II-VI,M_B,Ba,CdTe,7.574,7.518913254963469,0.2903471181826989
66,IV-IV,M_i_neut,O,GeC,7.517438,8.491745129944077,0.3066358869433324
67,II-VI,M_i_A,Sc,ZnS,7.5110850000000005,8.111869594933934,0.22456242490449493
68,IV-IV,M_B,Sb,SiC,7.388986999999999,6.779512887663364,0.3495987407157675
69,III-V,M_A,Hf,BAs,7.386991,4.757032372453476,0.39903885355437696
70,II-VI,M_i_neut,Cs,CdS,7.371510000000001,5.986500926261563,0.14614205491678103
71,IV-IV,M_i_B,C,SnC,7.362067,8.306964957933058,0.2072247057757329
72,IV-IV,M_B,Te,SnC,7.3602479999999995,9.173606567116927,0.3919492853957916
73,IV-IV,M_i_B,F,GeC,7.333756,8.024215897810855,0.2582036332656314
74,II-VI,M_i_neut,Cs,ZnSe,7.297979,6.880907427007381,0.228020278152242
75,II-VI,M_i_B,Ir,CdS,7.268053999999999,4.696875947950987,0.10743200333056283
76,II-VI,M_i_B,Bi,ZnSe,7.242951,6.288520602100387,0.14902931515559978
77,II-VI,M_i_B,Mg,ZnS,7.236806,5.440790332437048,0.23514430550186713
78,II-VI,M_B,Sr,CdTe,7.229,7.310551826351338,0.1391778224105159
79,II-VI,M_i_neut,Na,ZnO,7.191727,7.3412037141148545,0.2714935212954066
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,7.131337561182802,0.261304851430643
81,IV-IV,M_i_B,Al,SiC,7.109779,7.7140250845911,0.23676988923018563
82,IV-IV,M_A,Rh,GeC,7.072358,5.474231552919634,0.3109934504574077
83,II-VI,M_B,Ca,CdTe,7.0489999999999995,6.457674269789074,0.17082211522425172
84,II-VI,M_i_neut,Ir,ZnS,7.044389,5.551775694743886,0.22288071223990796
85,IV-IV,M_i_B,C,SiGe,7.029664,5.447272192652565,0.206583563337123
86,III-V,M_i_B,C,AlAs,6.978333999999999,6.018221208358827,0.2324036556976829
87,III-V,M_A,Te,BP,6.957153999999999,6.495862774307613,0.4335678412969318
88,II-VI,M_i_B,C,CdTe,6.943,6.178743494812393,0.08840126610435411
89,III-V,M_i_neut,Pb,AlP,6.935306,7.5030904050372245,0.18099502825380637
90,II-VI,M_i_B,Y,CdO,6.894886,7.4709754720738974,0.18964969648258037
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.240043774632079,0.08580062483944625
92,II-VI,M_i_A,W,CdTe,6.851,5.951616471284711,0.12586948957801897
93,III-V,M_i_B,Pb,GaP,6.811591,7.442688798492995,0.1830991760211561
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,5.858026220285581,0.14324682144974576
95,II-VI,M_i_neut,W,ZnTe,6.695950999999999,6.010894166617016,0.18685962899787167
96,II-VI,M_i_neut,In,CdO,6.683149,5.467098209788574,0.18902043965319448
97,II-VI,M_i_B,Sb,CdTe,6.681,4.06177978542051,0.07151189559843898
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,6.173285913286153,0.09795333368177613
99,II-VI,M_B,Os,CdTe,6.666,6.536657029422318,0.1346045380145699
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.244521525468954,0.08712612264539224
101,IV-IV,M_B,Bi,GeC,6.642875,6.269225921447675,0.44039315046645305
102,II-VI,M_i_B,Re,CdTe,6.642,6.353157077118238,0.11896464422082396
103,II-VI,M_B,Ru,CdTe,6.612,6.3536094258518805,0.11445872315088393
104,II-VI,M_i_A,Al,CdS,6.578055,4.827367992914574,0.0875177189679529
105,II-VI,M_A,Ru,CdO,6.5520510000000005,5.335011955047383,0.20284468962702498
106,II-VI,M_i_A,Pb,CdO,6.54363,6.12404771379867,0.17785538957570882
107,II-VI,M_B,Tc,CdTe,6.5360000000000005,6.602815601211097,0.10373933446005369
108,II-VI,M_B,V,CdTe,6.523,5.847941359108246,0.12980582783550174
109,II-VI,M_B,Rh,CdTe,6.481,5.600263053739321,0.11104873825178842
110,II-VI,M_i_B,Zr,CdTe,6.475,5.864363608630477,0.08443485787576349
111,II-VI,M_i_B,W,CdTe,6.415,6.08968581895968,0.14299299192574896
112,IV-IV,M_i_neut,Sr,Si,6.397273,5.27943253706735,0.2993901508450502
113,II-VI,M_i_A,Be,CdS,6.3890839999999995,4.92431451851469,0.11284152667192061
114,II-VI,M_i_neut,La,CdTe,6.379,5.949319093764667,0.1264565851168436
115,IV-IV,M_i_A,C,Si,6.357864,5.604091535761219,0.2960662031767785
116,II-VI,M_i_A,Sb,CdTe,6.332999999999999,3.840233912228031,0.0889123990165762
117,II-VI,M_i_neut,W,CdTe,6.27,5.8917129103862695,0.12015672303453734
118,II-VI,M_i_neut,Sb,CdTe,6.223,3.8315104212603828,0.06396962862108908
119,III-V,M_i_A,Tc,InP,6.217023999999999,5.507649530235025,0.1880579381182247
120,IV-IV,M_B,Au,GeC,6.2141779999999995,7.327906662865201,0.42980067579996634
121,III-V,M_i_B,Ti,BAs,6.201029,7.249969852905375,0.27580720553634963
122,II-VI,M_i_B,La,CdSe,6.173819,6.252152571629955,0.08884883332196918
123,III-V,M_i_B,Mg,GaN,6.168469,7.082431428076342,0.4320759948914561
124,II-VI,M_i_neut,Zr,CdTe,6.155,6.058239984690841,0.09589768542956033
125,II-VI,M_B,Cd,CdS,6.1344959999999995,4.061748435686196,0.13243267115224705
126,II-VI,M_i_A,Sn,CdS,6.13124,5.148210792651075,0.0882918849595927
127,II-VI,M_B,Hf,CdTe,6.107,8.277876429371327,0.21977233118468828
128,II-VI,M_i_B,Rb,CdS,6.097848,4.8778615129072245,0.09681179916864058
129,II-VI,M_i_B,Os,CdTe,6.07,4.8710647232961275,0.10966371499922337
130,II-VI,M_i_neut,Y,CdTe,6.059,5.945693251813855,0.0620511884871699
131,II-VI,M_B,Zn,CdS,6.048001999999999,3.8021162968424527,0.11589286926103806
132,II-VI,M_i_B,Be,ZnO,6.034982,6.31962955702903,0.3457264887155157
133,II-VI,M_i_neut,Nb,CdTe,6.0329999999999995,6.301569187765015,0.06606809411532566
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,6.492688042706433,0.27773266208903924
135,II-VI,M_B,C,CdTe,6.007999999999999,7.16766693560739,0.14528891409814576
136,II-VI,M_i_A,Mo,CdTe,5.995,5.918841886336241,0.06363339942565235
137,II-VI,M_B,Rh,ZnSe,5.993703,6.850791434431889,0.16575653436373458
138,II-VI,M_i_B,Nb,CdTe,5.956,6.1220189531111835,0.09054639790028027
139,III-V,M_i_neut,Sr,AlAs,5.929858,4.616742435963793,0.2950846526684478
140,IV-IV,M_i_A,Fe,SnC,5.929035,7.751898479471839,0.291828975884743
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,6.177710953486447,0.1205804685855799
142,II-VI,M_i_B,La,CdTe,5.912000000000001,5.9607368177439835,0.09923285931208226
143,II-VI,M_B,C,ZnSe,5.911153,7.7143707759381455,0.21323103659006107
144,II-VI,M_i_A,Os,CdTe,5.862,4.667794566538207,0.09734502704382986
145,IV-IV,M_i_neut,Ta,SiGe,5.840308,5.986469645453187,0.20592181103530396
146,II-VI,M_i_B,Ag,ZnO,5.834783,6.585718502560139,0.2007591704937546
147,II-VI,M_i_B,Sr,CdO,5.810501,5.356126237806999,0.2927297275656444
148,III-V,M_i_B,Hf,InP,5.794212,4.9955515038999705,0.20550452649469605
149,II-VI,M_i_B,Ta,CdTe,5.774,6.636364343002799,0.13205803621930576
150,II-VI,M_B,Cr,CdTe,5.765,4.8470707381234845,0.11612625441365186
151,IV-IV,M_B,Pd,SiC,5.755425,5.581771717529748,0.3893846641162103
152,III-V,M_i_B,B,AlP,5.7467690000000005,4.689425274834359,0.18960358325033502
153,II-VI,M_i_A,Nb,CdTe,5.727,6.232842289881482,0.0755684556800794
154,III-V,M_i_B,Ta,InAs,5.724173,5.827060010372884,0.19840200331647778
155,III-V,M_i_B,Co,GaN,5.698535,5.833133693579586,0.4472145785512362
156,III-V,M_i_B,W,InAs,5.684196,5.653119764066571,0.18410302026078193
157,III-V,M_i_A,Te,AlAs,5.670371,6.347344533893731,0.16530402822165235
158,II-VI,M_i_B,Ti,CdS,5.659346,5.702418391173586,0.0768129298813132
159,II-VI,M_i_A,Zr,ZnTe,5.640255000000001,6.608878147342402,0.1521906613246796
160,II-VI,M_i_A,Zr,CdTe,5.638999999999999,5.981187710113875,0.093442537822095
161,III-V,M_i_neut,Mo,AlP,5.636163,6.08113507644268,0.1551256696147473
162,III-V,M_B,Mg,GaP,5.5889050000000005,3.2266028339013757,0.32836808915138255
163,II-VI,M_A,Sb,ZnO,5.586536,4.6212421409774285,0.30150513896740416
164,II-VI,M_B,Rb,CdTe,5.574,5.652123665100547,0.16726569852976517
165,II-VI,M_A,Ir,CdO,5.56046,4.550108987939276,0.321321324129752
166,II-VI,M_i_B,Rh,CdS,5.551328,4.966277266673146,0.0874552515292515
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,6.473335927252654,0.11529474751925607
168,IV-IV,M_A,Bi,SiC,5.492596,5.034524092409345,0.2935725078899958
169,II-VI,M_i_neut,Sc,CdTe,5.473,4.7924302653287265,0.08219619082120433
170,II-VI,M_B,Fe,CdTe,5.465,5.018457474657682,0.12283464833022784
171,II-VI,M_i_B,As,ZnSe,5.464378,5.147891882884264,0.1166261008070844
172,II-VI,M_B,Co,CdTe,5.46,4.734652115777102,0.11490825417967451
173,II-VI,M_i_neut,Ga,CdS,5.459708,4.6359760398778995,0.08258150060906093
174,II-VI,M_i_neut,Mo,CdTe,5.454,5.959024059979916,0.062271844276941664
175,II-VI,M_i_neut,Co,CdO,5.443811,5.939192678690934,0.154509954334849
176,II-VI,M_B,K,CdTe,5.436,4.8931634160518485,0.16764009050516754
177,II-VI,M_i_B,Y,CdTe,5.435,5.74399883153486,0.0670078149916054
178,II-VI,M_i_A,Te,ZnSe,5.434063,4.909052813580521,0.12497382122173321
179,II-VI,M_B,B,CdTe,5.428,6.1487611307469825,0.1536812865644166
180,II-VI,M_B,Be,CdTe,5.421,6.052645034307487,0.18436014889038374
181,III-V,M_i_neut,W,GaSb,5.420782,4.994261129097257,0.221491692471576
182,II-VI,M_i_A,Zn,ZnS,5.417896,5.2044918637899,0.12692678213012726
183,II-VI,M_A,Zr,CdS,5.4005019999999995,3.4035893401159547,0.11923277468439263
184,II-VI,M_B,Li,ZnTe,5.394522,5.107633485752683,0.2410612379190153
185,II-VI,M_i_neut,Ba,CdTe,5.391,4.755342904280419,0.11522066603316565
186,II-VI,M_i_neut,As,CdS,5.382434,4.716770135362119,0.06833303821690911
187,III-V,M_B,Hf,InSb,5.364508,3.6982372457224493,0.2715058081186891
188,II-VI,M_i_B,Mo,CdTe,5.353,5.804013621300055,0.07946045710487148
189,II-VI,M_i_A,Ta,CdTe,5.343,6.453800229654652,0.1011624661468554
190,III-V,M_i_A,Cl,GaP,5.326942,5.989005052682556,0.21083561338792872
191,IV-IV,M_i_neut,La,Ge,5.326147,5.847759771878847,0.21511135506133633
192,II-VI,M_B,Mg,CdTe,5.31,4.776975103300713,0.17543521785790492
193,II-VI,M_B,Mn,CdTe,5.28,4.252586701568065,0.1248960177532262
194,II-VI,M_i_B,B,CdSe,5.273931,4.861144942333034,0.08377177771371473
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,5.870595133288526,0.36227690564440523
196,II-VI,M_i_A,La,CdTe,5.266,5.854959322384894,0.12135959152248522
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,4.601815670316945,0.09954161765895686
198,IV-IV,M_B,Rb,SiGe,5.256082,4.393854015300939,0.34413195049671486
199,II-VI,M_B,Cs,CdTe,5.25,7.636399095030873,0.4187300039406703
200,III-V,M_i_B,Zr,InN,5.24444,7.633814541794706,0.38860355942689084
201,II-VI,M_B,Si,CdSe,5.235698,4.834851784021401,0.10919358225865967
202,II-VI,M_B,Ir,CdTe,5.231,5.300019771341506,0.12010006622487912
203,II-VI,M_i_B,Ti,CdTe,5.215,4.595433501614195,0.08062368062123498
204,II-VI,M_i_A,B,CdTe,5.207000000000001,4.785718817101091,0.11417742842686761
205,III-V,M_i_neut,Ir,InP,5.168292,5.417832911573456,0.20663568362594006
206,II-VI,M_i_B,Ru,CdTe,5.156000000000001,4.603449642973452,0.07074365570504998
207,II-VI,M_i_neut,I,ZnSe,5.114387000000001,4.387387663204402,0.1454269237079654
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.092282711450226,0.22160882348998137
209,II-VI,M_i_A,Y,CdTe,5.082,5.836730092469093,0.06691747994242603
210,II-VI,M_i_B,Sc,CdTe,5.067,4.441648733669377,0.09790105755508656
211,III-V,M_i_B,In,AlAs,5.054657,5.280275405145121,0.15934516461210615
212,II-VI,M_i_neut,B,CdTe,5.052,4.800542520476185,0.10542831550109825
213,III-V,M_i_B,Os,GaSb,5.039499,4.504030607481158,0.18513612045045738
214,II-VI,M_i_neut,Ti,CdTe,5.015,4.905574713930086,0.07971083262000334
215,II-VI,M_B,Tl,ZnSe,4.992494000000001,6.393103553233162,0.22916247902373937
216,IV-IV,M_i_neut,Rb,SiSn,4.989315,4.563017768480309,0.26282798632533827
217,II-VI,M_i_neut,Cd,CdS,4.977344,3.929554303698558,0.06544084722126582
218,IV-IV,M_i_B,As,SiGe,4.959747,4.078581376524606,0.18987184167132373
219,II-VI,M_A,C,CdSe,4.955438,5.7429930786567125,0.1441791385530657
220,III-V,M_i_B,Zn,BSb,4.931979,5.184864228127738,0.25343743847141376
221,II-VI,M_i_neut,Sr,CdTe,4.919,4.889711051845319,0.08906085819731192
222,II-VI,M_i_A,Bi,CdSe,4.912889,3.948910080128988,0.08992076201854056
223,II-VI,M_i_neut,K,CdO,4.908647,5.651662331009382,0.2191066942372548
224,II-VI,M_i_A,Sc,CdTe,4.902,4.708258264598082,0.08516554768293169
225,II-VI,M_i_B,Ba,CdTe,4.895,4.741338819980498,0.10018124018240494
226,II-VI,M_B,Li,CdTe,4.877,3.3552196075771876,0.21990251762532234
227,II-VI,M_i_B,Rh,CdTe,4.877,3.816373698672406,0.059216563942085396
228,IV-IV,M_i_B,P,SiGe,4.876417,3.7914008873914766,0.20059881303476587
229,II-VI,M_i_A,Cu,ZnO,4.876162,6.046903550833009,0.1685424290790044
230,II-VI,M_i_neut,Se,ZnS,4.8505650000000005,5.165655510760376,0.11368857567895696
231,II-VI,M_i_A,Rh,CdTe,4.845,3.9397838746434943,0.058747159385501846
232,II-VI,M_i_B,Br,CdO,4.8434800000000005,5.811590746866548,0.24687123735325575
233,II-VI,M_i_B,B,CdTe,4.843,4.706836751512906,0.0951756480588367
234,IV-IV,M_i_B,N,GeC,4.841501999999999,7.9625941710581,0.2931422898790792
235,II-VI,M_i_neut,Ru,CdTe,4.822,4.73022253103627,0.07018075184460419
236,II-VI,M_i_A,Ru,CdTe,4.817,4.704354535472126,0.06881146857699393
237,IV-IV,M_i_A,Tl,SiGe,4.810553,5.35770392782896,0.1508120648831398
238,II-VI,M_i_B,Te,CdS,4.805296,4.865755586708927,0.08891221166680939
239,II-VI,M_i_B,Tc,CdTe,4.78,4.916505635707852,0.07977399780186627
240,II-VI,M_A,C,CdTe,4.76,5.453476373700573,0.13843961196456891
241,II-VI,M_i_A,Tc,CdTe,4.754,5.029266503319168,0.06451035801913114
242,III-V,M_i_B,Cd,GaP,4.747673000000001,4.803275413979383,0.16448748875202462
243,II-VI,M_B,Na,CdTe,4.747,4.0915626059375,0.17946386855290627
244,II-VI,M_i_A,Li,ZnS,4.7375169999999995,5.48512023481622,0.23299790004583423
245,III-V,M_i_B,B,AlSb,4.713025,2.6113943612648844,0.15890197441178625
246,II-VI,M_i_B,Mn,ZnS,4.705481,4.956055601861688,0.17138676045290505
247,III-V,M_B,Os,AlSb,4.70151,3.7604907327710277,0.22970325778392756
248,III-V,M_i_neut,In,InN,4.700876,6.961539032242501,0.37784292515714873
249,III-V,M_i_A,Mn,BSb,4.694458,4.610381908819273,0.3330358236413185
250,II-VI,M_i_A,Cd,CdS,4.6935139999999995,3.881715729639493,0.06561868688243239
251,II-VI,M_B,Al,CdTe,4.6930000000000005,4.519609924879971,0.14981802201327515
252,II-VI,M_i_A,Ti,CdTe,4.684,4.853638236007974,0.08045996262358814
253,II-VI,M_i_B,S,ZnTe,4.679561,2.7030442908911407,0.14131462961853636
254,IV-IV,M_i_B,O,SiSn,4.666316999999999,2.8995741737619873,0.20547684730454738
255,II-VI,M_i_B,Cd,CdS,4.657436,3.760777934749858,0.07063150554467212
256,III-V,M_i_A,S,InP,4.651991000000001,4.324929738241529,0.1660010193150533
257,II-VI,M_i_A,Ir,CdTe,4.6419999999999995,3.341234118235975,0.0747582699481378
258,II-VI,M_B,Cd,CdSe,4.621263,3.685047773636448,0.11660698750979805
259,II-VI,M_B,Ni,CdTe,4.61,4.284086772499348,0.1263254200717431
260,II-VI,M_A,Rh,CdO,4.60746,4.704316057819378,0.2204872448847744
261,II-VI,M_i_neut,Pt,CdS,4.5891519999999995,4.28091068765823,0.1084172136671586
262,II-VI,M_i_neut,Sb,ZnTe,4.577339,4.803716222168007,0.11795934976806753
263,II-VI,M_i_A,Ca,ZnTe,4.5689589999999995,6.0653448744172564,0.22128305277862187
264,II-VI,M_i_B,Na,ZnTe,4.564971,3.80468329076254,0.20558959973779878
265,II-VI,M_i_B,Bi,CdTe,4.558,3.8903722831885146,0.10082099546422738
266,II-VI,M_i_B,S,CdS,4.554437,3.7584514514234355,0.07994763522339783
267,II-VI,M_i_B,Ir,CdTe,4.553,3.5286625518553407,0.11363547859599125
268,II-VI,M_i_neut,Rh,CdTe,4.523,3.8882785287404245,0.05887081628319405
269,III-V,M_i_neut,Br,InP,4.510883,5.169553333656817,0.19954443936620753
270,IV-IV,M_i_A,Os,GeSn,4.497376,3.357090761346625,0.13824357988898722
271,II-VI,M_A,P,ZnS,4.496569999999999,3.987198360326873,0.19233551664754867
272,II-VI,M_B,Sb,CdTe,4.495,2.5617421146629704,0.17706045436315404
273,II-VI,M_i_neut,Ca,CdSe,4.494395,4.739199809204353,0.09507954488702915
274,IV-IV,M_i_neut,Mn,GeC,4.479184,7.390176974674023,0.2245116757439824
275,II-VI,M_i_neut,Ca,CdTe,4.47,4.368398027678831,0.09311011089694836
276,II-VI,M_B,Zn,CdTe,4.463,2.9578209535500286,0.13172383290279674
277,IV-IV,M_A,W,GeC,4.432193,6.326743920948825,0.2881660137924473
278,III-V,M_i_A,Pd,InN,4.4274949999999995,6.6574816383156215,0.36382385897264236
279,II-VI,M_i_B,N,CdTe,4.422,3.332256686238894,0.12188634276352166
280,III-V,M_i_B,Nb,InSb,4.400841000000001,6.028769652586168,0.1977612900874224
281,II-VI,M_i_B,Cs,CdTe,4.4,4.7169622844756445,0.17760363280462654
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,4.830292234707277,0.2156510961787336
283,II-VI,M_i_A,K,ZnSe,4.37218,5.39493479096822,0.18160000210773225
284,II-VI,M_i_neut,Cd,CdO,4.3570150000000005,4.533070447933993,0.16835890716733654
285,II-VI,M_A,Sb,CdTe,4.346,1.388563186435424,0.10198707444213356
286,II-VI,M_i_neut,N,CdTe,4.342,3.427214519232733,0.12007986002728689
287,II-VI,M_i_B,Hf,CdTe,4.315,5.82109109605967,0.11976015060725503
288,III-V,M_i_B,La,GaSb,4.309508,5.224352344082822,0.30119864524273593
289,II-VI,M_i_A,V,CdTe,4.309,4.8576441581452094,0.06492386915566892
290,II-VI,M_i_B,Sr,CdSe,4.2930019999999995,4.885926374213202,0.0826381030543111
291,II-VI,M_i_B,V,CdTe,4.284,4.597769313123658,0.07321888505493263
292,IV-IV,M_A,Na,GeSn,4.28204,2.853697820324359,0.3575221847380631
293,II-VI,M_i_neut,Tc,CdTe,4.277,5.074544896757587,0.06583432689145992
294,IV-IV,M_A,Os,SiC,4.272365,5.089464525756646,0.2996978651300382
295,IV-IV,M_i_B,As,SiSn,4.2711190000000006,3.4428612856004306,0.1734958346500847
296,III-V,M_B,Hg,BSb,4.269662,5.656789283824267,0.5788065178464038
297,II-VI,M_i_neut,Pb,CdTe,4.255,3.32743096841025,0.09412979399248578
298,III-V,M_i_A,La,AlSb,4.251396,4.684564825918725,0.3835580473854946
299,II-VI,M_i_A,N,CdTe,4.25,3.411437693456275,0.1350263303889488
300,II-VI,M_i_B,Sr,CdTe,4.245,4.708082749122896,0.08535968955885005
301,II-VI,M_B,Ge,CdSe,4.240703,4.5047629025681015,0.1170189896982509
302,II-VI,M_i_A,Ba,CdTe,4.223,4.647473095743966,0.11110339845059358
303,II-VI,M_i_neut,V,CdTe,4.223,4.87102519437815,0.06469967924954007
304,IV-IV,M_B,I,SiGe,4.216976,2.924942139795786,0.3875276375799973
305,III-V,M_i_neut,Ru,AlAs,4.209639,3.8088148177311583,0.19268998472173493
306,II-VI,M_A,Ba,ZnS,4.208519,3.2381405075301237,0.17875728999079607
307,II-VI,M_i_neut,Al,CdTe,4.205,4.0041618069363265,0.10288687299159083
308,II-VI,M_i_A,Fe,CdTe,4.187,3.5966254028195848,0.07835013665537574
309,III-V,M_i_A,Cl,AlAs,4.170788,4.894019689142821,0.2304256693825743
310,II-VI,M_i_B,Be,ZnTe,4.159579,3.7102450881724125,0.2596597252134762
311,II-VI,M_B,Zn,ZnTe,4.15456,3.3292906790472143,0.1872450230734512
312,III-V,M_B,O,AlAs,4.140954,3.7196972498380196,0.2847092360878086
313,II-VI,M_i_A,S,CdS,4.1297559999999995,3.969931365876545,0.08025414582118293
314,II-VI,M_i_A,Bi,CdTe,4.128,3.503701992777158,0.09954556131040809
315,IV-IV,M_i_neut,Tl,SiSn,4.120821,4.615962339490397,0.1962289899323038
316,III-V,M_i_A,Ir,GaSb,4.116324,2.8581934965131905,0.14860918629891662
317,II-VI,M_A,Bi,ZnS,4.107218,2.7758065259896463,0.1853620278907625
318,IV-IV,M_i_B,K,SiGe,4.105738,3.805864753255227,0.2672673281811366
319,II-VI,M_i_neut,Be,CdTe,4.104,3.933725744586249,0.12135561352010431
320,IV-IV,M_i_B,Hf,GeSn,4.102451,3.808397462441023,0.19697395336544418
