,Type,Site,Impurity,AB,(0/-1)_DFT,train_mean,train_std
61,IV-IV,M_i_A,B,SiC,2.5361130000000003,2.148846188717461,0.04377785864488637
62,II-VI,M_B,Co,ZnS,2.548916,2.369885726936014,0.07896823292158416
63,III-V,M_i_A,W,BP,1.548965,1.46295198789061,0.04907874463895961
64,III-V,M_B,Ba,InP,1.7002849999999998,1.577158575861584,0.09449843098819467
65,III-V,M_B,La,GaAs,1.0067110000000001,0.8041897232299446,0.060534064034192946
66,II-VI,M_B,Si,ZnS,1.152018,2.504329040780574,0.06032238341282705
67,II-VI,M_i_B,Sn,CdO,1.9365560000000002,1.7963905987466269,0.027257899838052324
68,III-V,M_i_B,Tc,BAs,1.12348,1.3642328312333807,0.051731941900862555
69,II-VI,M_B,Os,CdSe,1.401893,1.0391101762843313,0.054479078351174916
70,II-VI,M_B,Mo,CdTe,1.090997,1.0669451404634835,0.03232333480023817
71,II-VI,M_B,Re,CdTe,0.635196,0.4343680721816806,0.04697034930624755
72,II-VI,M_i_A,Ba,ZnSe,2.7487369999999998,2.521092626007724,0.03598962585271202
73,II-VI,M_B,Ti,CdTe,1.1933280000000002,1.3412949964573864,0.029927879894252843
74,II-VI,M_B,Sc,CdTe,1.2214,1.4681774352592618,0.030073544316276613
75,II-VI,M_i_A,Cl,ZnO,0.975318,1.3950968923447526,0.045992347680587554
76,II-VI,M_B,Ta,CdTe,1.184412,0.9652924114211832,0.04562045833008671
77,II-VI,M_B,Ba,CdTe,1.746675,1.4965411979624474,0.05499240485222472
78,IV-IV,M_i_neut,O,GeC,0.21099600000000002,1.1171895509386984,0.059179590840729886
79,II-VI,M_i_A,Sc,ZnS,3.2268939999999997,3.2093318872887964,0.045489394122730814
80,II-VI,M_i_neut,Ti,ZnS,3.083972,3.075586703428914,0.05247885078796988
81,IV-IV,M_B,Sb,SiC,2.58313,2.7096401495849527,0.05551929498415816
82,III-V,M_A,Hf,BAs,1.599742,1.430791044446622,0.055674363553176474
83,II-VI,M_i_neut,Cs,CdS,2.31922,2.424258463024959,0.060391465983370765
84,IV-IV,M_i_B,C,SnC,1.246668,1.2127110241855035,0.061922129451844096
85,IV-IV,M_B,Te,SnC,1.920151,2.0352585086462778,0.05378467594380941
86,IV-IV,M_i_B,F,GeC,0.25097600000000003,0.8915148294489887,0.09691535326643624
87,II-VI,M_i_neut,Cs,ZnSe,2.667926,2.2869117377179053,0.0640943850489502
88,IV-IV,M_A,Pb,SnC,1.525382,1.544605087304431,0.08077764111050256
89,II-VI,M_i_B,Ir,CdS,1.7520900000000001,2.078565329763827,0.041716447881224375
90,II-VI,M_i_B,Bi,ZnSe,2.2173689999999997,2.4056420026991083,0.035436306903987184
91,II-VI,M_i_B,Mg,ZnS,3.5037160000000003,2.9888463106179985,0.04602547175425947
92,II-VI,M_B,Sr,CdTe,1.7013220000000002,1.5006348899253397,0.04982760900052027
93,II-VI,M_i_neut,Na,ZnO,2.377708,2.435411708624243,0.04386277184973195
94,IV-IV,M_i_neut,Zn,SiC,2.544964,2.578114346229647,0.04975125372150579
95,IV-IV,M_i_B,Al,SiC,2.4607419999999998,2.591257804441792,0.04554004649905874
96,II-VI,M_B,I,ZnO,2.641058,2.7490286530248556,0.06762161990092064
97,IV-IV,M_A,Rh,GeC,1.536491,1.3906899188026707,0.08194909697787775
98,II-VI,M_B,Ca,CdTe,1.469262,1.4759728030906192,0.050836399964457546
99,II-VI,M_i_neut,Ir,ZnS,1.9009330000000002,2.640972495723657,0.038296552608943255
100,IV-IV,M_i_B,C,SiGe,0.756983,0.5095715716743471,0.056113676790429445
101,IV-IV,M_B,Re,SnC,0.964124,1.0104989118981853,0.06721350880458811
102,III-V,M_i_B,C,AlAs,1.237414,1.3834825307125,0.07511371098974998
103,III-V,M_A,Te,BP,1.908332,1.4777584481893213,0.09778025503577571
104,II-VI,M_i_B,C,CdTe,1.386496,1.0214448114661445,0.04571453558891837
105,III-V,M_i_neut,Pb,AlP,2.1579509999999997,1.9816218074865966,0.05597063558594593
106,IV-IV,M_B,Li,GeC,1.796947,1.7000531673402357,0.10154976244245688
107,II-VI,M_i_B,Y,CdO,1.9703389999999998,1.9379798177605168,0.04189539630553564
108,II-VI,M_i_A,C,CdTe,0.503099,1.004364350882599,0.04654328076299641
109,II-VI,M_i_A,W,CdTe,1.566194,1.4927129733190005,0.022843698263179526
110,IV-IV,M_A,As,SnC,1.635578,1.0806465818854598,0.05966303286817193
111,III-V,M_i_B,Pb,GaP,2.125354,1.7183566784494062,0.04995590404971819
112,IV-IV,M_i_neut,W,SnC,1.6542270000000001,1.5991403383820442,0.05393455507827566
113,II-VI,M_i_A,C,ZnTe,0.532802,1.1432412615438257,0.05918600456247797
114,II-VI,M_i_neut,W,ZnTe,1.5595,1.5655091088397888,0.04294469358775024
115,II-VI,M_i_neut,In,CdO,1.666309,1.853819810160108,0.030461328684628558
116,II-VI,M_i_B,Sb,CdTe,1.478928,1.6973532738874872,0.021860672601092954
117,II-VI,M_i_A,Re,CdTe,1.6619830000000002,1.560426912579068,0.020847666025084192
118,II-VI,M_B,Os,CdTe,0.9963850000000001,0.6439476569284981,0.0378844074049474
119,II-VI,M_i_neut,C,CdTe,1.209,1.0113431841106677,0.046217131271201
120,IV-IV,M_B,Bi,GeC,2.4382330000000003,2.22236507360137,0.05883668053295541
121,II-VI,M_i_B,Re,CdTe,1.709065,1.5784676612822799,0.024968647073707884
122,II-VI,M_B,Ru,CdTe,0.974518,1.0244590180085922,0.035547521009971404
123,II-VI,M_A,O,CdS,0.43849,0.9249692205577326,0.05292374880183273
124,II-VI,M_i_A,Al,CdS,2.380537,2.342521939864941,0.03551548269217396
125,II-VI,M_A,Ru,CdO,0.910234,0.895572463962746,0.04965972435301829
126,II-VI,M_i_A,Pb,CdO,2.0273369999999997,1.8320155688800497,0.03553243944848894
127,II-VI,M_B,Tc,CdTe,0.648452,1.0435315494822457,0.023807725225812423
128,II-VI,M_B,V,CdTe,1.27786,1.2342433448122614,0.027588674711565456
129,II-VI,M_B,Rh,CdTe,0.275046,0.9517559031923829,0.03461250036829625
130,II-VI,M_i_B,Zr,CdTe,1.861207,1.9851533805349753,0.02575005626279555
131,II-VI,M_i_B,W,CdTe,1.7098919999999997,1.5203192004390491,0.027802422518553273
132,IV-IV,M_i_neut,Sr,Si,1.0935030000000001,1.055641341524981,0.04038786941355141
133,II-VI,M_i_A,Be,CdS,2.244068,2.1347872919663446,0.05008065984525306
134,II-VI,M_i_neut,La,CdTe,1.9012740000000001,2.0086107219545726,0.024342277954590676
135,IV-IV,M_i_A,C,Si,0.532674,0.602445805547616,0.056159243625931124
136,II-VI,M_i_A,Sb,CdTe,1.4150790000000002,1.6617347330683736,0.016529232504478172
137,II-VI,M_i_neut,W,CdTe,1.670023,1.4444675197664913,0.02235747393739561
138,II-VI,M_i_neut,Sb,CdTe,1.6317700000000002,1.6512290793825386,0.01805188529334998
139,III-V,M_i_A,Tc,InP,1.4574,1.3178207097368078,0.04838584214042106
140,IV-IV,M_B,Au,GeC,2.032842,2.0958582204622678,0.05917833632718618
141,III-V,M_i_B,Ti,BAs,1.518734,1.5229336373289653,0.06139493929842612
142,II-VI,M_i_B,La,CdSe,2.336767,2.229486790837405,0.03487221394283339
143,III-V,M_i_B,Mg,GaN,3.717064,3.5247688011209255,0.045014345125387496
144,II-VI,M_i_neut,Zr,CdTe,1.7986360000000001,1.948948307897961,0.023172853642303294
145,II-VI,M_B,Cd,CdS,2.089155,1.8681953265430198,0.053034970097245226
146,II-VI,M_i_A,Sn,CdS,2.647543,2.276689809106385,0.02956632837317097
147,II-VI,M_B,Hf,CdTe,1.046959,1.0532927703984991,0.03872652581680178
148,II-VI,M_i_B,Rb,CdS,2.349135,2.393389107772875,0.055975443029268095
149,II-VI,M_i_B,Os,CdTe,1.601214,1.5335396252874796,0.020296229432860698
150,II-VI,M_i_neut,Y,CdTe,1.8418189999999999,1.9891436951619503,0.018568805204513806
151,II-VI,M_B,Zn,CdS,1.8133569999999999,1.7653508035168777,0.046606698647225484
152,II-VI,M_i_B,Be,ZnO,2.842622,2.494536781630676,0.05413220249957147
153,II-VI,M_i_neut,Nb,CdTe,1.6853349999999998,1.7358083142075285,0.024098830097766238
154,IV-IV,M_i_A,Pb,Si,1.214774,1.2671371385468961,0.05999970957099155
155,II-VI,M_B,C,CdTe,-0.00675,0.7502680629131233,0.0679522351168241
156,II-VI,M_i_A,Mo,CdTe,1.334938,1.5402901068444297,0.019863789691612413
157,II-VI,M_B,Rh,ZnSe,0.629409,1.710695165641468,0.05248587258890405
158,II-VI,M_i_B,Nb,CdTe,1.659325,1.7738816925810859,0.023827369176993424
159,III-V,M_i_neut,Sr,AlAs,2.1293919999999997,1.5908462437531383,0.04877196505481246
160,IV-IV,M_i_A,Fe,SnC,1.6266770000000002,1.7068214269679771,0.03870566188502488
161,II-VI,M_i_neut,Re,CdTe,1.53568,1.499616005245731,0.02071042608243208
162,II-VI,M_i_B,La,CdTe,2.117337,2.0687648901567313,0.02687772295881628
163,II-VI,M_B,C,ZnSe,0.142583,1.40499202937038,0.05990970840742838
164,II-VI,M_i_A,Os,CdTe,1.4355129999999998,1.483508049845152,0.02081741619108611
165,IV-IV,M_i_neut,Ta,SiGe,1.515896,0.8780722137159976,0.028591164225047642
166,II-VI,M_i_B,Ag,ZnO,2.3704509999999996,2.454762041232589,0.03188846152143875
167,II-VI,M_i_B,Sr,CdO,1.961322,1.7919812025070634,0.038564206898879266
168,III-V,M_i_B,Hf,InP,1.693799,1.635166978636055,0.05823439560179425
169,II-VI,M_i_B,Ta,CdTe,1.671212,1.8675869747248968,0.0309939987466338
170,II-VI,M_B,Cr,CdTe,1.30972,1.1949694525804377,0.02775193484555566
171,IV-IV,M_B,Pd,SiC,2.491248,2.3845577535097857,0.05382478724808233
172,III-V,M_i_B,B,AlP,2.129932,1.7745453197558612,0.05727229095178293
173,II-VI,M_i_A,Nb,CdTe,1.7684959999999998,1.7473123042021883,0.02270330790496864
174,III-V,M_i_B,Ta,InAs,1.1800329999999999,1.1151305819790818,0.05214843093703607
175,III-V,M_i_B,W,InAs,1.0079719999999999,0.8385004591908366,0.03894359756316201
176,III-V,M_i_A,Te,AlAs,1.3604,1.6679525096741945,0.053690672797272826
177,II-VI,M_i_B,Ti,CdS,2.641885,2.4780509183387465,0.02824367284309326
178,II-VI,M_i_A,Zr,ZnTe,1.944973,2.101255073967546,0.04391128330110936
179,II-VI,M_i_A,Zr,CdTe,1.788138,1.9678633549235336,0.02737044473286942
180,III-V,M_i_neut,Mo,AlP,1.6684330000000003,1.661638598449373,0.03355163581254091
181,III-V,M_B,Mg,GaP,1.134533,1.6351899403823105,0.08060040499151166
182,II-VI,M_A,Sb,ZnO,2.438171,2.1300151037199178,0.04406463908719632
183,II-VI,M_B,Rb,CdTe,1.91445,1.6829992046420714,0.0507494529343267
184,II-VI,M_A,Ir,CdO,1.381333,1.1232585137742457,0.04792101268944233
185,II-VI,M_i_B,Rh,CdS,1.7226849999999998,1.9870718747939378,0.042137842699210754
186,II-VI,M_i_neut,Ta,CdTe,1.75899,1.7935348216100124,0.02932274922255713
187,IV-IV,M_A,Bi,SiC,2.4907340000000002,2.4592250725420692,0.067700941003015
188,II-VI,M_i_neut,Sc,CdTe,1.78875,1.9865849983953212,0.020092787488419018
189,II-VI,M_B,Fe,CdTe,1.197783,1.0468483641510056,0.024276180489325675
190,II-VI,M_i_B,As,ZnSe,1.856695,2.01154233703176,0.036436389760594316
191,II-VI,M_B,Co,CdTe,0.94586,1.025063617184883,0.030314101271750663
192,II-VI,M_i_neut,Ga,CdS,2.287927,2.304766409126982,0.04107400678506458
193,II-VI,M_i_neut,Mo,CdTe,1.6917349999999998,1.5266505698901478,0.019588101442111174
194,II-VI,M_i_neut,Co,CdO,1.320365,1.6036518988126964,0.028377684120696925
195,II-VI,M_B,K,CdTe,1.801796,1.4284027594931585,0.04191015844911857
196,II-VI,M_i_B,Y,CdTe,2.1170430000000002,2.029406339574078,0.018528547520062232
197,II-VI,M_i_A,Te,ZnSe,1.5739809999999999,1.9541808540230583,0.03561236689243517
198,II-VI,M_B,B,CdTe,0.259137,0.6587272375251698,0.05419239004895886
199,II-VI,M_B,Be,CdTe,0.598637,0.9876479701642069,0.07311628250908006
200,III-V,M_i_neut,W,GaSb,0.5540510000000001,0.49163635355391955,0.03519528105038277
201,II-VI,M_i_A,Zn,ZnS,3.198714,2.882390979081584,0.04683336165461835
202,II-VI,M_A,Zr,CdS,2.205005,2.037676220481998,0.04052380255364582
203,II-VI,M_B,Li,ZnTe,1.484677,1.269788638787914,0.08562722988304843
204,II-VI,M_i_neut,Ba,CdTe,1.9466720000000002,1.940015890266637,0.027706304669498034
205,II-VI,M_i_neut,As,CdS,2.1955419999999997,2.0549805051057697,0.03318577430585244
206,III-V,M_B,Hf,InSb,0.086656,-0.12330693239593966,0.05979373982265315
207,II-VI,M_i_B,Mo,CdTe,1.7596919999999998,1.5646080205407544,0.015408424304380823
208,II-VI,M_i_A,Ta,CdTe,1.778918,1.8482115043348106,0.028795344543685215
209,III-V,M_i_A,Cl,GaP,0.241457,0.73757822363104,0.07277021197266831
210,IV-IV,M_i_neut,La,Ge,0.725529,0.8099546902954883,0.03449930857551549
211,II-VI,M_B,Mg,CdTe,1.183375,1.2228423678991764,0.06388231191645384
212,II-VI,M_B,Mn,CdTe,0.983294,1.12098344925496,0.023776637517598155
213,II-VI,M_i_B,B,CdSe,1.764662,1.3481078828438011,0.05669176724346211
214,IV-IV,M_B,Rh,SiC,2.506597,2.293560105881652,0.05606600141442809
215,II-VI,M_i_A,La,CdTe,1.952708,2.0439780034466843,0.01966746658905492
216,II-VI,M_i_neut,Os,CdTe,1.503257,1.4621209858183712,0.021119321502545977
217,IV-IV,M_B,Rb,SiGe,0.5558960000000001,0.6229603805521304,0.04596231316117248
218,II-VI,M_B,Cs,CdTe,1.741729,1.7493682052192199,0.07383248044871184
219,III-V,M_i_B,Zr,InN,2.09197,1.93910226646534,0.044250346526385625
220,II-VI,M_B,Si,CdSe,0.671369,1.6328394055606636,0.06251978134074446
221,II-VI,M_B,Ir,CdTe,0.305657,0.6143717518549856,0.04255527072761947
222,II-VI,M_i_B,Ti,CdTe,1.760211,1.868328663264656,0.02083174872917759
223,II-VI,M_i_A,B,CdTe,1.3995600000000001,1.2630088830752846,0.03970759143954029
224,III-V,M_i_neut,Ir,InP,0.988635,1.142947103913635,0.05976759171491969
225,II-VI,M_i_B,Ru,CdTe,1.571022,1.5041660345768804,0.01733231740120642
226,II-VI,M_i_neut,I,ZnSe,1.448495,1.503816717378972,0.050864245496447864
227,IV-IV,M_i_neut,Zr,Ge,0.612105,0.7285341409496903,0.021080372444649022
228,II-VI,M_i_A,Y,CdTe,1.884782,2.011416843413675,0.020194473470682022
229,II-VI,M_i_B,Sc,CdTe,1.9417360000000001,2.0088833491611893,0.01935231722561594
230,III-V,M_i_B,In,AlAs,2.058288,1.754742623466895,0.03643954853295205
231,II-VI,M_i_neut,B,CdTe,1.6068,1.2539907801464538,0.035387505155042145
232,III-V,M_i_B,Os,GaSb,0.43795500000000004,0.645043648635283,0.028753268195280745
233,II-VI,M_i_neut,Ti,CdTe,1.766509,1.8483157134853507,0.02055156118951927
234,II-VI,M_B,Tl,ZnSe,1.776863,1.977143965328446,0.057121568278405664
235,IV-IV,M_i_neut,Rb,SiSn,0.7475569999999999,0.6240527186160658,0.04166113605588947
236,II-VI,M_i_neut,Cd,CdS,2.3836,2.3868425925379952,0.030526917453196998
237,IV-IV,M_i_B,As,SiGe,0.803847,0.9196393937556099,0.01623463938100981
238,II-VI,M_A,C,CdSe,1.479061,0.8336072332563182,0.060841981412852686
239,III-V,M_i_B,Zn,BSb,1.235434,1.1335803809620963,0.04218800693102973
240,II-VI,M_i_neut,Sr,CdTe,1.928489,1.8446254781018545,0.02994799130192786
241,II-VI,M_i_A,Bi,CdSe,1.7755439999999998,1.935641467597487,0.030393597564813482
242,II-VI,M_i_neut,K,CdO,1.457682,1.6052421210547887,0.03963259006315832
243,II-VI,M_i_A,Sc,CdTe,1.812675,2.0014068411975083,0.02260071881202419
244,II-VI,M_i_B,Ba,CdTe,2.0509009999999996,1.9930273480593663,0.026339860601016066
245,II-VI,M_B,Li,CdTe,1.292829,1.128052694880228,0.07232953618809959
246,II-VI,M_i_B,Rh,CdTe,1.142659,1.3886386629327836,0.019122402403469116
247,IV-IV,M_i_B,P,SiGe,0.732334,0.8219987242301947,0.027683928356786226
248,II-VI,M_i_A,Cu,ZnO,2.340316,2.3520600600764454,0.034446114256270574
249,II-VI,M_i_neut,Se,ZnS,1.9839639999999998,2.313989619932227,0.04144099340104471
250,II-VI,M_i_A,Rh,CdTe,1.33744,1.365789991106806,0.019282429540999003
251,II-VI,M_i_B,Br,CdO,0.95329,0.789802040790128,0.05541674994441357
252,II-VI,M_i_B,B,CdTe,1.60701,1.2661441046171737,0.03891901967751297
253,IV-IV,M_i_B,N,GeC,1.6048069999999999,1.4671587556291432,0.08631109221869351
254,II-VI,M_i_neut,Ru,CdTe,1.380811,1.4646687522199826,0.017015725867496185
255,II-VI,M_i_A,Ru,CdTe,1.535596,1.4845233578365413,0.01803882520075589
256,IV-IV,M_i_A,Tl,SiGe,1.1293,0.9647121793247944,0.041505460489094634
257,II-VI,M_i_B,Te,CdS,1.617791,2.0379972888814093,0.034152834003034364
258,II-VI,M_i_B,Tc,CdTe,1.602884,1.6416484925772217,0.017607991231262814
259,II-VI,M_A,C,CdTe,1.410817,0.7434068762799427,0.056324030493522165
260,II-VI,M_i_A,Tc,CdTe,1.5020040000000001,1.6175612938566701,0.018633698928369868
261,III-V,M_i_B,Cd,GaP,1.9437400000000002,1.8211555875440582,0.04179847179612981
262,II-VI,M_B,Na,CdTe,1.556239,1.3710372325609097,0.04390592623963365
263,II-VI,M_i_A,Li,ZnS,3.255855,2.857083087951676,0.05545992267045723
264,III-V,M_i_B,B,AlSb,1.302994,1.2621576617387595,0.06807179555605045
265,II-VI,M_i_B,Mn,ZnS,3.07258,2.8798158159698035,0.04389121528325229
266,III-V,M_B,Os,AlSb,-0.024637,0.28838909952888475,0.0688709185343827
267,III-V,M_i_neut,In,InN,1.976466,1.9964511025212477,0.03786672879804865
268,III-V,M_i_A,Mn,BSb,0.794746,0.9649850616031159,0.048724969366316526
269,II-VI,M_i_A,Cd,CdS,2.412209,2.4028757426672676,0.029687692154195738
270,II-VI,M_B,Al,CdTe,0.8040069999999999,1.1934882803740168,0.03319410681204555
271,II-VI,M_i_A,Ti,CdTe,1.7639340000000001,1.866474662474274,0.023467949917609768
272,II-VI,M_i_B,S,ZnTe,0.904,1.1567884370204038,0.04150391632767152
273,IV-IV,M_i_B,O,SiSn,-0.137924,0.12593714134413553,0.07170916488062196
274,II-VI,M_i_B,Cd,CdS,2.3701849999999998,2.403993859395111,0.03446807075724085
275,III-V,M_i_A,S,InP,0.561632,1.0156628847469626,0.07595876017595313
276,II-VI,M_i_A,Ir,CdTe,1.362539,1.403276463328115,0.02385834197156074
277,II-VI,M_B,Cd,CdSe,1.7057060000000002,1.5129105630245354,0.0532822936628014
278,II-VI,M_B,Ni,CdTe,1.231834,1.0470536429487207,0.035744875406461436
279,II-VI,M_A,Rh,CdO,1.071787,0.9123025654098136,0.04048487091031731
280,II-VI,M_i_neut,Pt,CdS,1.9542389999999998,1.914575820859108,0.03588565326981451
281,II-VI,M_i_neut,Sb,ZnTe,1.6789049999999999,1.7958649244848783,0.039403102462221076
282,II-VI,M_i_A,Ca,ZnTe,2.138,2.0331487907370365,0.05084176482514844
283,II-VI,M_i_B,Na,ZnTe,2.140171,1.9577339859008227,0.04952496386338003
284,II-VI,M_i_B,Bi,CdTe,1.49527,1.8841617433446338,0.03188399666524069
285,II-VI,M_i_B,S,CdS,1.100529,1.5645669207538746,0.041377373571404
286,II-VI,M_i_B,Ir,CdTe,1.165672,1.4361579325395337,0.0266021400584983
287,II-VI,M_i_neut,Rh,CdTe,1.058618,1.3471211843282704,0.01884526664023033
288,III-V,M_i_neut,Br,InP,0.208011,0.705763997627526,0.08233025793081657
289,IV-IV,M_i_A,Os,GeSn,0.206195,0.5009311636667235,0.03629216039747501
290,II-VI,M_A,P,ZnS,2.107054,2.177006754716453,0.07234902187146337
291,II-VI,M_B,Sb,CdTe,0.206551,1.1526579628780036,0.02357734623276831
292,II-VI,M_i_neut,Ca,CdSe,2.297032,2.0279932974985266,0.03204880195718185
293,IV-IV,M_i_neut,Mn,GeC,1.9164169999999998,2.0598075596790077,0.05584751883757425
294,II-VI,M_i_neut,Ca,CdTe,1.88828,1.8993119115319381,0.023501632430175733
295,II-VI,M_B,Zn,CdTe,1.0481989999999999,1.0283547894350917,0.03100254365089138
296,IV-IV,M_A,W,GeC,2.007422,1.5342591219481319,0.06474715223582214
297,III-V,M_i_A,Pd,InN,1.413114,1.6379544196883358,0.037904986305034805
298,II-VI,M_i_B,N,CdTe,1.436345,0.8389702349740755,0.039701628773730104
299,III-V,M_i_B,Nb,InSb,0.771596,0.751828210807929,0.031146687678356835
300,II-VI,M_i_B,Cs,CdTe,1.946552,1.7980229204864386,0.0573097347587581
301,IV-IV,M_i_A,Ta,Ge,0.5320159999999999,0.7154483755427674,0.031217987191434527
302,II-VI,M_i_A,K,ZnSe,2.600635,2.2888721691511043,0.03939223634639818
303,II-VI,M_i_neut,Cd,CdO,1.746161,1.9113923994079223,0.026353899336062702
304,II-VI,M_A,Sb,CdTe,1.7537650000000002,1.2485561880174703,0.03468585040960658
305,II-VI,M_i_neut,N,CdTe,1.337782,0.829975258817163,0.041342622928909535
306,II-VI,M_i_B,Hf,CdTe,1.8650630000000001,1.978879731828347,0.03477950896271944
307,III-V,M_i_B,La,GaSb,1.016825,1.0072325757126472,0.04334910894010427
308,II-VI,M_i_A,V,CdTe,2.571429,1.7248950950056503,0.019032862039030932
309,II-VI,M_i_B,Sr,CdSe,2.378172,2.0266122164423233,0.02955442026256785
310,II-VI,M_i_B,V,CdTe,1.71833,1.7337721642553183,0.021475323787800284
311,IV-IV,M_A,Na,GeSn,0.347298,0.2717074832731153,0.07411696890304512
312,II-VI,M_i_neut,Tc,CdTe,1.553844,1.6024518186024317,0.020121824029079936
313,IV-IV,M_A,Os,SiC,1.916245,2.0496297327774977,0.06037706480672337
