,Type,Site,Impurity,AB,(+2/+1)_DFT,train_mean,train_std
256,IV-IV,M_i_A,Tl,SiGe,-0.195278,-0.0765401221491882,0.03209102131501677
257,II-VI,M_i_B,Te,CdS,0.49813900000000005,0.6538288907857328,0.02400731411017233
258,II-VI,M_i_B,Tc,CdTe,0.756898,0.44012972125972005,0.024987632977138182
259,II-VI,M_A,C,CdTe,-0.200525,-0.8273901561669298,0.0488331455373853
260,II-VI,M_i_A,Tc,CdTe,0.20532899999999998,0.412745267509234,0.024351425464958554
261,III-V,M_i_B,Cd,GaP,0.9950049999999999,0.5238385022454592,0.03711324641424553
262,II-VI,M_B,Na,CdTe,0.566575,-0.01712555200700805,0.051247546142534295
263,II-VI,M_i_A,Li,ZnS,-0.675687,-0.043391748989531444,0.16715371626844103
264,III-V,M_i_B,B,AlSb,-0.37695300000000004,-0.19753365608985984,0.03606161132545761
265,II-VI,M_i_B,Mn,ZnS,1.43066,1.1506886122359283,0.03399892765053005
266,III-V,M_B,Os,AlSb,-0.602757,-0.1423407166547929,0.03790164611091862
267,III-V,M_i_neut,In,InN,0.7389100000000001,0.9431904725021127,0.04841094752666501
268,III-V,M_i_A,Mn,BSb,-0.188047,-0.33504332835746087,0.03560212074081537
269,II-VI,M_i_A,Cd,CdS,1.152173,0.9141930517525747,0.02880930962604117
270,II-VI,M_B,Al,CdTe,-0.027261,-0.032020068777770264,0.03248136347122484
271,II-VI,M_i_A,Ti,CdTe,0.514043,0.6426817459768415,0.022762612617532565
272,II-VI,M_i_B,S,ZnTe,0.19325699999999998,-0.15607399131697322,0.03411158163004893
273,IV-IV,M_i_B,O,SiSn,-0.632921,-0.17831692167192204,0.042394803034273
274,II-VI,M_i_B,Cd,CdS,1.295034,0.9207977504837153,0.02939957108716948
275,III-V,M_i_A,S,InP,-0.170292,0.05019801886705018,0.04065905596002229
276,II-VI,M_i_A,Ir,CdTe,-0.041877,0.1433378029039562,0.02839122214371452
277,II-VI,M_B,Cd,CdSe,0.983392,0.5132050567629981,0.04200495914258091
278,II-VI,M_B,Ni,CdTe,-0.5472239999999999,-0.26257636044074373,0.022539404469271523
279,II-VI,M_A,Rh,CdO,0.191633,-0.27084043016254783,0.03208452551865766
280,II-VI,M_i_neut,Pt,CdS,0.205382,0.5318132046874201,0.03061831977277968
281,II-VI,M_i_neut,Sb,ZnTe,0.24063800000000002,0.669733270943917,0.019565154226531368
282,II-VI,M_i_A,Ca,ZnTe,1.299167,1.3659819125617987,0.044668764717910016
283,II-VI,M_i_B,Na,ZnTe,-0.409174,-0.530628699572256,0.10725209032593286
284,II-VI,M_i_B,Bi,CdTe,0.9280950000000001,0.6180163980918216,0.021254614813959568
285,II-VI,M_i_B,S,CdS,-0.075682,0.35179153906625993,0.03363452255833445
286,II-VI,M_i_B,Ir,CdTe,0.24716300000000002,0.19335940276935282,0.02369124866096062
287,II-VI,M_i_neut,Rh,CdTe,-0.164965,0.13347238368351957,0.015583654875628145
288,III-V,M_i_neut,Br,InP,0.12798299999999999,0.06033843904047107,0.048336194105237866
289,IV-IV,M_i_A,Os,GeSn,0.025660000000000002,-0.20853641101560944,0.02973358489972738
290,II-VI,M_A,P,ZnS,-0.14036600000000002,0.2523049342287266,0.04536251327435397
291,II-VI,M_B,Sb,CdTe,-0.42458,-0.018513934362260426,0.024356422391933835
292,II-VI,M_i_neut,Ca,CdSe,1.0420989999999999,0.9870743190749682,0.030853775749132856
293,IV-IV,M_i_neut,Mn,GeC,0.571183,0.6569444683999933,0.0400713166909977
294,II-VI,M_i_neut,Ca,CdTe,1.096303,0.8444381247844287,0.025983756535135006
295,II-VI,M_B,Zn,CdTe,0.736855,0.11261805329885019,0.02129725614906103
296,IV-IV,M_A,W,GeC,0.08619600000000001,-0.4169287805949916,0.048771299827130084
297,III-V,M_i_A,Pd,InN,0.29893800000000004,0.6186971210544268,0.05374887571139301
298,II-VI,M_i_B,N,CdTe,0.29625100000000004,-0.34378969426508377,0.03895527801118942
299,III-V,M_i_B,Nb,InSb,0.32351199999999997,0.14737668235963655,0.028539922717680372
300,II-VI,M_i_B,Cs,CdTe,-0.219394,-0.004756868743766927,0.05590627318954124
301,IV-IV,M_i_A,Ta,Ge,0.029913,0.19098719505970443,0.02855908581106504
302,II-VI,M_i_A,K,ZnSe,-0.42436499999999994,0.08714216245945518,0.054461624075886964
303,II-VI,M_i_neut,Cd,CdO,0.277549,0.6371984130346298,0.03097604539145171
304,II-VI,M_A,Sb,CdTe,-0.346042,-0.14820169290219173,0.021897386875262534
305,II-VI,M_i_neut,N,CdTe,0.101688,-0.3488520441649989,0.03985762588727988
306,II-VI,M_i_B,Hf,CdTe,1.271815,0.8316009206542908,0.024278569937412797
307,III-V,M_i_B,La,GaSb,0.633364,0.5527687347153286,0.041880938668954176
