,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
28,IV-IV,M_i_B,Ta,SnC,9.179994,7.827038026024783,0.45539506898002485
29,IV-IV,M_i_B,Si,SnC,8.236301,7.345387969744531,0.32070245565790517
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,7.298101147106197,0.3223266819770678
31,II-VI,M_B,Na,CdS,5.935974,3.302732219722864,0.1592923456050051
32,II-VI,M_i_A,Mo,CdS,6.664465,5.3213891335249155,0.05872939449766588
33,II-VI,M_i_neut,Pb,ZnS,7.017339999999999,5.578692794109882,0.1364677380983008
34,IV-IV,M_B,I,SiC,8.783475,8.23187553836739,0.4238783196098577
35,II-VI,M_i_neut,La,ZnSe,6.284486,5.224036410184981,0.10649113590454293
36,II-VI,M_B,Zr,CdTe,5.952999999999999,4.534494327593831,0.11115208922777836
37,II-VI,M_B,La,CdTe,6.257999999999999,4.77430069943325,0.15236455336194554
38,II-VI,M_B,W,CdTe,7.942,7.745877021483511,0.14652205609200336
39,IV-IV,M_i_A,Ru,SiC,9.266514,8.141297862613836,0.21248326991350402
40,III-V,M_i_neut,Cl,BSb,8.113017999999999,5.714967124272989,0.2925891034385788
41,II-VI,M_i_B,Al,ZnS,5.675147,3.7977749790997835,0.1096707181820478
42,IV-IV,M_i_B,Al,GeC,8.183278999999999,7.8780347703373055,0.24870756032864574
43,III-V,M_i_neut,Pt,BP,6.99052,7.520353936720804,0.3012572881062033
44,III-V,M_i_neut,Ag,BP,8.295910000000001,7.183302200235389,0.3048877570451916
45,III-V,M_i_A,Ba,GaP,7.847111999999999,6.176990272789662,0.21576089789795616
46,II-VI,M_B,Nb,CdTe,5.778,5.009659485713306,0.08952216834123809
47,IV-IV,M_i_A,Tc,SiC,8.610426,8.482090391484892,0.2159940448841747
48,II-VI,M_B,Y,CdTe,5.3020000000000005,4.6435982649649,0.15663818364574023
49,III-V,M_i_B,I,AlP,8.598264,7.388076324637351,0.16135887874385624
50,II-VI,M_B,Ca,CdSe,5.623653,4.598990991800987,0.12532165866505207
51,III-V,M_i_A,Be,GaN,6.104421,5.06219812835406,0.32884883125730174
52,IV-IV,M_i_A,B,SiC,8.007597,7.4306671750955475,0.2388931509992568
53,III-V,M_i_A,W,BP,7.786508,9.371690298175194,0.2977748586566952
54,III-V,M_B,Ba,InP,6.515726,3.1004850905340744,0.20326568572958684
55,III-V,M_B,La,GaAs,6.649732000000001,2.6638358864083975,0.19445950093983563
56,III-V,M_i_B,Tc,BAs,7.877839,7.4270092660984215,0.1962068090532454
57,II-VI,M_B,Os,CdSe,5.8960099999999995,5.70348083226628,0.09844035204797677
58,II-VI,M_B,Mo,CdTe,6.016,5.78386365679559,0.09752574802752852
59,II-VI,M_B,Re,CdTe,6.749,7.069721054852545,0.12849533054104362
60,II-VI,M_i_A,Ba,ZnSe,5.7963,5.253791870053519,0.1104273971289309
61,II-VI,M_B,Ti,CdTe,5.03,3.174687573895801,0.11094992779104676
62,II-VI,M_B,Sc,CdTe,5.247999999999999,3.4367979950298335,0.12054101817148558
63,II-VI,M_i_A,Cl,ZnO,7.895961,6.005221826066539,0.17701542509506873
64,II-VI,M_B,Ta,CdTe,6.6370000000000005,7.326616464297738,0.14944280828954418
65,II-VI,M_B,Ba,CdTe,5.676,4.803483901440944,0.19635987124912443
66,IV-IV,M_i_neut,O,GeC,7.144854,7.923332453350757,0.4492129592206381
67,II-VI,M_i_A,Sc,ZnS,4.502325,4.4064056130286655,0.1126697854910398
68,IV-IV,M_B,Sb,SiC,6.971528999999999,7.84607012825691,0.3392580509816035
69,III-V,M_A,Hf,BAs,7.6093839999999995,4.347688167831313,0.2739432469993346
70,II-VI,M_i_neut,Cs,CdS,4.438366,4.171591879036612,0.15421486110257707
71,IV-IV,M_i_B,C,SnC,7.362067,8.319858752761757,0.29683109362842053
72,IV-IV,M_B,Te,SnC,5.172788,5.883200994543501,0.3630110366038605
73,IV-IV,M_i_B,F,GeC,6.803752,7.216173214080875,0.34823769020621637
74,II-VI,M_i_neut,Cs,ZnSe,5.745138,5.199932991479045,0.14819262536970973
75,II-VI,M_i_B,Ir,CdS,4.763054,4.510784693121996,0.07975203277590108
76,II-VI,M_i_B,Bi,ZnSe,6.282951000000001,5.381438262146148,0.12260436981944106
77,II-VI,M_i_B,Mg,ZnS,4.931966,4.290135870031176,0.1388903619385243
78,II-VI,M_B,Sr,CdTe,5.331,4.235095650263406,0.20789039618701038
79,II-VI,M_i_neut,Na,ZnO,5.0122480000000005,3.3173546328441574,0.2355449195214455
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,6.37644653142869,0.3483012421227121
81,IV-IV,M_i_B,Al,SiC,6.9505289999999995,7.800049845281293,0.22344258381289184
82,IV-IV,M_A,Rh,GeC,3.480516,3.484014861746181,0.3070936230293045
83,II-VI,M_B,Ca,CdTe,5.151,3.3295792471509484,0.1567670844575348
84,II-VI,M_i_neut,Ir,ZnS,5.411389,5.224485369773186,0.1414919678503827
85,IV-IV,M_i_B,C,SiGe,6.933628999999999,5.824355848022603,0.20890650676957104
86,III-V,M_i_B,C,AlAs,7.190668,6.231730498015237,0.16913033859149793
87,III-V,M_A,Te,BP,7.769961,7.094063279202731,0.27257240965185453
88,II-VI,M_i_B,C,CdTe,6.943,6.362334017352387,0.11031483050493028
89,III-V,M_i_neut,Pb,AlP,6.935306,5.991226601186137,0.15588887093893128
90,II-VI,M_i_B,Y,CdO,3.839067,4.304574963287214,0.1548895688441618
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.352034370256375,0.11138158427543916
92,II-VI,M_i_A,W,CdTe,6.851,6.267685349796119,0.09974265388953832
93,III-V,M_i_B,Pb,GaP,6.811591,6.471815732514168,0.1953767729619106
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,6.052115055192528,0.14276854716333878
95,II-VI,M_i_neut,W,ZnTe,6.377951,6.353462391527877,0.14791790741332983
96,II-VI,M_i_neut,In,CdO,3.627329,3.2828815123675064,0.15543935398384112
97,II-VI,M_i_B,Sb,CdTe,5.257999999999999,3.764497453582468,0.071428404522175
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,5.699043032794883,0.08417828525888792
99,II-VI,M_B,Os,CdTe,5.718,6.035368583028199,0.11425442355884892
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.364190384547648,0.1104550637727672
101,IV-IV,M_B,Bi,GeC,7.388043,6.330957994299763,0.37113433300700865
102,II-VI,M_i_B,Re,CdTe,6.642,5.847509952667524,0.08964421513590778
103,II-VI,M_B,Ru,CdTe,4.654,4.59351775475268,0.11200262054827508
104,II-VI,M_i_A,Al,CdS,4.62634,3.072149402713118,0.07746264320391784
105,II-VI,M_A,Ru,CdO,2.903838,3.2470045162362284,0.1477486126579255
106,II-VI,M_i_A,Pb,CdO,3.534417,3.909293047833729,0.16044803244688371
107,II-VI,M_B,Tc,CdTe,5.587000000000001,4.831034538370916,0.09192761539546954
108,II-VI,M_B,V,CdTe,4.232,3.2387371905112787,0.11773361666011534
109,II-VI,M_B,Rh,CdTe,4.114,4.267959042359152,0.121117501299702
110,II-VI,M_i_B,Zr,CdTe,4.454,4.275139381815869,0.07179678149709921
111,II-VI,M_i_B,W,CdTe,6.415,6.416353941466232,0.1222465284420097
112,IV-IV,M_i_neut,Sr,Si,6.397273,4.141355849140091,0.15265171547604045
113,II-VI,M_i_A,Be,CdS,5.087941000000001,2.9719389798249165,0.09409703889094635
114,II-VI,M_i_neut,La,CdTe,4.672,4.300677962704668,0.11001435823791311
115,IV-IV,M_i_A,C,Si,6.357864,5.534013739843258,0.3038866241246572
116,II-VI,M_i_A,Sb,CdTe,4.91,3.7067474963969618,0.08394668607324729
117,II-VI,M_i_neut,W,CdTe,6.27,6.192646073806746,0.10622720882503475
118,II-VI,M_i_neut,Sb,CdTe,4.8,3.6632200424644923,0.06870424350820362
119,III-V,M_i_A,Tc,InP,4.828802,4.451895384581729,0.20284415635853212
120,IV-IV,M_B,Au,GeC,5.675841,6.141718449179359,0.3056395466874381
121,III-V,M_i_B,Ti,BAs,6.349291,6.088565037739164,0.2436781876651817
122,II-VI,M_i_B,La,CdSe,4.064545,4.538700824431453,0.1025503988573089
123,III-V,M_i_B,Mg,GaN,5.071135,6.162155803708525,0.3128540629317911
124,II-VI,M_i_neut,Zr,CdTe,4.1339999999999995,4.2111338516175225,0.06768278196828474
125,II-VI,M_B,Cd,CdS,3.163209,2.7115486931161414,0.09985839982758048
126,II-VI,M_i_A,Sn,CdS,3.916097,3.907697369416013,0.07578923874273405
127,II-VI,M_B,Hf,CdTe,5.159,7.165293476466192,0.17870202843947663
128,II-VI,M_i_B,Rb,CdS,3.529205,4.052234217370957,0.08281254635004849
129,II-VI,M_i_B,Os,CdTe,6.07,5.416216283146481,0.10417133245528537
130,II-VI,M_i_neut,Y,CdTe,4.121,4.556219881663228,0.0723811981547597
131,II-VI,M_B,Zn,CdS,3.301715,2.316269422613625,0.13386176869919733
132,II-VI,M_i_B,Be,ZnO,2.7770240000000004,3.025982439701038,0.26453710073430936
133,II-VI,M_i_neut,Nb,CdTe,4.494,4.53281515732099,0.05320454780083082
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,4.612472280323004,0.23828948637382721
135,II-VI,M_B,C,CdTe,5.059,5.351705787928813,0.19355010820482557
136,II-VI,M_i_A,Mo,CdTe,5.242000000000001,4.771460121142546,0.06190721139324449
137,II-VI,M_B,Rh,ZnSe,4.203021,4.087659755724094,0.1232448737317936
138,II-VI,M_i_B,Nb,CdTe,4.417,4.610006453844202,0.06022809280405054
139,III-V,M_i_neut,Sr,AlAs,4.723997,4.590883191509105,0.16891156835203347
140,IV-IV,M_i_A,Fe,SnC,3.64794,5.643191624131427,0.42953266297664316
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,5.647381833671803,0.07373762457680262
142,II-VI,M_i_B,La,CdTe,4.205,4.447674966420614,0.10611286258923115
143,II-VI,M_B,C,ZnSe,4.101471,5.744299967392051,0.16167724936102926
144,II-VI,M_i_A,Os,CdTe,5.862,5.263894896429059,0.07900272015384995
145,IV-IV,M_i_neut,Ta,SiGe,6.032376999999999,4.829952395781073,0.14306043462700976
146,II-VI,M_i_B,Ag,ZnO,4.98645,4.379391509396415,0.15709818058613753
147,II-VI,M_i_B,Sr,CdO,3.334288,4.063081851664092,0.14968128740817352
148,III-V,M_i_B,Hf,InP,5.149064,5.219398184782834,0.23763451145738387
149,II-VI,M_i_B,Ta,CdTe,5.774,5.911298972703067,0.08308494274025686
150,II-VI,M_B,Cr,CdTe,3.412,2.4861071200748,0.11956245392735736
151,IV-IV,M_B,Pd,SiC,5.755425,6.37613290221752,0.24991623941439994
152,III-V,M_i_B,B,AlP,5.057439,4.2212763027691835,0.16534903510402107
153,II-VI,M_i_A,Nb,CdTe,4.188,4.503044329415854,0.05302490740132033
154,III-V,M_i_B,Ta,InAs,4.886297,5.5534818299820365,0.19225451371488939
155,III-V,M_i_B,Co,GaN,6.600535000000001,5.4172334811197915,0.34611665445197803
156,III-V,M_i_B,W,InAs,5.466696,5.679027132307598,0.1891438423547844
157,III-V,M_i_A,Te,AlAs,6.342025,6.766378244418438,0.11415262188125683
158,II-VI,M_i_B,Ti,CdS,2.358631,3.501951505733577,0.06950884784448993
159,II-VI,M_i_A,Zr,ZnTe,3.730255,4.252495843824344,0.14955391948894814
160,II-VI,M_i_A,Zr,CdTe,3.6180000000000003,4.184519315576056,0.07395378175057894
161,III-V,M_i_neut,Mo,AlP,5.420163,5.210465552743884,0.19160733825112186
162,III-V,M_B,Mg,GaP,3.815344,1.7624656239581842,0.26185960414831067
163,II-VI,M_A,Sb,ZnO,2.699995,4.811262674975714,0.19574613635638483
164,II-VI,M_B,Rb,CdTe,3.76,3.817873187979232,0.2061768018719788
165,II-VI,M_A,Ir,CdO,3.5936730000000003,2.664624523226716,0.1983376953278551
166,II-VI,M_i_B,Rh,CdS,3.3271129999999998,3.829349897990096,0.0717730247543453
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,5.701256854541905,0.07259401668710694
168,IV-IV,M_A,Bi,SiC,5.910053,4.317359078868203,0.3235131623810161
169,II-VI,M_i_neut,Sc,CdTe,4.05,3.482149752492892,0.08624300092044546
170,II-VI,M_B,Fe,CdTe,3.136,2.3158416038102154,0.1275598530163084
171,II-VI,M_i_B,As,ZnSe,5.519378,4.491999997918166,0.11294013059335564
172,II-VI,M_B,Co,CdTe,3.0810000000000004,2.614462159536096,0.07494067623810911
173,II-VI,M_i_neut,Ga,CdS,3.507993,2.771926862773886,0.05614867877818131
174,II-VI,M_i_neut,Mo,CdTe,4.7010000000000005,4.792517750461454,0.06312237197722231
175,II-VI,M_i_neut,Co,CdO,2.646598,2.489506097161359,0.11811107212691827
176,II-VI,M_B,K,CdTe,3.7539999999999996,3.395920349124368,0.20168129634156995
177,II-VI,M_i_B,Y,CdTe,3.497,4.588395985901047,0.06667425768377999
178,II-VI,M_i_A,Te,ZnSe,6.352062999999999,5.499401118286486,0.08587904761702797
179,II-VI,M_B,B,CdTe,4.479,4.302692851309429,0.1080885916019218
180,II-VI,M_B,Be,CdTe,3.762,3.7072484811107893,0.18982017426334624
181,III-V,M_i_neut,W,GaSb,5.420782,6.295232093215851,0.15641867843023427
182,II-VI,M_i_A,Zn,ZnS,3.268056,3.8017993830690786,0.097940045136074
183,II-VI,M_A,Zr,CdS,3.1863580000000002,2.1503949305570087,0.08096228014240857
184,II-VI,M_B,Li,ZnTe,3.4027629999999998,3.703868996184802,0.21509296359872965
185,II-VI,M_i_neut,Ba,CdTe,4.442,3.9366873131920075,0.09353485172927928
186,II-VI,M_i_neut,As,CdS,4.094933999999999,4.324907032657209,0.07535149565234962
187,III-V,M_B,Hf,InSb,4.665163,4.331901485142754,0.20828961899180845
188,II-VI,M_i_B,Mo,CdTe,4.601,4.87583701480487,0.07318950456126874
189,II-VI,M_i_A,Ta,CdTe,5.343,5.74700250604685,0.06930495735162848
190,III-V,M_i_A,Cl,GaP,5.653321,4.755069815548515,0.19564348626546274
191,IV-IV,M_i_neut,La,Ge,5.326147,4.773465369981017,0.11871814666407964
192,II-VI,M_B,Mg,CdTe,3.7889999999999997,3.401246399948362,0.1595960023571604
193,II-VI,M_B,Mn,CdTe,3.194,2.2718114023095866,0.13520583461577543
194,II-VI,M_i_B,B,CdSe,4.871931,4.030287114505856,0.08575679535194987
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,6.2715530850872785,0.35079285281893224
196,II-VI,M_i_A,La,CdTe,3.5589999999999997,4.284993581759655,0.10479383354720824
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,5.185874837902015,0.08697168144655132
198,IV-IV,M_B,Rb,SiGe,5.448151,4.278015611311645,0.2870794737925167
199,II-VI,M_B,Cs,CdTe,3.37,4.886242454516131,0.23478503627428127
200,III-V,M_i_B,Zr,InN,2.1341069999999998,5.590063395718507,0.29758494429537075
201,II-VI,M_B,Si,CdSe,2.6001819999999998,3.135183635648404,0.0967754970141079
202,II-VI,M_B,Ir,CdTe,3.951,3.905028803852234,0.1274260687142366
203,II-VI,M_i_B,Ti,CdTe,3.5389999999999997,3.1359367354401138,0.06434854571242639
204,II-VI,M_i_A,B,CdTe,5.207000000000001,3.9055013420977387,0.08740379030743818
205,III-V,M_i_neut,Ir,InP,3.8199959999999997,4.137855065326964,0.2536170241201097
206,II-VI,M_i_B,Ru,CdTe,4.146,4.100220174694728,0.07330033484484492
207,II-VI,M_i_neut,I,ZnSe,6.019228,6.30014396359268,0.10970297385010583
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.655957680596414,0.13242538237961937
209,II-VI,M_i_A,Y,CdTe,3.1439999999999997,4.4612220972745815,0.0706078419191417
210,II-VI,M_i_B,Sc,CdTe,3.6439999999999997,3.508739474534037,0.07955154742756852
211,III-V,M_i_B,In,AlAs,4.5806569999999995,4.05824269782776,0.13110357788731855
212,II-VI,M_i_neut,B,CdTe,5.052,3.9073052175267735,0.08567281431332621
213,III-V,M_i_B,Os,GaSb,6.043499,5.526683714159672,0.1406086403233555
214,II-VI,M_i_neut,Ti,CdTe,3.34,3.087952519577115,0.06546959733600595
215,II-VI,M_B,Tl,ZnSe,2.6308119999999997,2.2476634696070033,0.16512214082565194
216,IV-IV,M_i_neut,Rb,SiSn,5.962376,4.705405158827557,0.1591164362058035
217,II-VI,M_i_neut,Cd,CdS,3.307201,2.862905921584121,0.0683912291321472
218,IV-IV,M_i_B,As,SiGe,4.863747,4.145176549731403,0.12616057595596608
219,II-VI,M_A,C,CdSe,6.231954,7.248590904383851,0.16001974443938496
220,III-V,M_i_B,Zn,BSb,5.924497,5.032283341871465,0.2541644141965061
221,II-VI,M_i_neut,Sr,CdTe,3.97,3.431330702398894,0.10059261763072802
222,II-VI,M_i_A,Bi,CdSe,3.952889,3.8455486152499843,0.10013279130722662
223,II-VI,M_i_neut,K,CdO,2.835541,3.196148492980811,0.20504373688748082
224,II-VI,M_i_A,Sc,CdTe,3.4789999999999996,3.4396150317256833,0.08473746837023687
225,II-VI,M_i_B,Ba,CdTe,3.946,3.9898804421931473,0.10246720123023434
226,II-VI,M_B,Li,CdTe,3.6839999999999997,3.4463039470849366,0.23170296144144467
227,II-VI,M_i_B,Rh,CdTe,3.458,3.337747006485459,0.06748838560973146
228,IV-IV,M_i_B,P,SiGe,4.7803830000000005,4.437500055016551,0.19893969868694017
229,II-VI,M_i_A,Cu,ZnO,3.014662,3.703851882638183,0.18282679580308772
230,II-VI,M_i_neut,Se,ZnS,6.272565,6.053512338873069,0.11117318428522113
231,II-VI,M_i_A,Rh,CdTe,3.427,3.246678682500245,0.06406306188147917
232,II-VI,M_i_B,Br,CdO,5.645980000000001,4.601353461300586,0.1933522460542302
233,II-VI,M_i_B,B,CdTe,4.843,3.9204841423295136,0.08244197380986373
234,IV-IV,M_i_B,N,GeC,4.531255000000001,7.574492033846639,0.3891090710732771
235,II-VI,M_i_neut,Ru,CdTe,3.813,4.0076275227865725,0.07160202997952705
236,II-VI,M_i_A,Ru,CdTe,3.8080000000000003,4.0213872073516725,0.06476538395503838
237,IV-IV,M_i_A,Tl,SiGe,4.810553,4.220411899037759,0.15755588722874467
238,II-VI,M_i_B,Te,CdS,5.7312959999999995,5.10723642025545,0.09768880302041723
239,II-VI,M_i_B,Tc,CdTe,4.78,4.384983191666693,0.06336024260506239
240,II-VI,M_A,C,CdTe,5.707999999999999,6.96251557996668,0.15299136393097376
241,II-VI,M_i_A,Tc,CdTe,4.754,4.289582506702168,0.06908101529833095
242,III-V,M_i_B,Cd,GaP,4.369673000000001,5.087854534281628,0.1212941916630095
243,II-VI,M_B,Na,CdTe,3.178,4.1348767247206215,0.1882308131084102
244,II-VI,M_i_A,Li,ZnS,2.336097,2.8285139351751614,0.14632325061960655
245,III-V,M_i_B,B,AlSb,4.777525,3.6351417713462126,0.14964599304772638
246,II-VI,M_i_B,Mn,ZnS,1.8154810000000001,3.399112664887781,0.13570867564095387
247,III-V,M_B,Os,AlSb,5.0619559999999995,4.559157237671902,0.172986024460687
248,III-V,M_i_neut,In,InN,4.520876,5.3431647514016785,0.3610421303604373
249,III-V,M_i_A,Mn,BSb,1.8644349999999998,4.850220251114825,0.18921624811376614
250,II-VI,M_i_A,Cd,CdS,3.02337,2.8340092477290697,0.06945909065838302
251,II-VI,M_B,Al,CdTe,2.5989999999999998,2.3919722572045274,0.0933189531200422
252,II-VI,M_i_A,Ti,CdTe,3.008,3.0574700082194566,0.05928799624396868
253,II-VI,M_i_B,S,ZnTe,6.007401,4.63919405775607,0.11377601913301727
254,IV-IV,M_i_B,O,SiSn,4.323297,3.176777837494094,0.18150335806141474
255,II-VI,M_i_B,Cd,CdS,2.987293,2.941057052488108,0.0706880964848594
256,III-V,M_i_A,S,InP,5.03909,4.545806484880617,0.1319960298561279
257,II-VI,M_i_A,Ir,CdTe,4.311,3.7885032385755495,0.09078946209142459
258,II-VI,M_B,Cd,CdSe,2.090747,2.05235369968632,0.09499568095339499
259,II-VI,M_B,Ni,CdTe,3.228,2.4316088135105867,0.07746820989184579
260,II-VI,M_A,Rh,CdO,2.915673,2.3433387846537896,0.15689866690776505
261,II-VI,M_i_neut,Pt,CdS,2.982152,3.7099978545686967,0.0738615353588714
262,II-VI,M_i_neut,Sb,ZnTe,4.311339,4.342690354331569,0.09487411850334956
263,II-VI,M_i_A,Ca,ZnTe,3.241119,3.113573827379554,0.12299521928465232
264,II-VI,M_i_B,Na,ZnTe,3.755551,2.7686712278636203,0.14360488395579193
265,II-VI,M_i_B,Bi,CdTe,3.9610000000000003,3.8222596550787094,0.10512602493015787
266,II-VI,M_i_B,S,CdS,5.855580000000001,5.308816047687534,0.10865861380336664
267,II-VI,M_i_B,Ir,CdTe,4.2219999999999995,3.9230518433742994,0.10029794712657321
268,II-VI,M_i_neut,Rh,CdTe,3.1039999999999996,3.2370304919019453,0.06077014808442475
269,III-V,M_i_neut,Br,InP,4.884957,4.489938697730797,0.14838117175710736
270,IV-IV,M_i_A,Os,GeSn,4.384718,4.257514141778138,0.1521603786608874
271,II-VI,M_A,P,ZnS,4.73641,5.058067663896556,0.13756790115765147
272,II-VI,M_B,Sb,CdTe,2.123,1.6436498631661813,0.1096143821655661
273,II-VI,M_i_neut,Ca,CdSe,3.217879,3.0675458146502654,0.08562796969000047
274,IV-IV,M_i_neut,Mn,GeC,3.328115,5.9287560018238015,0.2575408813573803
275,II-VI,M_i_neut,Ca,CdTe,3.5210000000000004,2.7257049861403457,0.08743310258723766
276,II-VI,M_B,Zn,CdTe,2.565,1.458407745190177,0.11043185311818812
277,IV-IV,M_A,W,GeC,3.2998559999999997,3.3532341428083035,0.27682078965584045
278,III-V,M_i_A,Pd,InN,5.589995,4.68757661172239,0.33311131016727225
279,II-VI,M_i_B,N,CdTe,4.58,3.533473811858884,0.1667148641558741
280,III-V,M_i_B,Nb,InSb,3.913903,3.907691690257586,0.17442498506118154
281,II-VI,M_i_B,Cs,CdTe,3.469,3.8252644751819305,0.14246436306286633
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,4.838619761163851,0.13342070330483516
283,II-VI,M_i_A,K,ZnSe,3.099839,3.6670969717411515,0.1305137864726893
284,II-VI,M_i_neut,Cd,CdO,2.319802,2.4542198257467356,0.15252698131900277
285,II-VI,M_A,Sb,CdTe,3.87,2.274804383234293,0.09176290888788503
286,II-VI,M_i_neut,N,CdTe,4.5,3.5139962717650732,0.1659515630978396
287,II-VI,M_i_B,Hf,CdTe,4.315,5.0241401619726815,0.07747024465360046
288,III-V,M_i_B,La,GaSb,4.371508,4.4472008094236175,0.2081427927168167
289,II-VI,M_i_A,V,CdTe,2.966,2.8195628524534144,0.07701111881107414
290,II-VI,M_i_B,Sr,CdSe,3.016486,3.7485906020122557,0.10501558044490009
291,II-VI,M_i_B,V,CdTe,2.9410000000000003,2.8635579953824575,0.07219349974304642
292,IV-IV,M_A,Na,GeSn,4.465356,4.684495111314204,0.16944558746049748
293,II-VI,M_i_neut,Tc,CdTe,4.277,4.297228928850694,0.06575565901724069
294,IV-IV,M_A,Os,SiC,5.10728,4.83302025968276,0.3179631875531133
295,IV-IV,M_i_B,As,SiSn,4.394126,3.009614335171182,0.15412906978926438
296,III-V,M_B,Hg,BSb,3.5796349999999997,3.4913364603692463,0.278579489065569
297,II-VI,M_i_neut,Pb,CdTe,3.306,3.0408583969685496,0.10658583078830171
298,III-V,M_i_A,La,AlSb,3.8329489999999997,4.704855454631483,0.14366588479517056
299,II-VI,M_i_A,N,CdTe,4.408,3.499733745934742,0.17112479459503005
300,II-VI,M_i_B,Sr,CdTe,3.2960000000000003,3.476801551215589,0.12867715692297124
301,II-VI,M_B,Ge,CdSe,2.157188,2.3243133845126964,0.09069054373121739
302,II-VI,M_i_A,Ba,CdTe,3.2739999999999996,3.8206920369284014,0.08458637767131809
303,II-VI,M_i_neut,V,CdTe,2.8789999999999996,2.8006397322945986,0.06565969836938446
304,IV-IV,M_B,I,SiGe,4.361028,4.735232989788552,0.2080259357425911
305,III-V,M_i_neut,Ru,AlAs,5.3116389999999996,4.466649915836669,0.20057543583385384
306,II-VI,M_A,Ba,ZnS,2.808519,2.046596161336167,0.16469103041974295
307,II-VI,M_i_neut,Al,CdTe,3.06,2.6899169926685507,0.06804544385531631
308,II-VI,M_i_A,Fe,CdTe,2.807,2.01924631519868,0.07827587295013395
309,III-V,M_i_A,Cl,AlAs,4.506616,4.902933410853921,0.1436470517006756
310,II-VI,M_i_B,Be,ZnTe,3.431579,2.5298822543843373,0.15657584966087157
311,II-VI,M_B,Zn,ZnTe,1.8907200000000002,2.120027999516208,0.1473305837258123
312,III-V,M_B,O,AlAs,3.8051269999999997,4.0320586039966635,0.3332346407211095
313,II-VI,M_i_A,S,CdS,5.4309,5.2621084480520075,0.10614768891987143
314,II-VI,M_i_A,Bi,CdTe,3.531,3.686653573251905,0.09977923754719101
315,IV-IV,M_i_neut,Tl,SiSn,4.869882,3.9529931899786916,0.14969971327296513
316,III-V,M_i_A,Ir,GaSb,4.136324,4.228837747190452,0.16912513357822556
317,II-VI,M_A,Bi,ZnS,4.010057,3.112442578657793,0.16168480293225562
