,Type,Site,Impurity,AB,(-1/-2)_DFT,train_mean,train_std
23,IV-IV,M_i_A,Mo,GeC,3.003737,2.5569637986092455,0.05813341808893519
24,IV-IV,M_A,Rb,SiC,2.545048,2.944028930555369,0.05534484541558078
25,IV-IV,M_i_A,Sn,SnC,2.378676,2.268784224504612,0.04184169604098278
26,IV-IV,M_B,Sc,SiC,2.9855810000000003,3.21978123756078,0.03608029098592497
27,III-V,M_i_A,S,BAs,1.516928,1.5507384862850557,0.05603739312598337
28,III-V,M_B,Zr,AlP,2.044565,2.1034406907593355,0.05506381993009205
29,IV-IV,M_B,Nb,SnC,1.9833479999999999,2.2633301437947324,0.04092238539683608
30,II-VI,M_i_A,Ta,CdS,2.773797,2.823946185360139,0.03302591014320962
31,II-VI,M_i_A,Y,ZnS,3.7705589999999995,3.927185755722803,0.04401251330799085
32,IV-IV,M_i_B,Ir,SiC,3.186927,2.957033997215727,0.0438347934653327
33,III-V,M_i_A,Au,BP,2.445282,2.220794117547011,0.0462638106435291
34,IV-IV,M_i_B,Ru,GeC,1.881159,2.6013387967043355,0.04546538112424605
35,IV-IV,M_i_B,Ta,SnC,2.117803,2.342128685083549,0.055818055518884774
36,IV-IV,M_i_B,Si,SnC,2.158737,2.203782524618327,0.048268567797551364
37,II-VI,M_i_B,Ga,ZnO,3.698025,3.3596269155769827,0.0326984410556269
38,II-VI,M_B,Na,CdS,2.866694,2.5896924013721963,0.05393387044627058
39,II-VI,M_i_A,Mo,CdS,2.579168,2.6435329103892706,0.034207874960542776
40,II-VI,M_i_neut,Pb,ZnS,3.750576,3.637311725672297,0.043821277223856966
41,IV-IV,M_B,I,SiC,3.4191870000000004,3.357742970555113,0.05005041337065352
42,II-VI,M_i_neut,La,ZnSe,3.170098,3.2206006447015865,0.057972233903045435
43,II-VI,M_i_A,Tc,CdO,1.781912,1.8489765090338637,0.03662479006916954
44,II-VI,M_B,Zr,CdTe,1.413022,1.9195304666303978,0.025591187190934808
45,II-VI,M_B,La,CdTe,1.933064,1.9208255834187902,0.034662058652838466
46,II-VI,M_B,W,CdTe,0.85,1.3583492032105304,0.035607770569361305
47,IV-IV,M_i_A,Ru,SiC,3.078293,2.858505118884392,0.03275353267667258
48,III-V,M_i_neut,Cl,BSb,1.390196,1.6263529813655306,0.09337370684174669
49,II-VI,M_i_B,Al,ZnS,3.743001,3.555496074176753,0.04894694962272982
50,IV-IV,M_i_B,Al,GeC,2.921092,2.738617527462113,0.054147869973723874
51,III-V,M_i_neut,Pt,BP,2.426616,2.1767691091518926,0.05048923462833476
52,III-V,M_i_neut,Ag,BP,2.572295,2.2827415402419406,0.04976456927204051
53,III-V,M_i_A,Ba,GaP,2.300312,2.4093342865947713,0.07217049072554904
54,II-VI,M_B,Nb,CdTe,1.688604,1.7952307153016946,0.02378332226585077
55,IV-IV,M_i_A,Tc,SiC,3.131756,2.790337066467293,0.029665989299129465
56,II-VI,M_B,Y,CdTe,1.791618,1.9709896088351369,0.022706093210881847
57,III-V,M_i_B,I,AlP,2.6862630000000003,2.631123474757704,0.043611928692204954
58,II-VI,M_B,Ca,CdSe,2.23885,2.322594573893105,0.044771533933136334
59,III-V,M_i_A,Be,GaN,4.371647,4.003076153861808,0.0901597975017282
60,III-V,M_B,I,InN,2.720119,2.9359121179373764,0.0653579165577498
61,IV-IV,M_i_A,B,SiC,3.265102,2.8634811460704173,0.044670304033419594
62,II-VI,M_B,Co,ZnS,3.185677,3.060252090540598,0.072567141818288
63,III-V,M_i_A,W,BP,2.226279,2.0296953794897563,0.04930567424431576
64,III-V,M_B,Ba,InP,1.968646,1.5217870373695264,0.059504687664356494
65,III-V,M_B,La,GaAs,1.296742,1.4399133380171296,0.061046031000766936
66,II-VI,M_B,Si,ZnS,1.9715200000000002,3.117351493715428,0.047735278227496326
67,II-VI,M_i_B,Sn,CdO,2.396583,2.2113208507414135,0.03358427379634108
68,III-V,M_i_B,Tc,BAs,1.6639580000000003,1.7203972205965101,0.04839799586576144
69,II-VI,M_B,Os,CdSe,1.8707470000000002,1.7223747807407086,0.037800179485363364
70,II-VI,M_B,Mo,CdTe,1.425733,1.6406396278884423,0.027919562495587188
71,II-VI,M_B,Re,CdTe,1.7442990000000003,1.465586996641349,0.03843808175616345
72,II-VI,M_i_A,Ba,ZnSe,3.293708,3.380749722570325,0.05228694041868624
73,II-VI,M_B,Ti,CdTe,1.39895,1.8834836676704387,0.02378221332567332
74,II-VI,M_B,Sc,CdTe,1.660697,1.9403752486735422,0.021106760378316453
75,II-VI,M_i_A,Cl,ZnO,2.815788,2.9864577329483986,0.05716562442784033
76,II-VI,M_B,Ta,CdTe,1.4090129999999998,1.6113781650253294,0.027980311576542558
77,II-VI,M_B,Ba,CdTe,2.0860689999999997,2.0385482802424257,0.02536108685499366
78,IV-IV,M_i_neut,O,GeC,0.715697,2.1495268909315772,0.04937490194721816
79,II-VI,M_i_A,Sc,ZnS,3.794865,3.8243188209389145,0.04264652084959253
80,II-VI,M_i_neut,Ti,ZnS,3.691995,3.740249340046369,0.04298701211970959
81,IV-IV,M_B,Sb,SiC,3.225696,3.284730732443907,0.03211864618882225
82,III-V,M_A,Hf,BAs,2.096178,2.0258083880324067,0.05212715168291905
83,II-VI,M_i_neut,Cs,CdS,3.0634740000000003,2.962853741854278,0.05163675304342047
84,IV-IV,M_i_B,C,SnC,2.010536,1.8927141061745445,0.04642339436096321
85,IV-IV,M_B,Te,SnC,2.454275,2.2974219886678453,0.04449059291670562
86,IV-IV,M_i_B,F,GeC,2.683869,2.503048096052837,0.0913234018456675
87,II-VI,M_i_neut,Cs,ZnSe,3.317415,3.420464533069686,0.06320564446214773
88,IV-IV,M_A,Pb,SnC,2.179812,1.9283462420610156,0.06464787513109697
89,II-VI,M_i_B,Ir,CdS,2.265716,2.690785372306671,0.0344673169960598
90,II-VI,M_i_B,Bi,ZnSe,2.6872580000000004,2.7448357048820213,0.04156922114160012
91,II-VI,M_i_B,Mg,ZnS,4.208352,3.744787471567668,0.04534932305733876
92,II-VI,M_B,Sr,CdTe,1.985532,2.0513154264436464,0.0216322509473981
93,II-VI,M_i_neut,Na,ZnO,3.5529800000000002,3.565041276741728,0.049437228677530184
94,IV-IV,M_i_neut,Zn,SiC,3.174117,3.1219515053148164,0.03151133412295481
95,IV-IV,M_i_B,Al,SiC,3.130156,3.079025352586805,0.039840506003478326
96,II-VI,M_B,I,ZnO,3.777396,3.5678220611911002,0.10552756153343355
97,IV-IV,M_A,Rh,GeC,2.2193009999999997,2.3326127510706587,0.062476405949619764
98,II-VI,M_B,Ca,CdTe,1.848559,2.093894752824044,0.022146105445095102
99,II-VI,M_i_neut,Ir,ZnS,3.4895660000000004,3.4325925255406844,0.04288744358035658
100,IV-IV,M_i_B,C,SiGe,0.756983,0.9744508696510102,0.035107140117335796
101,IV-IV,M_B,Re,SnC,2.026084,1.9887776209128536,0.04307475424505843
102,III-V,M_i_B,C,AlAs,1.698216,1.743669540448288,0.056716981601915455
103,III-V,M_A,Te,BP,2.347328,2.565000225329988,0.06740000933522809
104,II-VI,M_i_B,C,CdTe,1.8858990000000002,1.5450994511225402,0.031068585026633296
105,III-V,M_i_neut,Pb,AlP,2.607391,2.640365944058272,0.040922244662835866
106,IV-IV,M_B,Li,GeC,1.8387470000000001,2.629791564245084,0.07623000688993371
107,II-VI,M_i_B,Y,CdO,2.420577,2.3038257111712417,0.03212427410517957
108,II-VI,M_i_A,C,CdTe,1.616738,1.5376241036023255,0.031793828122824185
109,II-VI,M_i_A,W,CdTe,1.986989,1.879439172907477,0.024305379730640703
110,IV-IV,M_A,As,SnC,2.046465,1.897191001683884,0.05988076080010273
111,III-V,M_i_B,Pb,GaP,2.4351700000000003,2.3604872987694785,0.06284402241462973
112,IV-IV,M_i_neut,W,SnC,2.16598,2.0046299025827268,0.053520949731727725
113,II-VI,M_i_A,C,ZnTe,1.350499,1.458945731234075,0.07291718337326038
114,II-VI,M_i_neut,W,ZnTe,2.258779,2.1402419479606514,0.03349895044577138
115,II-VI,M_i_neut,In,CdO,2.2540259999999996,2.137909488400912,0.030226322553005808
116,II-VI,M_i_B,Sb,CdTe,1.7494459999999998,2.017320005003712,0.020580601890267353
117,II-VI,M_i_A,Re,CdTe,1.8364779999999998,1.9648211113014322,0.02829575153500607
118,II-VI,M_B,Os,CdTe,1.463419,1.3997669085483415,0.03472584314264319
119,II-VI,M_i_neut,C,CdTe,1.886039,1.5396220549108584,0.03379696626186109
120,IV-IV,M_B,Bi,GeC,2.9441919999999997,2.6885351121442675,0.054182957930685824
121,II-VI,M_i_B,Re,CdTe,1.77777,1.9773847078043005,0.033431886795854626
122,II-VI,M_B,Ru,CdTe,1.4358950000000001,1.585304700338965,0.02980862531663937
123,II-VI,M_A,O,CdS,2.07995,1.8942738408853352,0.04308485676607591
124,II-VI,M_i_A,Al,CdS,3.0340740000000004,2.7943334507059214,0.039422459835376955
125,II-VI,M_A,Ru,CdO,2.07777,1.8548777015430034,0.044668948658381565
126,II-VI,M_i_A,Pb,CdO,2.4126279999999998,2.169062216201384,0.03887327418747653
127,II-VI,M_B,Tc,CdTe,1.7526830000000002,1.58948927732087,0.025107363558884252
128,II-VI,M_B,V,CdTe,1.733701,1.77666154837546,0.023001604719838812
129,II-VI,M_B,Rh,CdTe,1.730015,1.5497603829762252,0.025390366573436202
130,II-VI,M_i_B,Zr,CdTe,2.196184,2.2086218864120255,0.01779249307414059
131,II-VI,M_i_B,W,CdTe,2.092259,1.893063465437566,0.02941396825056146
132,IV-IV,M_i_neut,Sr,Si,1.44038,1.3762121345303602,0.041176908114642835
133,II-VI,M_i_A,Be,CdS,2.6483220000000003,2.6757396327430265,0.04167471862752142
134,II-VI,M_i_neut,La,CdTe,2.249895,2.2468173633649604,0.037048663216540156
135,IV-IV,M_i_A,C,Si,0.904148,1.0552611163119943,0.02799927789764376
136,II-VI,M_i_A,Sb,CdTe,1.8009279999999999,2.011428109938957,0.018087553383392185
137,II-VI,M_i_neut,W,CdTe,2.031557,1.8797975900015296,0.02153077384314173
138,II-VI,M_i_neut,Sb,CdTe,2.0124009999999997,2.0133680624919172,0.017572620460373847
139,III-V,M_i_A,Tc,InP,1.665057,1.629215088082966,0.034868586423844806
140,IV-IV,M_B,Au,GeC,2.615014,2.540008351484635,0.06219091371948602
141,III-V,M_i_B,Ti,BAs,1.894653,1.8633366088891499,0.05508392066884424
142,II-VI,M_i_B,La,CdSe,2.7344310000000003,2.493757410800528,0.0371416484451576
143,III-V,M_i_B,Mg,GaN,4.5119739999999995,4.270037217300599,0.09814996859748826
144,II-VI,M_i_neut,Zr,CdTe,2.089487,2.200291066832294,0.01681393961100738
145,II-VI,M_B,Cd,CdS,2.3993919999999997,2.580725005605565,0.03874726905024337
146,II-VI,M_i_A,Sn,CdS,3.025235,2.7672693409191167,0.027060393789859954
147,II-VI,M_B,Hf,CdTe,1.3888479999999999,1.6732536464795444,0.025417843998059363
148,II-VI,M_i_B,Rb,CdS,3.2276599999999998,3.1040076717542924,0.0416250315300184
149,II-VI,M_i_B,Os,CdTe,1.9197950000000001,1.9449538902280654,0.024280261474227252
150,II-VI,M_i_neut,Y,CdTe,2.193402,2.2223697727948175,0.018488571212788043
151,II-VI,M_B,Zn,CdS,2.232239,2.5741905703293244,0.03554115671495626
152,II-VI,M_i_B,Be,ZnO,3.507357,3.152939556408462,0.05078645527166635
153,II-VI,M_i_neut,Nb,CdTe,2.097759,2.088733123813266,0.012596337264659111
154,IV-IV,M_i_A,Pb,Si,1.50406,1.473943234928403,0.026729765047311276
155,II-VI,M_B,C,CdTe,0.322891,1.3406560677708583,0.039796942495396136
156,II-VI,M_i_A,Mo,CdTe,2.0893650000000004,1.9191219302471445,0.021730306858868814
157,II-VI,M_B,Rh,ZnSe,2.5822599999999998,2.381482532097712,0.04568508413192559
158,II-VI,M_i_B,Nb,CdTe,2.03383,2.0952766425643707,0.014342245888375056
159,III-V,M_i_neut,Sr,AlAs,2.440962,1.9821076254629997,0.07562395572005919
160,IV-IV,M_i_A,Fe,SnC,2.23248,2.0977376177598597,0.04609011612255393
161,II-VI,M_i_neut,Re,CdTe,1.9064709999999998,1.9641253855808203,0.02924775241263562
162,II-VI,M_i_B,La,CdTe,2.4052029999999998,2.2707307391315075,0.03593609657177026
163,II-VI,M_B,C,ZnSe,0.6326390000000001,1.8870414555296364,0.04962486552923219
164,II-VI,M_i_A,Os,CdTe,1.908196,1.9335431553067868,0.021634376034054457
165,IV-IV,M_i_neut,Ta,SiGe,2.0,1.1623783822951017,0.03222195956691738
166,II-VI,M_i_B,Ag,ZnO,3.5569129999999998,3.355023251238948,0.04251293326316058
167,II-VI,M_i_B,Sr,CdO,2.383832,2.3458561899574373,0.03073604680968572
168,III-V,M_i_B,Hf,InP,1.915879,1.8835211401846546,0.05177275079055363
169,II-VI,M_i_B,Ta,CdTe,1.994363,2.12982958935102,0.017951612115033367
170,II-VI,M_B,Cr,CdTe,1.590006,1.805783002677456,0.02246053815756345
171,IV-IV,M_B,Pd,SiC,3.1794700000000002,2.9919632842762596,0.03800014198799631
172,III-V,M_i_B,B,AlP,2.525787,2.332871773122656,0.048580894156016755
173,II-VI,M_i_A,Nb,CdTe,2.204728,2.088130286143943,0.013067636311924034
174,III-V,M_i_B,Ta,InAs,1.450297,1.3316149397549961,0.04301293401839191
175,III-V,M_i_B,W,InAs,1.340062,1.2202540723359168,0.03042166614227652
176,III-V,M_i_A,Te,AlAs,1.738936,2.093327576796144,0.042236177310572866
177,II-VI,M_i_B,Ti,CdS,3.065039,2.9029157150003306,0.029850498044569445
178,II-VI,M_i_A,Zr,ZnTe,2.288992,2.495053876464265,0.0403476957799653
179,II-VI,M_i_A,Zr,CdTe,2.1457040000000003,2.200089530751674,0.016409314401626674
180,III-V,M_i_neut,Mo,AlP,2.095523,2.317971471850027,0.02648396406528756
181,III-V,M_B,Mg,GaP,1.6075700000000002,1.9671513473988511,0.06534090040174652
182,II-VI,M_A,Sb,ZnO,3.4947239999999997,3.3211939715876375,0.04989130790068716
183,II-VI,M_B,Rb,CdTe,2.287602,2.1019896815450214,0.029030916915686482
184,II-VI,M_A,Ir,CdO,1.9678259999999999,1.8156018105675193,0.04454320103638071
185,II-VI,M_i_B,Rh,CdS,2.3031349999999997,2.6359518881076873,0.03724632971125177
186,II-VI,M_i_neut,Ta,CdTe,2.092156,2.1205776779718732,0.022065731895977703
187,IV-IV,M_A,Bi,SiC,3.207871,3.115051189120288,0.05116075676464717
188,II-VI,M_i_neut,Sc,CdTe,2.163615,2.1600644825721163,0.021533652921213512
189,II-VI,M_B,Fe,CdTe,1.657574,1.7454690414884895,0.024899625804611657
190,II-VI,M_i_B,As,ZnSe,2.281319,2.4623092088450194,0.03372030511261612
191,II-VI,M_B,Co,CdTe,1.587807,1.6363948833029838,0.023030120537417986
192,II-VI,M_i_neut,Ga,CdS,2.991164,2.6992933206732204,0.025098316222042436
193,II-VI,M_i_neut,Mo,CdTe,2.0051509999999997,1.918752286174766,0.020351352883170824
194,II-VI,M_i_neut,Co,CdO,2.139425,1.8867326031296259,0.02910129924313577
195,II-VI,M_B,K,CdTe,2.213833,2.0773270606570486,0.024765604861304184
196,II-VI,M_i_B,Y,CdTe,2.4414830000000003,2.2328582164781947,0.020298149577047623
197,II-VI,M_i_A,Te,ZnSe,2.06412,2.533641134202079,0.03321471281475506
198,II-VI,M_B,B,CdTe,0.660665,1.5155524522492156,0.031497479544401734
199,II-VI,M_B,Be,CdTe,1.123679,1.696082064184899,0.035930497757394646
200,III-V,M_i_neut,W,GaSb,0.820047,0.9035479382640631,0.06211163235349112
201,II-VI,M_i_A,Zn,ZnS,3.809917,3.580522438007647,0.04149036960465952
202,II-VI,M_A,Zr,CdS,2.7500709999999997,2.922532109349934,0.03339424752890076
203,II-VI,M_B,Li,ZnTe,1.739409,2.104569404158257,0.07627199501916697
204,II-VI,M_i_neut,Ba,CdTe,2.326003,2.3479802999878756,0.025328562601720308
205,II-VI,M_i_neut,As,CdS,2.487714,2.5972830122920714,0.030849403078595416
206,III-V,M_B,Hf,InSb,0.7883939999999999,0.5072793921382865,0.06528382032394171
207,II-VI,M_i_B,Mo,CdTe,2.157433,1.929258002750035,0.02165322707677356
208,II-VI,M_i_A,Ta,CdTe,2.2714090000000002,2.1208802831457674,0.019706027537963956
209,III-V,M_i_A,Cl,GaP,2.1246709999999998,1.9382597549684206,0.06183211565609382
210,IV-IV,M_i_neut,La,Ge,0.8784120000000001,0.9314940825398021,0.04435894199824493
211,II-VI,M_B,Mg,CdTe,1.5605069999999999,1.9697183144356658,0.033940011277658416
212,II-VI,M_B,Mn,CdTe,1.576849,1.7847299062020638,0.023596080819680544
213,II-VI,M_i_B,B,CdSe,2.524871,1.9583569525455164,0.03291100956076774
214,IV-IV,M_B,Rh,SiC,3.0842099999999997,2.976307237002921,0.03628815320387278
215,II-VI,M_i_A,La,CdTe,2.261479,2.2481144818713004,0.036034282696860924
216,II-VI,M_i_neut,Os,CdTe,1.9694630000000002,1.9341744339398468,0.023090344644581075
217,IV-IV,M_B,Rb,SiGe,0.736234,1.0430210955838886,0.0407368199227124
218,II-VI,M_B,Cs,CdTe,1.797447,1.9180759734889716,0.04243732921759026
219,III-V,M_i_B,Zr,InN,2.462416,2.4087849915009505,0.04743879481340809
220,II-VI,M_B,Si,CdSe,1.068368,2.0659663294694273,0.048649570630643735
221,II-VI,M_B,Ir,CdTe,1.7183549999999999,1.369652919569597,0.03583189189828331
222,II-VI,M_i_B,Ti,CdTe,2.193137,2.112541518952541,0.014250122435592942
223,II-VI,M_i_A,B,CdTe,1.658986,1.715849342898953,0.03137858558144084
224,III-V,M_i_neut,Ir,InP,1.7039830000000002,1.6656859706321874,0.032948929169700554
225,II-VI,M_i_B,Ru,CdTe,2.031489,1.901415386951261,0.020521923857409214
226,II-VI,M_i_neut,I,ZnSe,2.907334,2.620700218154444,0.04058748939215692
227,IV-IV,M_i_neut,Zr,Ge,0.870302,0.9086746564568043,0.028528737251192215
228,II-VI,M_i_A,Y,CdTe,2.26021,2.2244717167818555,0.01944820296195421
229,II-VI,M_i_B,Sc,CdTe,2.335259,2.165838716625232,0.018964680144788044
230,III-V,M_i_B,In,AlAs,2.38089,2.113338908319032,0.049715273292213875
231,II-VI,M_i_neut,B,CdTe,2.0074110000000003,1.7166921574133376,0.03303464540804537
232,III-V,M_i_B,Os,GaSb,0.613161,0.9127809693736009,0.045208258691146745
233,II-VI,M_i_neut,Ti,CdTe,2.157861,2.109516847557613,0.013242599591495607
234,II-VI,M_B,Tl,ZnSe,2.341133,2.449370485058236,0.03956413069944275
235,IV-IV,M_i_neut,Rb,SiSn,1.2,1.0673488451478568,0.03877616671760772
236,II-VI,M_i_neut,Cd,CdS,2.7628220000000003,2.8599394179735858,0.029836451326119
237,IV-IV,M_i_B,As,SiGe,1.038329,1.2165116763655344,0.02690899423426963
238,II-VI,M_A,C,CdSe,1.911994,1.7552218909743693,0.0322346569929885
239,III-V,M_i_B,Zn,BSb,1.7222119999999999,1.5015828988480826,0.05304134948787424
240,II-VI,M_i_neut,Sr,CdTe,2.322479,2.2688452431448187,0.023842098991628195
241,II-VI,M_i_A,Bi,CdSe,2.214091,2.2597491759656636,0.03314891909118817
242,II-VI,M_i_neut,K,CdO,2.28612,2.2556809849590884,0.03462645417837722
243,II-VI,M_i_A,Sc,CdTe,2.152307,2.157532669509946,0.019429513360310513
244,II-VI,M_i_B,Ba,CdTe,2.532009,2.3637579673982803,0.028829840088046982
245,II-VI,M_B,Li,CdTe,1.6473080000000002,1.7822568994177455,0.05383172811298033
246,II-VI,M_i_B,Rh,CdTe,1.858803,1.8683201382171901,0.01896298279259147
247,IV-IV,M_i_B,P,SiGe,0.910092,0.9390508364062338,0.02880604051197714
248,II-VI,M_i_A,Cu,ZnO,3.5214160000000003,3.17130808802357,0.03709583779314214
249,II-VI,M_i_neut,Se,ZnS,2.6660169999999996,3.035590747217424,0.04706033351898429
250,II-VI,M_i_A,Rh,CdTe,1.8526759999999998,1.8584347105366181,0.01608030182337357
251,II-VI,M_i_B,Br,CdO,1.6670049999999998,2.002747225146596,0.03998313645662141
252,II-VI,M_i_B,B,CdTe,2.099068,1.7250655593490982,0.032119919513311876
253,IV-IV,M_i_B,N,GeC,2.5,2.2631883270160964,0.09069372474527912
254,II-VI,M_i_neut,Ru,CdTe,1.9779220000000002,1.8985367700520637,0.018159162781483936
255,II-VI,M_i_A,Ru,CdTe,1.9908029999999999,1.8966157305161246,0.019541700321887276
256,IV-IV,M_i_A,Tl,SiGe,1.4393799999999999,1.3334386333906434,0.03082146206342272
257,II-VI,M_i_B,Te,CdS,2.091758,2.664808004722201,0.033663607580662426
258,II-VI,M_i_B,Tc,CdTe,1.9521669999999998,1.8748548595349201,0.020776607384733494
259,II-VI,M_A,C,CdTe,1.776847,1.5325792262754558,0.030959866719496174
260,II-VI,M_i_A,Tc,CdTe,1.9330470000000002,1.866175591756361,0.017962014886444916
261,III-V,M_i_B,Cd,GaP,2.374029,2.2947570711550425,0.04467192141451611
262,II-VI,M_B,Na,CdTe,2.0032799999999997,1.9595847815529344,0.038391784021381256
263,II-VI,M_i_A,Li,ZnS,3.9243580000000002,3.5894010061259367,0.05723502285829425
264,III-V,M_i_B,B,AlSb,1.615912,1.5392445528282188,0.07978279256238932
265,II-VI,M_i_B,Mn,ZnS,3.720425,3.5781939408988337,0.04273211091740227
266,III-V,M_B,Os,AlSb,1.307776,1.093921420408618,0.08353113246038943
267,III-V,M_i_neut,In,InN,2.454529,2.419508831363733,0.054217784586275596
268,III-V,M_i_A,Mn,BSb,1.355128,1.34438723405348,0.03983834520756046
269,II-VI,M_i_A,Cd,CdS,2.7898169999999998,2.8681972011209567,0.02867272664670019
270,II-VI,M_B,Al,CdTe,1.1859879999999998,1.8065279095001636,0.030382878498764254
271,II-VI,M_i_A,Ti,CdTe,2.1382380000000003,2.109517872764253,0.01438742194869707
272,II-VI,M_i_B,S,ZnTe,0.904,1.3758741582350642,0.04168440058300839
273,IV-IV,M_i_B,O,SiSn,0.20850900000000003,0.6845471234142788,0.051299266170599114
274,II-VI,M_i_B,Cd,CdS,2.745788,2.923253595552697,0.036736005787951304
275,III-V,M_i_A,S,InP,0.8451049999999999,1.3433186531816805,0.04110164491807667
276,II-VI,M_i_A,Ir,CdTe,1.819777,1.9106892849229933,0.018754738618292043
277,II-VI,M_B,Cd,CdSe,2.002148,2.1487614928369774,0.035904409490482056
278,II-VI,M_B,Ni,CdTe,1.600273,1.6296629969825083,0.021424007879863864
279,II-VI,M_A,Rh,CdO,1.692304,1.8108614014977795,0.040410767520399016
280,II-VI,M_i_neut,Pt,CdS,2.5384290000000003,2.6473468586228712,0.030700685078115873
281,II-VI,M_i_neut,Sb,ZnTe,2.106929,2.142994276963457,0.04115131012077738
282,II-VI,M_i_A,Ca,ZnTe,2.476969,2.5768583704031243,0.041256775084673805
283,II-VI,M_i_B,Na,ZnTe,2.531431,2.4113853858871686,0.047327691337802305
284,II-VI,M_i_B,Bi,CdTe,1.8749939999999998,2.0918641487007315,0.028726729156539586
285,II-VI,M_i_B,S,CdS,1.563124,2.1576926745514795,0.04060763550140104
286,II-VI,M_i_B,Ir,CdTe,1.7172479999999999,1.9208907449204677,0.027338100201929418
287,II-VI,M_i_neut,Rh,CdTe,1.8906150000000002,1.8594680180626704,0.014151840468581069
288,III-V,M_i_neut,Br,InP,1.748793,1.7466997040031806,0.041445671612504
289,IV-IV,M_i_A,Os,GeSn,0.525704,0.6708440250467871,0.027253217092298797
290,II-VI,M_A,P,ZnS,3.5464279999999997,2.945633130958857,0.0629307549457151
291,II-VI,M_B,Sb,CdTe,1.8309360000000001,1.6897431258556324,0.030049867217725592
292,II-VI,M_i_neut,Ca,CdSe,2.668965,2.47818234600028,0.031032330356325515
293,IV-IV,M_i_neut,Mn,GeC,2.565387,2.600098698120627,0.06270562361073681
294,II-VI,M_i_neut,Ca,CdTe,2.2987439999999997,2.2495554817469925,0.01844584156215334
295,II-VI,M_B,Zn,CdTe,1.420383,1.839840474598359,0.02641915793824555
296,IV-IV,M_A,W,GeC,2.7212549999999998,2.335945180529179,0.06652214898914746
297,III-V,M_i_A,Pd,InN,1.9481130000000002,2.1228610447969274,0.04392051237409387
298,II-VI,M_i_B,N,CdTe,1.9865849999999998,1.3678551048155758,0.03733179219003285
299,III-V,M_i_B,Nb,InSb,1.04582,0.9501661299630826,0.03328350936102513
300,II-VI,M_i_B,Cs,CdTe,2.379696,2.2490340258532493,0.047806839744766544
301,IV-IV,M_i_A,Ta,Ge,0.727521,0.8296995397925292,0.03073690370507758
302,II-VI,M_i_A,K,ZnSe,3.153177,3.286631403448864,0.06665249479041395
303,II-VI,M_i_neut,Cd,CdO,2.205752,2.1540566343157947,0.028442403883828286
304,II-VI,M_A,Sb,CdTe,2.124484,1.7915560484278106,0.02137102477235209
305,II-VI,M_i_neut,N,CdTe,1.836097,1.3658464487629929,0.03874464056251702
306,II-VI,M_i_B,Hf,CdTe,2.214798,2.1710981831024183,0.0208598046251089
307,III-V,M_i_B,La,GaSb,1.201765,1.071031528937361,0.06426518041550956
308,II-VI,M_i_A,V,CdTe,2.571429,1.9834075366055957,0.013115968056921988
309,II-VI,M_i_B,Sr,CdSe,2.773493,2.5103578484661178,0.032298489325488504
310,II-VI,M_i_B,V,CdTe,2.047152,1.9852232081377241,0.0149604844286651
311,IV-IV,M_A,Na,GeSn,0.543848,0.6063120410202396,0.050927514426298386
312,II-VI,M_i_neut,Tc,CdTe,2.03892,1.8672603908027618,0.017701151309296104
