,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
29,IV-IV,M_i_B,Si,SnC,8.236301,7.39145631365142,0.3264102039390186
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,7.312367843735716,0.3315008398797064
31,II-VI,M_B,Na,CdS,5.935974,3.338430048731978,0.1635824548922296
32,II-VI,M_i_A,Mo,CdS,6.664465,5.322765145426311,0.06062305925384403
33,II-VI,M_i_neut,Pb,ZnS,7.017339999999999,5.658626058115606,0.1424152310773876
34,IV-IV,M_B,I,SiC,8.783475,8.13786817524195,0.4308371124589939
35,II-VI,M_i_neut,La,ZnSe,6.284486,5.23706770812933,0.11394515662297254
36,II-VI,M_B,Zr,CdTe,5.952999999999999,4.522912773940433,0.11735655120672599
37,II-VI,M_B,La,CdTe,6.257999999999999,4.752607036024981,0.15406380288880195
38,II-VI,M_B,W,CdTe,7.942,7.7770608428483925,0.149361253621605
39,IV-IV,M_i_A,Ru,SiC,9.266514,8.15659402669101,0.21655170038034613
40,III-V,M_i_neut,Cl,BSb,8.113017999999999,5.697468302907891,0.2975640352424088
41,II-VI,M_i_B,Al,ZnS,5.675147,3.84057266191855,0.11713285027701625
42,IV-IV,M_i_B,Al,GeC,8.183278999999999,7.905334016933457,0.25287779653058656
43,III-V,M_i_neut,Pt,BP,6.99052,7.529866610351678,0.3153397778943611
44,III-V,M_i_neut,Ag,BP,8.295910000000001,7.1979819100036675,0.31505523504055744
45,III-V,M_i_A,Ba,GaP,7.847111999999999,6.212318279706075,0.21992014899039206
46,II-VI,M_B,Nb,CdTe,5.778,4.989068621510249,0.09662578252804352
47,IV-IV,M_i_A,Tc,SiC,8.610426,8.502761264781274,0.21918294550005524
48,II-VI,M_B,Y,CdTe,5.3020000000000005,4.660391825627467,0.1604161754627627
49,III-V,M_i_B,I,AlP,8.598264,7.455478503726207,0.16357850088451714
50,II-VI,M_B,Ca,CdSe,5.623653,4.647071139652431,0.13370625582434878
51,III-V,M_i_A,Be,GaN,6.104421,5.011051223142713,0.3404634720361015
52,IV-IV,M_i_A,B,SiC,8.007597,7.412392524327251,0.24765208186975435
53,III-V,M_i_A,W,BP,7.786508,9.459555186719397,0.30335607614609233
54,III-V,M_B,Ba,InP,6.515726,3.115350970926385,0.20430471875905284
55,III-V,M_B,La,GaAs,6.649732000000001,2.624665594838212,0.19651581431174736
56,III-V,M_i_B,Tc,BAs,7.877839,7.431430618362728,0.20204451142536792
57,II-VI,M_B,Os,CdSe,5.8960099999999995,5.7185103976497995,0.10019920710614116
58,II-VI,M_B,Mo,CdTe,6.016,5.806519437133391,0.0990939399850106
59,II-VI,M_B,Re,CdTe,6.749,7.060474067942681,0.13084656415968993
60,II-VI,M_i_A,Ba,ZnSe,5.7963,5.278584247288487,0.11238352518301298
61,II-VI,M_B,Ti,CdTe,5.03,3.1708557748655317,0.11788962734688405
62,II-VI,M_B,Sc,CdTe,5.247999999999999,3.4666400117135425,0.12472728231074552
63,II-VI,M_i_A,Cl,ZnO,7.895961,6.012649871328091,0.192516658524011
64,II-VI,M_B,Ta,CdTe,6.6370000000000005,7.286183028171496,0.1517940658587954
65,II-VI,M_B,Ba,CdTe,5.676,4.768574738281215,0.20030852463546078
66,IV-IV,M_i_neut,O,GeC,7.144854,7.941793721620593,0.45843763398609244
67,II-VI,M_i_A,Sc,ZnS,4.502325,4.437618720442955,0.11745509651631006
68,IV-IV,M_B,Sb,SiC,6.971528999999999,7.7904701555889915,0.3462545034626818
69,III-V,M_A,Hf,BAs,7.6093839999999995,4.324216180847289,0.28411074768287947
70,II-VI,M_i_neut,Cs,CdS,4.438366,4.17679119345074,0.16031070049457025
71,IV-IV,M_i_B,C,SnC,7.362067,8.303689421019817,0.30469863444303363
72,IV-IV,M_B,Te,SnC,5.172788,5.812876370735691,0.3690705883214427
73,IV-IV,M_i_B,F,GeC,6.803752,7.235471867322677,0.3532148554995361
74,II-VI,M_i_neut,Cs,ZnSe,5.745138,5.23740656407079,0.15399963158599395
75,II-VI,M_i_B,Ir,CdS,4.763054,4.488763412525293,0.08172414013673722
76,II-VI,M_i_B,Bi,ZnSe,6.282951000000001,5.455490091088007,0.1258974207216164
77,II-VI,M_i_B,Mg,ZnS,4.931966,4.370898443645474,0.14833929098161772
78,II-VI,M_B,Sr,CdTe,5.331,4.20712299006753,0.2161528240135908
79,II-VI,M_i_neut,Na,ZnO,5.0122480000000005,3.3166594193782744,0.2354689187848824
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,6.373626873371823,0.3586471634117605
81,IV-IV,M_i_B,Al,SiC,6.9505289999999995,7.804203476380101,0.23122384740414315
82,IV-IV,M_A,Rh,GeC,3.480516,3.477449719356895,0.3202183170338462
83,II-VI,M_B,Ca,CdTe,5.151,3.3292285140161235,0.165038345729012
84,II-VI,M_i_neut,Ir,ZnS,5.411389,5.214361819527521,0.14711384663851565
85,IV-IV,M_i_B,C,SiGe,6.933628999999999,5.831721833696214,0.21499950622158523
86,III-V,M_i_B,C,AlAs,7.190668,6.216343362147483,0.17122603092274452
87,III-V,M_A,Te,BP,7.769961,7.132873828397777,0.2876348985621636
88,II-VI,M_i_B,C,CdTe,6.943,6.377447170630765,0.11371770546808534
89,III-V,M_i_neut,Pb,AlP,6.935306,6.088853832319435,0.1607563019455685
90,II-VI,M_i_B,Y,CdO,3.839067,4.295972526778372,0.15673830898052785
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.367577943482516,0.1152628541605446
92,II-VI,M_i_A,W,CdTe,6.851,6.314053792041575,0.1015201357820673
93,III-V,M_i_B,Pb,GaP,6.811591,6.568364348679703,0.1990674493285316
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,6.027810828225536,0.15033673866511035
95,II-VI,M_i_neut,W,ZnTe,6.377951,6.366511666581938,0.1518070509324484
96,II-VI,M_i_neut,In,CdO,3.627329,3.2599113832955657,0.1622452539785436
97,II-VI,M_i_B,Sb,CdTe,5.257999999999999,3.7734795774782675,0.07416669183825707
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,5.700137125364446,0.08828055507208209
99,II-VI,M_B,Os,CdTe,5.718,6.040260298904844,0.11776248789108056
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.378977099185266,0.11497582949889468
101,IV-IV,M_B,Bi,GeC,7.388043,6.35468727497552,0.3819408115021823
102,II-VI,M_i_B,Re,CdTe,6.642,5.849188250515016,0.09103854799546358
103,II-VI,M_B,Ru,CdTe,4.654,4.604689491351574,0.11692166812799731
104,II-VI,M_i_A,Al,CdS,4.62634,3.0931775104483363,0.08476179347560973
105,II-VI,M_A,Ru,CdO,2.903838,3.247637119295952,0.15505062511427853
106,II-VI,M_i_A,Pb,CdO,3.534417,3.908797060918566,0.16600627186840852
107,II-VI,M_B,Tc,CdTe,5.587000000000001,4.840401933679069,0.09502863530772347
108,II-VI,M_B,V,CdTe,4.232,3.2342209145899687,0.12425979135571387
109,II-VI,M_B,Rh,CdTe,4.114,4.312766170172681,0.127335040836884
110,II-VI,M_i_B,Zr,CdTe,4.454,4.248829214336508,0.07580774552629496
111,II-VI,M_i_B,W,CdTe,6.415,6.459484956204159,0.1280172789556457
112,IV-IV,M_i_neut,Sr,Si,6.397273,4.163924422644318,0.15943595660039558
113,II-VI,M_i_A,Be,CdS,5.087941000000001,2.9333041849344497,0.09532745105179048
114,II-VI,M_i_neut,La,CdTe,4.672,4.2798012744397225,0.11537683797724481
115,IV-IV,M_i_A,C,Si,6.357864,5.5445950750942075,0.3166222367089272
116,II-VI,M_i_A,Sb,CdTe,4.91,3.7201457298508864,0.08888119754956687
117,II-VI,M_i_neut,W,CdTe,6.27,6.223008475912579,0.108103410131555
118,II-VI,M_i_neut,Sb,CdTe,4.8,3.6683115501322137,0.07245907269792909
119,III-V,M_i_A,Tc,InP,4.828802,4.464621707036422,0.2096423036260994
120,IV-IV,M_B,Au,GeC,5.675841,6.083349936364675,0.30830520991092986
121,III-V,M_i_B,Ti,BAs,6.349291,6.072591397196304,0.24771629969649236
122,II-VI,M_i_B,La,CdSe,4.064545,4.5487282773514925,0.1078567812884208
123,III-V,M_i_B,Mg,GaN,5.071135,6.23987830144725,0.3231936007968006
124,II-VI,M_i_neut,Zr,CdTe,4.1339999999999995,4.180789280945925,0.07100506627855918
125,II-VI,M_B,Cd,CdS,3.163209,2.7350572037162486,0.10157588983671918
126,II-VI,M_i_A,Sn,CdS,3.916097,3.929277339162747,0.08016514905916486
127,II-VI,M_B,Hf,CdTe,5.159,7.15203725934037,0.18119261643705709
128,II-VI,M_i_B,Rb,CdS,3.529205,4.049668593487173,0.08188620546328851
129,II-VI,M_i_B,Os,CdTe,6.07,5.424048990069632,0.10897223143447558
130,II-VI,M_i_neut,Y,CdTe,4.121,4.565968247720333,0.07446591744265975
131,II-VI,M_B,Zn,CdS,3.301715,2.359976578711105,0.13662806902095312
132,II-VI,M_i_B,Be,ZnO,2.7770240000000004,2.957277638938419,0.28506285236174367
133,II-VI,M_i_neut,Nb,CdTe,4.494,4.5023966795961785,0.056149419490861906
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,4.671489046713646,0.25124752331273625
135,II-VI,M_B,C,CdTe,5.059,5.334185508800074,0.20161761564300376
136,II-VI,M_i_A,Mo,CdTe,5.242000000000001,4.760739523741618,0.06391754048441305
137,II-VI,M_B,Rh,ZnSe,4.203021,4.117403173023577,0.1308848784150093
138,II-VI,M_i_B,Nb,CdTe,4.417,4.584746434888585,0.06335441013146262
139,III-V,M_i_neut,Sr,AlAs,4.723997,4.550473047456398,0.17710604137492852
140,IV-IV,M_i_A,Fe,SnC,3.64794,5.673594451692274,0.43764624988798645
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,5.635384757750983,0.07400269151109357
142,II-VI,M_i_B,La,CdTe,4.205,4.437180252938768,0.11416763725068672
143,II-VI,M_B,C,ZnSe,4.101471,5.748162680266562,0.17430359522555233
144,II-VI,M_i_A,Os,CdTe,5.862,5.269528780425722,0.08287767164870259
145,IV-IV,M_i_neut,Ta,SiGe,6.032376999999999,4.830085727309616,0.14915142925863176
146,II-VI,M_i_B,Ag,ZnO,4.98645,4.444754394596431,0.16756973079831597
147,II-VI,M_i_B,Sr,CdO,3.334288,4.05872784208335,0.15234472069618246
148,III-V,M_i_B,Hf,InP,5.149064,5.205696485616996,0.24235833440670865
149,II-VI,M_i_B,Ta,CdTe,5.774,5.903315670600949,0.08728536996247707
150,II-VI,M_B,Cr,CdTe,3.412,2.47164422246279,0.12204134122623432
151,IV-IV,M_B,Pd,SiC,5.755425,6.337199543371588,0.25330570013557735
152,III-V,M_i_B,B,AlP,5.057439,4.215442360441046,0.17778687655939168
153,II-VI,M_i_A,Nb,CdTe,4.188,4.475517577174907,0.05555105933459722
154,III-V,M_i_B,Ta,InAs,4.886297,5.534702668204193,0.19508898437954528
155,III-V,M_i_B,Co,GaN,6.600535000000001,5.4223377485331925,0.35691268629205586
156,III-V,M_i_B,W,InAs,5.466696,5.693689327827797,0.19337883464010713
157,III-V,M_i_A,Te,AlAs,6.342025,6.843077423750051,0.11371910449014162
158,II-VI,M_i_B,Ti,CdS,2.358631,3.5128335014546055,0.07224118400786993
159,II-VI,M_i_A,Zr,ZnTe,3.730255,4.191079242630155,0.15696450273119744
160,II-VI,M_i_A,Zr,CdTe,3.6180000000000003,4.159231449348637,0.0759803812415233
161,III-V,M_i_neut,Mo,AlP,5.420163,5.202421011264318,0.20520197667624776
162,III-V,M_B,Mg,GaP,3.815344,1.7801214256646716,0.2595780069248191
163,II-VI,M_A,Sb,ZnO,2.699995,4.907377760160376,0.20231357819726442
164,II-VI,M_B,Rb,CdTe,3.76,3.7845396665926385,0.2164725794406453
165,II-VI,M_A,Ir,CdO,3.5936730000000003,2.614954467379769,0.20934422312877873
166,II-VI,M_i_B,Rh,CdS,3.3271129999999998,3.8175370824509214,0.07258358290528986
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,5.677959811911419,0.0746160920817947
168,IV-IV,M_A,Bi,SiC,5.910053,4.336295408898097,0.3406199407864756
169,II-VI,M_i_neut,Sc,CdTe,4.05,3.4958786594437923,0.08983854251118842
170,II-VI,M_B,Fe,CdTe,3.136,2.297779930638119,0.13441893637860053
171,II-VI,M_i_B,As,ZnSe,5.519378,4.5067588848727915,0.11742432346815954
172,II-VI,M_B,Co,CdTe,3.0810000000000004,2.6371071789669203,0.07804678705883504
173,II-VI,M_i_neut,Ga,CdS,3.507993,2.770536905788707,0.06159694534682257
174,II-VI,M_i_neut,Mo,CdTe,4.7010000000000005,4.777523371354926,0.06590963619566156
175,II-VI,M_i_neut,Co,CdO,2.646598,2.4624114799716175,0.12133720617991131
176,II-VI,M_B,K,CdTe,3.7539999999999996,3.397892444430846,0.21304911492122294
177,II-VI,M_i_B,Y,CdTe,3.497,4.602053504666488,0.0674332079846443
178,II-VI,M_i_A,Te,ZnSe,6.352062999999999,5.529914404264121,0.084774129579456
179,II-VI,M_B,B,CdTe,4.479,4.403283838797381,0.10967397053339337
180,II-VI,M_B,Be,CdTe,3.762,3.727303262956796,0.20528596162333887
181,III-V,M_i_neut,W,GaSb,5.420782,6.34184237985814,0.16019531341391996
182,II-VI,M_i_A,Zn,ZnS,3.268056,3.8180855599312116,0.10207343547016204
183,II-VI,M_A,Zr,CdS,3.1863580000000002,2.1257910128024036,0.08426829005230661
184,II-VI,M_B,Li,ZnTe,3.4027629999999998,3.7779381283523783,0.22344758755821809
185,II-VI,M_i_neut,Ba,CdTe,4.442,3.909850057096449,0.09658220200705925
186,II-VI,M_i_neut,As,CdS,4.094933999999999,4.321634162253557,0.07808423581522816
187,III-V,M_B,Hf,InSb,4.665163,4.392559585904263,0.21800353418718266
188,II-VI,M_i_B,Mo,CdTe,4.601,4.866672049264304,0.07580183465901211
189,II-VI,M_i_A,Ta,CdTe,5.343,5.735982870705399,0.07083363181073822
190,III-V,M_i_A,Cl,GaP,5.653321,4.729650746191033,0.20031901407309055
191,IV-IV,M_i_neut,La,Ge,5.326147,4.818227726312176,0.123821679634544
192,II-VI,M_B,Mg,CdTe,3.7889999999999997,3.4171525164842507,0.16838535497797194
193,II-VI,M_B,Mn,CdTe,3.194,2.2601439422539173,0.1390685812233126
194,II-VI,M_i_B,B,CdSe,4.871931,4.0746120309824825,0.08659154907685251
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,6.234428024140321,0.3573331430699729
196,II-VI,M_i_A,La,CdTe,3.5589999999999997,4.272064330122186,0.11123824673047408
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,5.178681279654332,0.0906537490490449
198,IV-IV,M_B,Rb,SiGe,5.448151,4.270496135930996,0.2918436578372577
199,II-VI,M_B,Cs,CdTe,3.37,4.888982966783912,0.2387171390985366
200,III-V,M_i_B,Zr,InN,2.1341069999999998,5.561539703861589,0.3022246784596133
201,II-VI,M_B,Si,CdSe,2.6001819999999998,3.1604436704783145,0.09999243892637842
202,II-VI,M_B,Ir,CdTe,3.951,3.8585967362433307,0.13241848258899033
203,II-VI,M_i_B,Ti,CdTe,3.5389999999999997,3.1396589998044604,0.06496361471282311
204,II-VI,M_i_A,B,CdTe,5.207000000000001,3.9426542356904157,0.09138525143186592
205,III-V,M_i_neut,Ir,InP,3.8199959999999997,4.0878473104537765,0.2602246373455753
206,II-VI,M_i_B,Ru,CdTe,4.146,4.093224961830451,0.0727973075956404
207,II-VI,M_i_neut,I,ZnSe,6.019228,6.3823907144770775,0.11448699441414145
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.699201871619969,0.14364580295512003
209,II-VI,M_i_A,Y,CdTe,3.1439999999999997,4.472093440819257,0.07352622238688068
210,II-VI,M_i_B,Sc,CdTe,3.6439999999999997,3.5259088631465447,0.08211417516555981
211,III-V,M_i_B,In,AlAs,4.5806569999999995,4.0076798229863275,0.13514068820959574
212,II-VI,M_i_neut,B,CdTe,5.052,3.9442117887285812,0.08903682117292155
213,III-V,M_i_B,Os,GaSb,6.043499,5.552368667817032,0.14565288782039687
214,II-VI,M_i_neut,Ti,CdTe,3.34,3.0900467066663717,0.06601390983518396
215,II-VI,M_B,Tl,ZnSe,2.6308119999999997,2.2521624143360297,0.16635582423324216
216,IV-IV,M_i_neut,Rb,SiSn,5.962376,4.750650441728507,0.1675925462386136
217,II-VI,M_i_neut,Cd,CdS,3.307201,2.815569850933289,0.06888806056197262
218,IV-IV,M_i_B,As,SiGe,4.863747,4.164991033136988,0.1327523934467664
219,II-VI,M_A,C,CdSe,6.231954,7.290856559441053,0.16486410312334912
220,III-V,M_i_B,Zn,BSb,5.924497,5.022163134042465,0.25965310832423527
221,II-VI,M_i_neut,Sr,CdTe,3.97,3.3914037799919567,0.09986907790630371
222,II-VI,M_i_A,Bi,CdSe,3.952889,3.8587678543066373,0.10498656887126213
223,II-VI,M_i_neut,K,CdO,2.835541,3.157703981658185,0.21152666038739373
224,II-VI,M_i_A,Sc,CdTe,3.4789999999999996,3.453237746034585,0.08661864292927855
225,II-VI,M_i_B,Ba,CdTe,3.946,3.9695356234900077,0.10552310982069052
226,II-VI,M_B,Li,CdTe,3.6839999999999997,3.555757813214922,0.23963317500165768
227,II-VI,M_i_B,Rh,CdTe,3.458,3.327865365618836,0.07071991462236048
228,IV-IV,M_i_B,P,SiGe,4.7803830000000005,4.365599403973677,0.2053800950712384
229,II-VI,M_i_A,Cu,ZnO,3.014662,3.7501879891065046,0.1940381933024457
230,II-VI,M_i_neut,Se,ZnS,6.272565,6.097498522639166,0.11245254638962067
231,II-VI,M_i_A,Rh,CdTe,3.427,3.2376080202432123,0.06753279477323251
232,II-VI,M_i_B,Br,CdO,5.645980000000001,4.500980935983232,0.20576263467841216
233,II-VI,M_i_B,B,CdTe,4.843,3.958750887122018,0.085502412969874
234,IV-IV,M_i_B,N,GeC,4.531255000000001,7.598469768302516,0.39431539544425287
235,II-VI,M_i_neut,Ru,CdTe,3.813,3.993168129097273,0.07082843095852659
236,II-VI,M_i_A,Ru,CdTe,3.8080000000000003,4.0134104236312105,0.0661426753283455
237,IV-IV,M_i_A,Tl,SiGe,4.810553,4.253556227043676,0.16721787876171354
238,II-VI,M_i_B,Te,CdS,5.7312959999999995,5.112648984378889,0.10126591879108449
239,II-VI,M_i_B,Tc,CdTe,4.78,4.397686866713119,0.06425089834511559
240,II-VI,M_A,C,CdTe,5.707999999999999,7.018057693803373,0.1593972392707218
241,II-VI,M_i_A,Tc,CdTe,4.754,4.300928413423873,0.0723715539933895
242,III-V,M_i_B,Cd,GaP,4.369673000000001,5.0888981834622555,0.1238426266562291
243,II-VI,M_B,Na,CdTe,3.178,4.212283797576033,0.1960798948939774
244,II-VI,M_i_A,Li,ZnS,2.336097,2.810671556639408,0.157491383676889
245,III-V,M_i_B,B,AlSb,4.777525,3.640341569433378,0.14393934445724965
246,II-VI,M_i_B,Mn,ZnS,1.8154810000000001,3.4121943665311627,0.1424582607690931
247,III-V,M_B,Os,AlSb,5.0619559999999995,4.659808790243828,0.17281958996336066
248,III-V,M_i_neut,In,InN,4.520876,5.369959888263327,0.3684090280960072
249,III-V,M_i_A,Mn,BSb,1.8644349999999998,4.8553701691804605,0.1961145497872403
250,II-VI,M_i_A,Cd,CdS,3.02337,2.791266640399632,0.06993244123941128
251,II-VI,M_B,Al,CdTe,2.5989999999999998,2.445398875868107,0.09485219692646321
252,II-VI,M_i_A,Ti,CdTe,3.008,3.0591349078988594,0.060419534849890086
253,II-VI,M_i_B,S,ZnTe,6.007401,4.628664530400363,0.11881751801770964
254,IV-IV,M_i_B,O,SiSn,4.323297,3.0905865963729977,0.19511540994098273
255,II-VI,M_i_B,Cd,CdS,2.987293,2.9079363001175387,0.07128953727405103
256,III-V,M_i_A,S,InP,5.03909,4.553559124080531,0.1364373551632843
257,II-VI,M_i_A,Ir,CdTe,4.311,3.762648885081218,0.0936923757591238
258,II-VI,M_B,Cd,CdSe,2.090747,2.0353638902597617,0.09918740775685225
259,II-VI,M_B,Ni,CdTe,3.228,2.4610255638517855,0.0804831028224101
260,II-VI,M_A,Rh,CdO,2.915673,2.3273300663882943,0.1669824386905874
261,II-VI,M_i_neut,Pt,CdS,2.982152,3.661162355895203,0.07436176240008771
262,II-VI,M_i_neut,Sb,ZnTe,4.311339,4.343160942520335,0.09899752172785202
263,II-VI,M_i_A,Ca,ZnTe,3.241119,3.0628666851460444,0.12522839390416712
264,II-VI,M_i_B,Na,ZnTe,3.755551,2.728232766889183,0.14355067725637677
265,II-VI,M_i_B,Bi,CdTe,3.9610000000000003,3.840968161492539,0.11171921538860301
266,II-VI,M_i_B,S,CdS,5.855580000000001,5.3165339781331085,0.1139931527348407
267,II-VI,M_i_B,Ir,CdTe,4.2219999999999995,3.897541143231426,0.10383880595783626
268,II-VI,M_i_neut,Rh,CdTe,3.1039999999999996,3.21912795950744,0.06303818919224637
269,III-V,M_i_neut,Br,InP,4.884957,4.460807423813599,0.15160705525930385
270,IV-IV,M_i_A,Os,GeSn,4.384718,4.290956989970374,0.1542024608623048
271,II-VI,M_A,P,ZnS,4.73641,5.084766175363075,0.14890048273438766
272,II-VI,M_B,Sb,CdTe,2.123,1.6218048453843743,0.11097727894260415
273,II-VI,M_i_neut,Ca,CdSe,3.217879,3.066186374024174,0.08614033395041824
274,IV-IV,M_i_neut,Mn,GeC,3.328115,5.918300532734124,0.2665199978650347
275,II-VI,M_i_neut,Ca,CdTe,3.5210000000000004,2.7013414695062927,0.08876148809828574
276,II-VI,M_B,Zn,CdTe,2.565,1.4465616236403047,0.11428875991013746
277,IV-IV,M_A,W,GeC,3.2998559999999997,3.1035275495336783,0.2817584646641381
278,III-V,M_i_A,Pd,InN,5.589995,4.699122087824469,0.34319233008298006
279,II-VI,M_i_B,N,CdTe,4.58,3.552673075543416,0.1692175544537588
280,III-V,M_i_B,Nb,InSb,3.913903,3.906222480307189,0.18794147207925305
281,II-VI,M_i_B,Cs,CdTe,3.469,3.8226855778004243,0.14833631505441888
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,4.841636248020817,0.14249145727200724
283,II-VI,M_i_A,K,ZnSe,3.099839,3.641749372782626,0.1380560220211706
284,II-VI,M_i_neut,Cd,CdO,2.319802,2.377264107646159,0.16162231959195303
285,II-VI,M_A,Sb,CdTe,3.87,2.2933278495448044,0.09565060953792294
286,II-VI,M_i_neut,N,CdTe,4.5,3.5328484788328893,0.16758730534569546
287,II-VI,M_i_B,Hf,CdTe,4.315,5.009218024693405,0.07969127838726761
288,III-V,M_i_B,La,GaSb,4.371508,4.433112197140194,0.2127001087354384
289,II-VI,M_i_A,V,CdTe,2.966,2.8002379315824184,0.07798235431361163
290,II-VI,M_i_B,Sr,CdSe,3.016486,3.738383889938256,0.1061861215038701
291,II-VI,M_i_B,V,CdTe,2.9410000000000003,2.8461540782328383,0.0718386871860003
292,IV-IV,M_A,Na,GeSn,4.465356,4.789602769264446,0.17449198418318487
293,II-VI,M_i_neut,Tc,CdTe,4.277,4.302888029238847,0.06721401812388025
294,IV-IV,M_A,Os,SiC,5.10728,4.787172470834717,0.31654855156022066
295,IV-IV,M_i_B,As,SiSn,4.394126,2.9792304265995755,0.1581201111840425
296,III-V,M_B,Hg,BSb,3.5796349999999997,3.5270992165892663,0.28096913572882004
297,II-VI,M_i_neut,Pb,CdTe,3.306,3.033582690345367,0.11228104201727299
298,III-V,M_i_A,La,AlSb,3.8329489999999997,4.71267631064931,0.14899555192275324
299,II-VI,M_i_A,N,CdTe,4.408,3.518794631555012,0.17461220056013801
300,II-VI,M_i_B,Sr,CdTe,3.2960000000000003,3.4439551149334093,0.13048177882709375
301,II-VI,M_B,Ge,CdSe,2.157188,2.3363026690950175,0.09381340905134508
302,II-VI,M_i_A,Ba,CdTe,3.2739999999999996,3.797728745892828,0.0888308394767204
303,II-VI,M_i_neut,V,CdTe,2.8789999999999996,2.7808836622867577,0.06593742205436183
304,IV-IV,M_B,I,SiGe,4.361028,4.686172125928044,0.21695627856464972
305,III-V,M_i_neut,Ru,AlAs,5.3116389999999996,4.448203399052109,0.20671704926950896
306,II-VI,M_A,Ba,ZnS,2.808519,2.020382921974317,0.17133491873018425
307,II-VI,M_i_neut,Al,CdTe,3.06,2.7004576240244,0.07417702549831987
308,II-VI,M_i_A,Fe,CdTe,2.807,1.9932752818404276,0.08189415330909466
309,III-V,M_i_A,Cl,AlAs,4.506616,4.8724634566526515,0.1439661105246295
310,II-VI,M_i_B,Be,ZnTe,3.431579,2.4786733080208885,0.16475861920836446
311,II-VI,M_B,Zn,ZnTe,1.8907200000000002,2.111320440788244,0.15383551491928318
312,III-V,M_B,O,AlAs,3.8051269999999997,3.9997221774935925,0.3442385765670798
313,II-VI,M_i_A,S,CdS,5.4309,5.268237926643833,0.11124679012199594
314,II-VI,M_i_A,Bi,CdTe,3.531,3.701681017690267,0.10495355276015168
315,IV-IV,M_i_neut,Tl,SiSn,4.869882,4.003645364623092,0.15891077339174717
316,III-V,M_i_A,Ir,GaSb,4.136324,4.236411325944839,0.1769970554640461
317,II-VI,M_A,Bi,ZnS,4.010057,3.1301544052330748,0.1669367704172812
