,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
43,III-V,M_i_neut,Pt,BP,8.616133999999999,7.598085232194251,0.3861257297228061
44,III-V,M_i_neut,Ag,BP,8.32291,7.662968131657928,0.2916438822745056
45,III-V,M_i_A,Ba,GaP,8.311112,5.454027309545706,0.32308641391390447
46,II-VI,M_B,Nb,CdTe,8.266,7.568435318171945,0.0989580904637342
47,IV-IV,M_i_A,Tc,SiC,8.192969,7.686217687274874,0.19480836114089098
48,II-VI,M_B,Y,CdTe,8.189,7.640470268995938,0.10919481296685271
49,III-V,M_i_B,I,AlP,8.180603,7.814493635868061,0.22213174809766884
50,II-VI,M_B,Ca,CdSe,8.176685,7.230949661604322,0.14336869601232816
51,III-V,M_i_A,Be,GaN,8.159421,5.777576400262693,0.3696988009146268
52,IV-IV,M_i_A,B,SiC,8.043847,7.1726450603259035,0.21605912789122134
53,III-V,M_i_A,W,BP,7.924508,9.142526248494018,0.3069233425889557
54,III-V,M_B,Ba,InP,7.916874000000001,4.050807638972015,0.39098171520873143
55,III-V,M_B,La,GaAs,7.901258,4.452104404214567,0.3253121036334627
56,III-V,M_i_B,Tc,BAs,7.729577000000001,7.660907004249333,0.2788492025642496
57,II-VI,M_B,Os,CdSe,7.718526,7.327204582539561,0.10342114051403613
58,II-VI,M_B,Mo,CdTe,7.7170000000000005,7.510779343196373,0.10993016529777587
59,II-VI,M_B,Re,CdTe,7.6979999999999995,8.267240753755974,0.12002846233265209
60,II-VI,M_i_A,Ba,ZnSe,7.676982000000001,7.339598213839662,0.1939666796529707
61,II-VI,M_B,Ti,CdTe,7.655,5.971845474784332,0.1156850928163675
62,II-VI,M_B,Sc,CdTe,7.62,6.127810113965573,0.13063382336352916
63,II-VI,M_i_A,Cl,ZnO,7.616961,5.934901620167636,0.282905580147422
64,II-VI,M_B,Ta,CdTe,7.585,8.44455297606597,0.1733742310756935
65,II-VI,M_B,Ba,CdTe,7.574,7.495358627382167,0.29154903984259084
66,IV-IV,M_i_neut,O,GeC,7.517438,8.490445324421643,0.3086512972047472
67,II-VI,M_i_A,Sc,ZnS,7.5110850000000005,8.142796565143863,0.22733501993782912
68,IV-IV,M_B,Sb,SiC,7.388986999999999,6.756709901918862,0.3554621222476224
69,III-V,M_A,Hf,BAs,7.386991,4.756880937565083,0.405971607849375
70,II-VI,M_i_neut,Cs,CdS,7.371510000000001,6.0062893039279945,0.1477736004407981
71,IV-IV,M_i_B,C,SnC,7.362067,8.291776339020016,0.21078319337379378
72,IV-IV,M_B,Te,SnC,7.3602479999999995,9.19334133135889,0.3976984529993675
73,IV-IV,M_i_B,F,GeC,7.333756,8.025838539445093,0.260540214323704
74,II-VI,M_i_neut,Cs,ZnSe,7.297979,6.899855013609695,0.22888061973249388
75,II-VI,M_i_B,Ir,CdS,7.268053999999999,4.689291384992929,0.1094615374320994
76,II-VI,M_i_B,Bi,ZnSe,7.242951,6.300841516548449,0.1508391114131284
77,II-VI,M_i_B,Mg,ZnS,7.236806,5.446527027233665,0.240621068117981
78,II-VI,M_B,Sr,CdTe,7.229,7.315830645912899,0.1409241546308725
79,II-VI,M_i_neut,Na,ZnO,7.191727,7.351034898444927,0.27339739792566187
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,7.1382028732371,0.2641143515299733
81,IV-IV,M_i_B,Al,SiC,7.109779,7.717936126109015,0.23941865748090377
82,IV-IV,M_A,Rh,GeC,7.072358,5.482831166070094,0.316589507610304
83,II-VI,M_B,Ca,CdTe,7.0489999999999995,6.469901427220428,0.17396530073144126
84,II-VI,M_i_neut,Ir,ZnS,7.044389,5.558980211606084,0.2292146378981291
85,IV-IV,M_i_B,C,SiGe,7.029664,5.446895260778523,0.20920467951683602
86,III-V,M_i_B,C,AlAs,6.978333999999999,6.022804614198074,0.23912297487758225
87,III-V,M_A,Te,BP,6.957153999999999,6.487259278193314,0.43807589691157733
88,II-VI,M_i_B,C,CdTe,6.943,6.17903972307293,0.08969089122492845
89,III-V,M_i_neut,Pb,AlP,6.935306,7.529877052785314,0.18542623647782647
90,II-VI,M_i_B,Y,CdO,6.894886,7.452295708340577,0.1934317981772798
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.239839045915788,0.08674892393476664
92,II-VI,M_i_A,W,CdTe,6.851,5.9565680083613755,0.12840896302448904
93,III-V,M_i_B,Pb,GaP,6.811591,7.488920520750878,0.18623331192975257
94,II-VI,M_i_A,C,ZnTe,6.789039999999999,5.856925393293011,0.14429900921581407
95,II-VI,M_i_neut,W,ZnTe,6.695950999999999,5.997052574280909,0.19088060852455993
96,II-VI,M_i_neut,In,CdO,6.683149,5.44502911590855,0.1919198631727299
97,II-VI,M_i_B,Sb,CdTe,6.681,4.074271404619417,0.07365288101305864
98,II-VI,M_i_A,Re,CdTe,6.667999999999999,6.175393435428072,0.0986510176973164
99,II-VI,M_B,Os,CdTe,6.666,6.542366488261711,0.13714216407770816
100,II-VI,M_i_neut,C,CdTe,6.662999999999999,6.244240022728997,0.08829025744330192
101,IV-IV,M_B,Bi,GeC,6.642875,6.225009864858091,0.4485697137096681
102,II-VI,M_i_B,Re,CdTe,6.642,6.357333993271981,0.12081630191367729
103,II-VI,M_B,Ru,CdTe,6.612,6.37208920605454,0.11636579577692925
104,II-VI,M_i_A,Al,CdS,6.578055,4.840837362878237,0.08936406355957968
105,II-VI,M_A,Ru,CdO,6.5520510000000005,5.345052605224291,0.20577027037568976
106,II-VI,M_i_A,Pb,CdO,6.54363,6.107039283916042,0.180214515981826
107,II-VI,M_B,Tc,CdTe,6.5360000000000005,6.613270854932679,0.10463956946051485
108,II-VI,M_B,V,CdTe,6.523,5.857993610249747,0.13212885643951536
109,II-VI,M_B,Rh,CdTe,6.481,5.621780807517441,0.11382880779313789
110,II-VI,M_i_B,Zr,CdTe,6.475,5.871392300347334,0.08537400305876748
111,II-VI,M_i_B,W,CdTe,6.415,6.096359606550961,0.14538912070249638
112,IV-IV,M_i_neut,Sr,Si,6.397273,5.298925039712265,0.3017520938630407
113,II-VI,M_i_A,Be,CdS,6.3890839999999995,4.91677505655054,0.11398321865217971
114,II-VI,M_i_neut,La,CdTe,6.379,5.965773490389439,0.12898890575263502
115,IV-IV,M_i_A,C,Si,6.357864,5.624273944357,0.3005663079848471
116,II-VI,M_i_A,Sb,CdTe,6.332999999999999,3.854358399109702,0.09153784352386095
117,II-VI,M_i_neut,W,CdTe,6.27,5.895170731526699,0.12249353087158152
118,II-VI,M_i_neut,Sb,CdTe,6.223,3.844196014280295,0.06508371376602655
119,III-V,M_i_A,Tc,InP,6.217023999999999,5.488388919898506,0.18930536941430698
120,IV-IV,M_B,Au,GeC,6.2141779999999995,7.372229525820453,0.43677606738610797
121,III-V,M_i_B,Ti,BAs,6.201029,7.259836850491032,0.28406620031825514
122,II-VI,M_i_B,La,CdSe,6.173819,6.274982995393233,0.09018717042083887
123,III-V,M_i_B,Mg,GaN,6.168469,7.123320306728877,0.4414665381394781
124,II-VI,M_i_neut,Zr,CdTe,6.155,6.060715440932626,0.09701579643868558
125,II-VI,M_B,Cd,CdS,6.1344959999999995,4.057195987313177,0.13561420167670324
126,II-VI,M_i_A,Sn,CdS,6.13124,5.1575893898051,0.09060711298309106
127,II-VI,M_B,Hf,CdTe,6.107,8.266480465376564,0.2223575113468782
128,II-VI,M_i_B,Rb,CdS,6.097848,4.878423743443323,0.09966243441112999
129,II-VI,M_i_B,Os,CdTe,6.07,4.866229560756796,0.1117350147810007
130,II-VI,M_i_neut,Y,CdTe,6.059,5.937900772806304,0.06279472754187206
131,II-VI,M_B,Zn,CdS,6.048001999999999,3.7948117784238677,0.11718443284063002
132,II-VI,M_i_B,Be,ZnO,6.034982,6.33034812246531,0.3486719080203379
133,II-VI,M_i_neut,Nb,CdTe,6.0329999999999995,6.3018582758835215,0.06674199722065956
134,IV-IV,M_i_A,Pb,Si,6.0305919999999995,6.517633286204651,0.2833135866465888
135,II-VI,M_B,C,CdTe,6.007999999999999,7.187892663952633,0.14728189262856098
136,II-VI,M_i_A,Mo,CdTe,5.995,5.925406504208338,0.06466589334837407
137,II-VI,M_B,Rh,ZnSe,5.993703,6.88136580652129,0.1703858120809633
138,II-VI,M_i_B,Nb,CdTe,5.956,6.12798707437831,0.09143189820828274
139,III-V,M_i_neut,Sr,AlAs,5.929858,4.625566860255436,0.30046455792814886
140,IV-IV,M_i_A,Fe,SnC,5.929035,7.758894184822206,0.29599227499815267
141,II-VI,M_i_neut,Re,CdTe,5.922000000000001,6.179102223241072,0.12146136154792259
142,II-VI,M_i_B,La,CdTe,5.912000000000001,5.981107938011758,0.10133769544093334
143,II-VI,M_B,C,ZnSe,5.911153,7.744672614142592,0.21799130468463696
144,II-VI,M_i_A,Os,CdTe,5.862,4.660991015287464,0.09932534398469887
145,IV-IV,M_i_neut,Ta,SiGe,5.840308,5.987512625803194,0.20960097366696295
146,II-VI,M_i_B,Ag,ZnO,5.834783,6.607062198522479,0.2034965632797265
147,II-VI,M_i_B,Sr,CdO,5.810501,5.3106906378801515,0.29915630387218034
148,III-V,M_i_B,Hf,InP,5.794212,4.95602684942247,0.2101888145027612
149,II-VI,M_i_B,Ta,CdTe,5.774,6.639562496478236,0.13477267675270585
150,II-VI,M_B,Cr,CdTe,5.765,4.852265693216408,0.11868326877013934
151,IV-IV,M_B,Pd,SiC,5.755425,5.602166463964219,0.39522935949102617
152,III-V,M_i_B,B,AlP,5.7467690000000005,4.698436604453515,0.19520915098723843
153,II-VI,M_i_A,Nb,CdTe,5.727,6.23264488975356,0.07640170234316233
154,III-V,M_i_B,Ta,InAs,5.724173,5.825428848529221,0.20297493576886533
155,III-V,M_i_B,Co,GaN,5.698535,5.8408140376610405,0.45657893458672927
156,III-V,M_i_B,W,InAs,5.684196,5.6612723122669735,0.18743971254304587
157,III-V,M_i_A,Te,AlAs,5.670371,6.344313176829297,0.16772694411295047
158,II-VI,M_i_B,Ti,CdS,5.659346,5.716827962064518,0.07793416070214974
159,II-VI,M_i_A,Zr,ZnTe,5.640255000000001,6.594722885429445,0.15494007134276835
160,II-VI,M_i_A,Zr,CdTe,5.638999999999999,5.982846991679253,0.09457628630535964
161,III-V,M_i_neut,Mo,AlP,5.636163,6.072425339099109,0.15971112726320086
162,III-V,M_B,Mg,GaP,5.5889050000000005,3.249702340912605,0.337999372647601
163,II-VI,M_A,Sb,ZnO,5.586536,4.619683585532604,0.3052526252594928
164,II-VI,M_B,Rb,CdTe,5.574,5.634166693525401,0.16958585993867945
165,II-VI,M_A,Ir,CdO,5.56046,4.562997543010212,0.32718759435803424
166,II-VI,M_i_B,Rh,CdS,5.551328,4.97388857068273,0.0886981286852754
167,II-VI,M_i_neut,Ta,CdTe,5.547999999999999,6.473518166489687,0.11731835963868355
168,IV-IV,M_A,Bi,SiC,5.492596,5.034125720992443,0.2969383636424182
169,II-VI,M_i_neut,Sc,CdTe,5.473,4.783651702362528,0.08314793765689274
170,II-VI,M_B,Fe,CdTe,5.465,5.032405367700912,0.12394381806033275
171,II-VI,M_i_B,As,ZnSe,5.464378,5.161354130776404,0.11993770441346076
172,II-VI,M_B,Co,CdTe,5.46,4.750909851517989,0.11745108559054195
173,II-VI,M_i_neut,Ga,CdS,5.459708,4.646457785641339,0.0842420373222411
174,II-VI,M_i_neut,Mo,CdTe,5.454,5.965385942928758,0.06316766640634071
175,II-VI,M_i_neut,Co,CdO,5.443811,5.926550678974244,0.1554479782065145
176,II-VI,M_B,K,CdTe,5.436,4.899600821316514,0.17045201840339264
177,II-VI,M_i_B,Y,CdTe,5.435,5.741239238309097,0.06716401998116411
178,II-VI,M_i_A,Te,ZnSe,5.434063,4.90782730251192,0.1253486308180092
179,II-VI,M_B,B,CdTe,5.428,6.177606773427611,0.1562748891072293
180,II-VI,M_B,Be,CdTe,5.421,6.057957540210155,0.1876803053868666
181,III-V,M_i_neut,W,GaSb,5.420782,5.025565725692873,0.2256292069016123
182,II-VI,M_i_A,Zn,ZnS,5.417896,5.2276061559753195,0.12844552151568145
183,II-VI,M_A,Zr,CdS,5.4005019999999995,3.3938487856464135,0.11979869788506202
184,II-VI,M_B,Li,ZnTe,5.394522,5.101614874524773,0.24366985560290189
185,II-VI,M_i_neut,Ba,CdTe,5.391,4.7444585009579745,0.11655766921197397
186,II-VI,M_i_neut,As,CdS,5.382434,4.711008387679082,0.0693111890948833
187,III-V,M_B,Hf,InSb,5.364508,3.687528480872365,0.27677339723944866
188,II-VI,M_i_B,Mo,CdTe,5.353,5.815600860381662,0.08034231639928094
189,II-VI,M_i_A,Ta,CdTe,5.343,6.4544279482504034,0.10228878400999217
190,III-V,M_i_A,Cl,GaP,5.326942,6.016681230547386,0.21680845564040482
191,IV-IV,M_i_neut,La,Ge,5.326147,5.869468817873856,0.2205747183672626
192,II-VI,M_B,Mg,CdTe,5.31,4.785158704674615,0.17966930436870518
193,II-VI,M_B,Mn,CdTe,5.28,4.253711416696297,0.12611430526568923
194,II-VI,M_i_B,B,CdSe,5.273931,4.856894338631873,0.08642547929430504
195,IV-IV,M_B,Rh,SiC,5.2733360000000005,5.904962561953925,0.36543431370655305
196,II-VI,M_i_A,La,CdTe,5.266,5.871081524505427,0.1240008788562058
197,II-VI,M_i_neut,Os,CdTe,5.263999999999999,4.594033842916075,0.10140351406724331
198,IV-IV,M_B,Rb,SiGe,5.256082,4.420539682420755,0.34739108111978495
199,II-VI,M_B,Cs,CdTe,5.25,7.609186584045129,0.4212580894442965
200,III-V,M_i_B,Zr,InN,5.24444,7.609988376404165,0.39394466878046314
201,II-VI,M_B,Si,CdSe,5.235698,4.853134828588127,0.1114655709071012
202,II-VI,M_B,Ir,CdTe,5.231,5.310922310961386,0.12243634968309622
203,II-VI,M_i_B,Ti,CdTe,5.215,4.601920748397971,0.08207158104014502
204,II-VI,M_i_A,B,CdTe,5.207000000000001,4.788769242825181,0.11796276242993707
205,III-V,M_i_neut,Ir,InP,5.168292,5.4231566889959195,0.21073059220463836
206,II-VI,M_i_B,Ru,CdTe,5.156000000000001,4.607052978579503,0.07241243051709453
207,II-VI,M_i_neut,I,ZnSe,5.114387000000001,4.389537021150408,0.1476765712018572
208,IV-IV,M_i_neut,Zr,Ge,5.098876000000001,4.069312124350634,0.22704258568528451
209,II-VI,M_i_A,Y,CdTe,5.082,5.8281359960840025,0.06776044751576543
210,II-VI,M_i_B,Sc,CdTe,5.067,4.437032739978507,0.0991501196118
211,III-V,M_i_B,In,AlAs,5.054657,5.2858727102247345,0.16354477213806184
212,II-VI,M_i_neut,B,CdTe,5.052,4.803589410516854,0.10899574759696001
213,III-V,M_i_B,Os,GaSb,5.039499,4.521864202457257,0.1881932116068828
214,II-VI,M_i_neut,Ti,CdTe,5.015,4.907820427455876,0.08103385716997524
215,II-VI,M_B,Tl,ZnSe,4.992494000000001,6.392538659649992,0.23081827674332747
216,IV-IV,M_i_neut,Rb,SiSn,4.989315,4.534991977366826,0.2678486954606327
217,II-VI,M_i_neut,Cd,CdS,4.977344,3.9193095237423323,0.0668505317245223
218,IV-IV,M_i_B,As,SiGe,4.959747,4.075614636848921,0.19173393277446854
219,II-VI,M_A,C,CdSe,4.955438,5.74758008024492,0.1463019213620563
220,III-V,M_i_B,Zn,BSb,4.931979,5.1826139635450446,0.25669268503842163
221,II-VI,M_i_neut,Sr,CdTe,4.919,4.878265513472426,0.08998717548228098
222,II-VI,M_i_A,Bi,CdSe,4.912889,3.946876651209473,0.09133070816546203
223,II-VI,M_i_neut,K,CdO,4.908647,5.6426555391193265,0.22117671333482786
224,II-VI,M_i_A,Sc,CdTe,4.902,4.69774505485048,0.08632734870036665
225,II-VI,M_i_B,Ba,CdTe,4.895,4.733418796196058,0.10086775837178467
226,II-VI,M_B,Li,CdTe,4.877,3.3555936589865,0.22263494655160906
227,II-VI,M_i_B,Rh,CdTe,4.877,3.818268634011305,0.06022876505930422
228,IV-IV,M_i_B,P,SiGe,4.876417,3.7798522713370817,0.2037038240879172
229,II-VI,M_i_A,Cu,ZnO,4.876162,6.065331552833497,0.17099493414255337
230,II-VI,M_i_neut,Se,ZnS,4.8505650000000005,5.181336885286044,0.11566398966297199
231,II-VI,M_i_A,Rh,CdTe,4.845,3.937685835115766,0.060136263409247645
232,II-VI,M_i_B,Br,CdO,4.8434800000000005,5.8276367081550715,0.25031451821237743
233,II-VI,M_i_B,B,CdTe,4.843,4.709744163937224,0.09773752560154575
234,IV-IV,M_i_B,N,GeC,4.841501999999999,7.952793059892156,0.29521298920850525
235,II-VI,M_i_neut,Ru,CdTe,4.822,4.728002320644137,0.07193390200505842
236,II-VI,M_i_A,Ru,CdTe,4.817,4.702078900957299,0.07052839798286363
237,IV-IV,M_i_A,Tl,SiGe,4.810553,5.3553391846487965,0.15434245744025665
238,II-VI,M_i_B,Te,CdS,4.805296,4.863156141253837,0.0917238008429487
239,II-VI,M_i_B,Tc,CdTe,4.78,4.916623386056888,0.08111129213346951
240,II-VI,M_A,C,CdTe,4.76,5.4704518710199626,0.1408407584787015
241,II-VI,M_i_A,Tc,CdTe,4.754,5.0236672239148055,0.06571610729409955
242,III-V,M_i_B,Cd,GaP,4.747673000000001,4.826131556265211,0.1672969557533588
243,II-VI,M_B,Na,CdTe,4.747,4.085276197114472,0.18241539755127922
244,II-VI,M_i_A,Li,ZnS,4.7375169999999995,5.509142632190907,0.23617302942548002
245,III-V,M_i_B,B,AlSb,4.713025,2.6017870785238193,0.16309289029479399
246,II-VI,M_i_B,Mn,ZnS,4.705481,4.972687299912467,0.1760234264242739
247,III-V,M_B,Os,AlSb,4.70151,3.758123752843015,0.23647764744209182
248,III-V,M_i_neut,In,InN,4.700876,6.978427982107803,0.38528419207639186
249,III-V,M_i_A,Mn,BSb,4.694458,4.6034011532370895,0.34025940375607816
250,II-VI,M_i_A,Cd,CdS,4.6935139999999995,3.873887804187391,0.06691596297273436
251,II-VI,M_B,Al,CdTe,4.6930000000000005,4.556213909568678,0.1513226648658455
252,II-VI,M_i_A,Ti,CdTe,4.684,4.854619997937104,0.08190213731327478
253,II-VI,M_i_B,S,ZnTe,4.679561,2.6954792864837924,0.14355533661863126
254,IV-IV,M_i_B,O,SiSn,4.666316999999999,2.9094637705726965,0.20828359985089984
255,II-VI,M_i_B,Cd,CdS,4.657436,3.756301961578546,0.0720690348718091
256,III-V,M_i_A,S,InP,4.651991000000001,4.331098834988016,0.1712726078154144
257,II-VI,M_i_A,Ir,CdTe,4.6419999999999995,3.3323548351384913,0.07571508108294063
258,II-VI,M_B,Cd,CdSe,4.621263,3.683296043431009,0.1199750070739471
259,II-VI,M_B,Ni,CdTe,4.61,4.297988516689132,0.1296206626367845
260,II-VI,M_A,Rh,CdO,4.60746,4.716918565674588,0.2233604063581774
261,II-VI,M_i_neut,Pt,CdS,4.5891519999999995,4.273942912490682,0.10922225268458094
262,II-VI,M_i_neut,Sb,ZnTe,4.577339,4.809640699533326,0.12028562349894047
263,II-VI,M_i_A,Ca,ZnTe,4.5689589999999995,6.06750020362413,0.2246797784267936
264,II-VI,M_i_B,Na,ZnTe,4.564971,3.773636870925273,0.20630806886518624
265,II-VI,M_i_B,Bi,CdTe,4.558,3.898035825074962,0.10293771987083976
266,II-VI,M_i_B,S,CdS,4.554437,3.750544108624564,0.08240017749273647
267,II-VI,M_i_B,Ir,CdTe,4.553,3.5214262929420803,0.11565362998538713
268,II-VI,M_i_neut,Rh,CdTe,4.523,3.883323816754532,0.06004688482016832
269,III-V,M_i_neut,Br,InP,4.510883,5.203907097935396,0.2058395732778806
270,IV-IV,M_i_A,Os,GeSn,4.497376,3.36519420812393,0.13942897237406124
271,II-VI,M_A,P,ZnS,4.496569999999999,4.002154873908731,0.19706351520043922
272,II-VI,M_B,Sb,CdTe,4.495,2.5601603832309086,0.1804327855136056
273,II-VI,M_i_neut,Ca,CdSe,4.494395,4.732415793197896,0.09546160469626767
274,IV-IV,M_i_neut,Mn,GeC,4.479184,7.384126195283339,0.22715282606184206
275,II-VI,M_i_neut,Ca,CdTe,4.47,4.357154147013444,0.09458676885037126
276,II-VI,M_B,Zn,CdTe,4.463,2.955678509744806,0.13245476755667263
277,IV-IV,M_A,W,GeC,4.432193,6.292178761682696,0.2945130622170732
278,III-V,M_i_A,Pd,InN,4.4274949999999995,6.657444236358364,0.37127302469591283
279,II-VI,M_i_B,N,CdTe,4.422,3.343940120711115,0.12435278774090752
280,III-V,M_i_B,Nb,InSb,4.400841000000001,6.053641940478487,0.2003629909443889
281,II-VI,M_i_B,Cs,CdTe,4.4,4.7246961894954795,0.17929200231422973
282,IV-IV,M_i_A,Ta,Ge,4.374966000000001,4.817240978639013,0.21934171294893606
283,II-VI,M_i_A,K,ZnSe,4.37218,5.39878657758648,0.18245853535316686
284,II-VI,M_i_neut,Cd,CdO,4.3570150000000005,4.489945268385804,0.1709138348779045
285,II-VI,M_A,Sb,CdTe,4.346,1.3944290759553373,0.10413327846737505
286,II-VI,M_i_neut,N,CdTe,4.342,3.438090354416494,0.12256155552469479
287,II-VI,M_i_B,Hf,CdTe,4.315,5.819541328709356,0.12206080791703068
288,III-V,M_i_B,La,GaSb,4.309508,5.272312325843027,0.31165804588683177
289,II-VI,M_i_A,V,CdTe,4.309,4.857686500063876,0.06592919666508273
290,II-VI,M_i_B,Sr,CdSe,4.2930019999999995,4.881613090604075,0.08289001784950997
291,II-VI,M_i_B,V,CdTe,4.284,4.602729763406179,0.07436828114384053
292,IV-IV,M_A,Na,GeSn,4.28204,2.886119126025259,0.3671010795377858
293,II-VI,M_i_neut,Tc,CdTe,4.277,5.069172044153993,0.06694283568773089
294,IV-IV,M_A,Os,SiC,4.272365,5.062319201723662,0.30569109610885925
295,IV-IV,M_i_B,As,SiSn,4.2711190000000006,3.4550944231392093,0.1752459428797687
296,III-V,M_B,Hg,BSb,4.269662,5.665255074943142,0.5980428754746229
297,II-VI,M_i_neut,Pb,CdTe,4.255,3.3423437495126507,0.09517387727951622
298,III-V,M_i_A,La,AlSb,4.251396,4.699270351596028,0.3955577143044273
299,II-VI,M_i_A,N,CdTe,4.25,3.4222809234897253,0.13774099710558962
300,II-VI,M_i_B,Sr,CdTe,4.245,4.70124353125821,0.08580931606113958
301,II-VI,M_B,Ge,CdSe,4.240703,4.514330271809347,0.11875610274434802
302,II-VI,M_i_A,Ba,CdTe,4.223,4.636604921420443,0.11263653162986563
303,II-VI,M_i_neut,V,CdTe,4.223,4.872092546547113,0.06570626981915327
304,IV-IV,M_B,I,SiGe,4.216976,2.890972501571698,0.3936227378999207
305,III-V,M_i_neut,Ru,AlAs,4.209639,3.7908249570751393,0.19523133989667785
306,II-VI,M_A,Ba,ZnS,4.208519,3.2313500426292334,0.18144901592219365
307,II-VI,M_i_neut,Al,CdTe,4.205,4.0255351152558765,0.10585424550714889
308,II-VI,M_i_A,Fe,CdTe,4.187,3.587908893621188,0.07939536466607215
309,III-V,M_i_A,Cl,AlAs,4.170788,4.893843114331151,0.23410160741099773
310,II-VI,M_i_B,Be,ZnTe,4.159579,3.693218025916324,0.26647254533386466
311,II-VI,M_B,Zn,ZnTe,4.15456,3.323260745388178,0.19153050331013022
312,III-V,M_B,O,AlAs,4.140954,3.7215954337042034,0.2873894068167202
313,II-VI,M_i_A,S,CdS,4.1297559999999995,3.9595056424225645,0.08266751303727675
314,II-VI,M_i_A,Bi,CdTe,4.128,3.513611658201121,0.10113877503944306
315,IV-IV,M_i_neut,Tl,SiSn,4.120821,4.635799956852411,0.2005962550063519
316,III-V,M_i_A,Ir,GaSb,4.116324,2.8683078182510187,0.15166081603864345
317,II-VI,M_A,Bi,ZnS,4.107218,2.789536559416539,0.19124905114961138
318,IV-IV,M_i_B,K,SiGe,4.105738,3.766582306327833,0.27229775402141815
319,II-VI,M_i_neut,Be,CdTe,4.104,3.9258922542218655,0.12300758290385007
320,IV-IV,M_i_B,Hf,GeSn,4.102451,3.792409056840083,0.19889695619605918
