,Type,Site,Impurity,AB,(+2/+1)_DFT,train_mean,train_std
92,II-VI,M_B,Sr,CdTe,0.988283,0.7857915059220641,0.046038988342735294
93,II-VI,M_i_neut,Na,ZnO,-0.724644,-0.4860060367360261,0.08419648930528649
94,IV-IV,M_i_neut,Zn,SiC,1.0171059999999998,0.5567580281515696,0.03584656724056077
95,IV-IV,M_i_B,Al,SiC,1.313648,0.5538045789321618,0.03452586530938567
96,II-VI,M_B,I,ZnO,-0.501996,-0.1754257073517656,0.06899621830132255
97,IV-IV,M_A,Rh,GeC,-0.8523440000000001,-0.46029941218774795,0.049232345955855815
98,II-VI,M_B,Ca,CdTe,0.797962,0.6917536312158659,0.0429549705758641
99,II-VI,M_i_neut,Ir,ZnS,0.008024,0.519342321935307,0.035440635344471595
100,IV-IV,M_i_B,C,SiGe,0.645027,-0.10251996065611077,0.033571070341730465
101,IV-IV,M_B,Re,SnC,-0.247081,0.14387717837644365,0.067324577161584
102,III-V,M_i_B,C,AlAs,0.7640819999999999,0.011177224334413139,0.04193820896161678
103,III-V,M_A,Te,BP,0.439867,0.5056826174602674,0.08545394917498789
104,II-VI,M_i_B,C,CdTe,0.5931270000000001,-0.24920212606964753,0.03640558339303513
105,III-V,M_i_neut,Pb,AlP,1.261571,0.8053932083360411,0.0319100700432351
106,IV-IV,M_B,Li,GeC,0.47500299999999995,-0.25713936706282414,0.08189451766218876
107,II-VI,M_i_B,Y,CdO,0.713163,1.1183587504657522,0.036307377633770614
108,II-VI,M_i_A,C,CdTe,-0.288564,-0.26672800404233465,0.04509147711263167
109,II-VI,M_i_A,W,CdTe,0.820782,0.29744208348848256,0.027909559135401968
110,IV-IV,M_A,As,SnC,-0.5885670000000001,-0.5488147188141712,0.03969814904634145
111,III-V,M_i_B,Pb,GaP,1.34514,0.5340679789733447,0.03730246299376122
112,IV-IV,M_i_neut,W,SnC,0.37891199999999997,0.5074929200810931,0.039659453110010956
113,II-VI,M_i_A,C,ZnTe,-0.24450500000000003,-0.23974791064402648,0.04419666702360959
114,II-VI,M_i_neut,W,ZnTe,0.502154,0.4152227111237914,0.027348853333543827
115,II-VI,M_i_neut,In,CdO,0.458618,0.6774478823255798,0.031237940290409015
116,II-VI,M_i_B,Sb,CdTe,0.852759,0.5273993287123895,0.018348933066075875
117,II-VI,M_i_A,Re,CdTe,0.29133600000000004,0.5941940094031215,0.023285535293675177
118,II-VI,M_B,Os,CdTe,-1.3417540000000001,-0.25240711002444927,0.02913925404719678
119,II-VI,M_i_neut,C,CdTe,0.33,-0.26303620146017026,0.046657761561781766
120,IV-IV,M_B,Bi,GeC,-0.12308599999999999,0.2270081895227869,0.06466146281333986
121,II-VI,M_i_B,Re,CdTe,0.9085719999999999,0.6492472209562881,0.02500723419231659
122,II-VI,M_B,Ru,CdTe,-0.491832,-0.30918512525251174,0.021317268572595215
123,II-VI,M_A,O,CdS,-0.327369,-0.4216619669671145,0.040173009062974996
124,II-VI,M_i_A,Al,CdS,0.6676989999999999,0.7573329891265776,0.03526482946246047
125,II-VI,M_A,Ru,CdO,0.274543,-0.13132626963258603,0.0264516051445339
126,II-VI,M_i_A,Pb,CdO,0.769054,0.5292386428366223,0.03221900065219796
127,II-VI,M_B,Tc,CdTe,-0.33363000000000004,-0.07623173606645918,0.026977885814579605
128,II-VI,M_B,V,CdTe,-0.136312,0.005147734477382479,0.02146756372593973
129,II-VI,M_B,Rh,CdTe,-0.544451,-0.35038655748000536,0.02187358076772106
130,II-VI,M_i_B,Zr,CdTe,1.118627,0.7185933257366718,0.01878673450737073
131,II-VI,M_i_B,W,CdTe,0.520338,0.34664811750735863,0.024533265232885078
132,IV-IV,M_i_neut,Sr,Si,0.38416300000000003,0.230421682779507,0.04399513806287575
133,II-VI,M_i_A,Be,CdS,1.105041,0.934420200435628,0.034264373682777606
134,II-VI,M_i_neut,La,CdTe,1.08936,0.9807038127236574,0.02806246690201396
135,IV-IV,M_i_A,C,Si,-0.26928,-0.23351755460883386,0.04005358553548875
136,II-VI,M_i_A,Sb,CdTe,0.706997,0.49479263680391766,0.016556708854640122
137,II-VI,M_i_neut,W,CdTe,0.578331,0.3168967579328895,0.026580746966940724
138,II-VI,M_i_neut,Sb,CdTe,0.25309,0.5107667415659753,0.01685346179420211
139,III-V,M_i_A,Tc,InP,0.096198,0.4227398651509269,0.0263850361484854
140,IV-IV,M_B,Au,GeC,0.799966,-0.1321980271923156,0.06472895330980376
141,III-V,M_i_B,Ti,BAs,0.125378,-0.06457675135023773,0.04200269318829129
142,II-VI,M_i_B,La,CdSe,1.216485,1.122262712899013,0.02888019539914606
143,III-V,M_i_B,Mg,GaN,1.6860330000000001,1.2670190392514682,0.05187080888993464
144,II-VI,M_i_neut,Zr,CdTe,0.977191,0.7038224172533311,0.01962542010791416
145,II-VI,M_B,Cd,CdS,1.342753,0.46728489400864454,0.0498263322652663
146,II-VI,M_i_A,Sn,CdS,1.517659,0.8522821923141308,0.0203546360094732
147,II-VI,M_B,Hf,CdTe,-0.20947,0.3304449183663586,0.024184256356651293
148,II-VI,M_i_B,Rb,CdS,-0.30447199999999996,0.4062989789568251,0.05185975635174719
149,II-VI,M_i_B,Os,CdTe,0.358293,0.22329376095190664,0.02236193162513456
150,II-VI,M_i_neut,Y,CdTe,1.09134,1.0021337068638838,0.026086013112947233
151,II-VI,M_B,Zn,CdS,1.289857,0.4205997615429172,0.04145488688093186
152,II-VI,M_i_B,Be,ZnO,0.706328,1.1559790503848755,0.055559388419394166
153,II-VI,M_i_neut,Nb,CdTe,1.053943,0.5493401518204383,0.01997197893272129
154,IV-IV,M_i_A,Pb,Si,0.504459,-0.04073771597870388,0.040653057794069955
155,II-VI,M_B,C,CdTe,-0.6180979999999999,-0.6310741038650637,0.04196412884368814
156,II-VI,M_i_A,Mo,CdTe,0.466553,0.28317651332615335,0.020498274634153848
157,II-VI,M_B,Rh,ZnSe,-0.504033,-0.20994557162646635,0.03505737491281973
158,II-VI,M_i_B,Nb,CdTe,0.8639450000000001,0.566412370851132,0.01987737321514086
159,III-V,M_i_neut,Sr,AlAs,1.325201,0.8029723328621678,0.04734113902331381
160,IV-IV,M_i_A,Fe,SnC,0.251772,0.681281402770795,0.03576621194050698
161,II-VI,M_i_neut,Re,CdTe,0.51408,0.6247685640678009,0.024825568566559774
162,II-VI,M_i_B,La,CdTe,1.1963489999999999,0.9988748543211091,0.02942432710361696
163,II-VI,M_B,C,ZnSe,-0.765305,-0.48130611935820494,0.054366935770551884
164,II-VI,M_i_A,Os,CdTe,0.594282,0.17480135670323005,0.02081411006350966
165,IV-IV,M_i_neut,Ta,SiGe,0.050461,0.16634485147255879,0.03505914251893739
166,II-VI,M_i_B,Ag,ZnO,-0.555833,-0.14560326984350827,0.03725034200676263
167,II-VI,M_i_B,Sr,CdO,0.44020299999999996,1.1221358084702944,0.039776498888432814
168,III-V,M_i_B,Hf,InP,1.123518,0.6833208279270389,0.024487817146768485
169,II-VI,M_i_B,Ta,CdTe,1.052096,0.7017297534845485,0.020761922378118317
170,II-VI,M_B,Cr,CdTe,-0.094329,-0.08702332200414492,0.02485827426663635
171,IV-IV,M_B,Pd,SiC,1.346731,-0.03927421392666331,0.06406287394892722
172,III-V,M_i_B,B,AlP,0.339683,0.13624399699785772,0.03683362742257198
173,II-VI,M_i_A,Nb,CdTe,0.969525,0.5407446923992975,0.018796751530938162
174,III-V,M_i_B,Ta,InAs,0.766763,0.3439641088148317,0.030254760783170458
175,III-V,M_i_B,W,InAs,0.604434,0.018208663867127654,0.030769883839288633
176,III-V,M_i_A,Te,AlAs,0.52063,0.5787480010943514,0.03260718464783129
177,II-VI,M_i_B,Ti,CdS,1.433617,1.062344642224729,0.030533234326065306
178,II-VI,M_i_A,Zr,ZnTe,0.616394,0.8997233111990077,0.03536399558968087
179,II-VI,M_i_A,Zr,CdTe,0.763865,0.6886736181730635,0.02024814076965505
180,III-V,M_i_neut,Mo,AlP,0.23025500000000002,0.5909463244881789,0.02995107002647676
181,III-V,M_B,Mg,GaP,0.375981,0.47060703894738154,0.04644780197599443
182,II-VI,M_A,Sb,ZnO,-0.098812,-0.12323662840073427,0.04036047328126741
183,II-VI,M_B,Rb,CdTe,1.3812799999999998,0.11280676813840759,0.045807899890882985
184,II-VI,M_A,Ir,CdO,0.39258899999999997,-0.11394957304163378,0.0366300062773992
185,II-VI,M_i_B,Rh,CdS,0.506184,0.5310099904340155,0.028506431251208168
186,II-VI,M_i_neut,Ta,CdTe,1.01359,0.6743694153017588,0.025053193372700934
187,IV-IV,M_A,Bi,SiC,-0.679389,-0.26456647417542606,0.047409344880519615
188,II-VI,M_i_neut,Sc,CdTe,1.0442870000000002,0.8695516428265989,0.02616971928157173
189,II-VI,M_B,Fe,CdTe,-0.41184799999999994,-0.06261487235684524,0.022749279757400185
190,II-VI,M_i_B,As,ZnSe,0.9031889999999999,0.6553969202619527,0.01989509008380255
191,II-VI,M_B,Co,CdTe,-0.491435,-0.1447295317818058,0.02257243485930518
192,II-VI,M_i_neut,Ga,CdS,0.5776680000000001,0.82644966391214,0.026313419525843682
193,II-VI,M_i_neut,Mo,CdTe,0.240517,0.2946617933360406,0.020788821060308982
194,II-VI,M_i_neut,Co,CdO,-0.225505,0.3373044646012374,0.02536566587201292
195,II-VI,M_B,K,CdTe,1.225882,0.11962238848913695,0.04449625233802003
196,II-VI,M_i_B,Y,CdTe,1.282534,1.021375293779088,0.025810172530270892
197,II-VI,M_i_A,Te,ZnSe,0.41061899999999996,0.34808079551860693,0.022039071588282097
198,II-VI,M_B,B,CdTe,-0.557723,-0.28520905400393837,0.03511333445938353
199,II-VI,M_B,Be,CdTe,0.192383,0.22343411631468593,0.038154607874796305
200,III-V,M_i_neut,W,GaSb,0.023424,-0.08656962667388304,0.0322257442090416
201,II-VI,M_i_A,Zn,ZnS,1.144212,1.0696355878598276,0.030753502730177094
202,II-VI,M_A,Zr,CdS,1.212885,0.5678491744030167,0.03568571618029622
203,II-VI,M_B,Li,ZnTe,0.394805,-0.46614277043961827,0.15480707881546385
204,II-VI,M_i_neut,Ba,CdTe,1.191054,0.8825840185837158,0.04036611843805479
205,II-VI,M_i_neut,As,CdS,0.635781,0.750414716913405,0.02341958913906088
206,III-V,M_B,Hf,InSb,-0.32206999999999997,-0.01842909514655597,0.038375459505903625
207,II-VI,M_i_B,Mo,CdTe,0.248383,0.30973379105394183,0.021517773238057494
208,II-VI,M_i_A,Ta,CdTe,0.994433,0.649980240418652,0.02356192214319614
209,III-V,M_i_A,Cl,GaP,-0.42879799999999996,-0.21704443837918683,0.06342590274433497
210,IV-IV,M_i_neut,La,Ge,0.204209,0.4883032675443092,0.034198823525292334
211,II-VI,M_B,Mg,CdTe,0.700176,0.3831840003515792,0.0344667543384215
212,II-VI,M_B,Mn,CdTe,0.107217,-0.020919835212316846,0.022194566741183246
213,II-VI,M_i_B,B,CdSe,1.509491,0.09737862666051181,0.03163269867921973
214,IV-IV,M_B,Rh,SiC,-0.528389,0.026713610857718346,0.06358863219348983
215,II-VI,M_i_A,La,CdTe,1.14782,0.9598374413010106,0.027559941744138533
216,II-VI,M_i_neut,Os,CdTe,0.115854,0.19779357335474795,0.022983423422186726
217,IV-IV,M_B,Rb,SiGe,0.045813,0.024406969331971874,0.04919774464894695
218,II-VI,M_B,Cs,CdTe,1.2665959999999998,0.06904429973666068,0.054798473187264746
219,III-V,M_i_B,Zr,InN,1.3189950000000001,1.1438601454166648,0.04817934630798472
220,II-VI,M_B,Si,CdSe,-0.359744,0.014224408470181794,0.0318964986658599
221,II-VI,M_B,Ir,CdTe,-0.526791,-0.22001040279729053,0.03142520726126975
222,II-VI,M_i_B,Ti,CdTe,1.1718790000000001,0.6584104404278974,0.021833294418561876
223,II-VI,M_i_A,B,CdTe,-0.43830699999999995,-0.0651137938152205,0.03159864971974591
224,III-V,M_i_neut,Ir,InP,0.243702,0.3007409371770261,0.036520458523835946
225,II-VI,M_i_B,Ru,CdTe,0.135382,0.24661235499228717,0.01806964219168094
226,II-VI,M_i_neut,I,ZnSe,0.194456,-0.12506652796398235,0.04212162412915297
227,IV-IV,M_i_neut,Zr,Ge,0.117651,0.19286212644658846,0.02477032081302277
228,II-VI,M_i_A,Y,CdTe,1.1852690000000001,0.9914460241884614,0.027830693226066506
229,II-VI,M_i_B,Sc,CdTe,1.261539,0.8732142671599459,0.02866596830133494
230,III-V,M_i_B,In,AlAs,0.652046,0.463015858533036,0.026876816966360788
231,II-VI,M_i_neut,B,CdTe,-0.24558400000000002,-0.06774739420943743,0.03313145279130945
232,III-V,M_i_B,Os,GaSb,-0.060677999999999996,-0.09535403974063608,0.03350559570174314
233,II-VI,M_i_neut,Ti,CdTe,0.982007,0.6501777702595355,0.021851131196171946
234,II-VI,M_B,Tl,ZnSe,0.8667239999999999,0.35498737075824727,0.03854765419988372
235,IV-IV,M_i_neut,Rb,SiSn,-0.15953299999999998,-0.032340756433567416,0.05205013922547308
236,II-VI,M_i_neut,Cd,CdS,1.1386,0.9132030482566039,0.025910821908331213
237,IV-IV,M_i_B,As,SiGe,0.089318,0.20436236286550685,0.026988774137980814
238,II-VI,M_A,C,CdSe,0.317474,-0.6370935208057661,0.04259588913237702
239,III-V,M_i_B,Zn,BSb,0.108083,-0.17109811477650405,0.03568670823257089
240,II-VI,M_i_neut,Sr,CdTe,1.138978,1.0140047484336725,0.03307461678670379
241,II-VI,M_i_A,Bi,CdSe,1.148915,0.6887338131434456,0.027104302704012453
242,II-VI,M_i_neut,K,CdO,-0.386811,0.038353725076076116,0.04435165951386295
243,II-VI,M_i_A,Sc,CdTe,1.020046,0.8618540492166027,0.028117645380349294
244,II-VI,M_i_B,Ba,CdTe,1.181095,0.8977396912064922,0.04154768979843717
245,II-VI,M_B,Li,CdTe,0.39112399999999997,-0.3437986860418366,0.06992058680964333
246,II-VI,M_i_B,Rh,CdTe,0.07774099999999999,0.15672690482969226,0.016082400603140087
247,IV-IV,M_i_B,P,SiGe,-0.039968000000000004,0.2687378891448627,0.023328379909753023
248,II-VI,M_i_A,Cu,ZnO,-0.360142,-0.09424886829874954,0.04282196536613065
249,II-VI,M_i_neut,Se,ZnS,0.763452,0.4321954721853324,0.033651392111932896
250,II-VI,M_i_A,Rh,CdTe,-0.352086,0.12583573941855397,0.017901273773824753
251,II-VI,M_i_B,Br,CdO,-0.19964500000000002,0.13610188868425396,0.04350210184159736
252,II-VI,M_i_B,B,CdTe,0.243596,-0.055492444561910846,0.03184536456281385
253,IV-IV,M_i_B,N,GeC,0.218914,0.08995830765473853,0.04834963311986019
254,II-VI,M_i_neut,Ru,CdTe,-0.129613,0.22952233410731257,0.014654488309382676
255,II-VI,M_i_A,Ru,CdTe,-0.152951,0.21717219738417545,0.017371340741827
256,IV-IV,M_i_A,Tl,SiGe,-0.195278,-0.07673307927152122,0.03091761687590194
257,II-VI,M_i_B,Te,CdS,0.49813900000000005,0.6461949599911365,0.022941973190582353
258,II-VI,M_i_B,Tc,CdTe,0.756898,0.4450293380689609,0.024062552480778095
259,II-VI,M_A,C,CdTe,-0.200525,-0.813117476489025,0.04670667715523015
260,II-VI,M_i_A,Tc,CdTe,0.20532899999999998,0.41829404432070927,0.02350968971486621
261,III-V,M_i_B,Cd,GaP,0.9950049999999999,0.5181791947140346,0.03516703715352863
262,II-VI,M_B,Na,CdTe,0.566575,-0.02935114252223884,0.049635944540154256
263,II-VI,M_i_A,Li,ZnS,-0.675687,-0.04952231518293505,0.16341810941848703
264,III-V,M_i_B,B,AlSb,-0.37695300000000004,-0.17363066747399394,0.03373883419536862
265,II-VI,M_i_B,Mn,ZnS,1.43066,1.1518573349335943,0.03299171864441979
266,III-V,M_B,Os,AlSb,-0.602757,-0.12795457596178472,0.03606434315012502
267,III-V,M_i_neut,In,InN,0.7389100000000001,0.9305355280141981,0.046402641013805555
268,III-V,M_i_A,Mn,BSb,-0.188047,-0.3271347136369269,0.03454628600697688
269,II-VI,M_i_A,Cd,CdS,1.152173,0.9059961456146048,0.0276077827597324
270,II-VI,M_B,Al,CdTe,-0.027261,-0.03790975720781446,0.03129481953614068
271,II-VI,M_i_A,Ti,CdTe,0.514043,0.639029128592381,0.022041114183021276
272,II-VI,M_i_B,S,ZnTe,0.19325699999999998,-0.1536725821633773,0.032928914645027535
273,IV-IV,M_i_B,O,SiSn,-0.632921,-0.178352766207208,0.04021327595709008
274,II-VI,M_i_B,Cd,CdS,1.295034,0.9129289982369319,0.028239032828393792
275,III-V,M_i_A,S,InP,-0.170292,0.0598910392715186,0.03851565785267576
276,II-VI,M_i_A,Ir,CdTe,-0.041877,0.1380570648456711,0.02755185789146661
277,II-VI,M_B,Cd,CdSe,0.983392,0.5097679467580635,0.040301989884752754
278,II-VI,M_B,Ni,CdTe,-0.5472239999999999,-0.2505559413871766,0.021493452315477037
279,II-VI,M_A,Rh,CdO,0.191633,-0.26270492811337115,0.030970783298960424
280,II-VI,M_i_neut,Pt,CdS,0.205382,0.530193547721978,0.02942972166327848
281,II-VI,M_i_neut,Sb,ZnTe,0.24063800000000002,0.657260963112028,0.01900346966429793
282,II-VI,M_i_A,Ca,ZnTe,1.299167,1.3456184501917863,0.043610007118384135
283,II-VI,M_i_B,Na,ZnTe,-0.409174,-0.5281817749868642,0.10302894277304883
284,II-VI,M_i_B,Bi,CdTe,0.9280950000000001,0.6090243520326829,0.020274393424114082
285,II-VI,M_i_B,S,CdS,-0.075682,0.34797750621465295,0.032456045916175534
286,II-VI,M_i_B,Ir,CdTe,0.24716300000000002,0.1870916084908758,0.022980391882477653
287,II-VI,M_i_neut,Rh,CdTe,-0.164965,0.13969869032902366,0.015232408685145676
288,III-V,M_i_neut,Br,InP,0.12798299999999999,0.06897404622145312,0.046692443262453885
289,IV-IV,M_i_A,Os,GeSn,0.025660000000000002,-0.20260035179364255,0.028724880785368716
290,II-VI,M_A,P,ZnS,-0.14036600000000002,0.25218729784907906,0.04367373110687929
291,II-VI,M_B,Sb,CdTe,-0.42458,-0.022625445307687307,0.02323387825124
292,II-VI,M_i_neut,Ca,CdSe,1.0420989999999999,0.9756714094800708,0.029991614281179375
293,IV-IV,M_i_neut,Mn,GeC,0.571183,0.6559981933858261,0.038354421378781756
294,II-VI,M_i_neut,Ca,CdTe,1.096303,0.8351105356017972,0.025194282798182713
295,II-VI,M_B,Zn,CdTe,0.736855,0.10681485814864047,0.020009963077865064
296,IV-IV,M_A,W,GeC,0.08619600000000001,-0.40877046845345255,0.046467623841010636
297,III-V,M_i_A,Pd,InN,0.29893800000000004,0.623173324113756,0.0513848994119581
298,II-VI,M_i_B,N,CdTe,0.29625100000000004,-0.3385640910345757,0.03819278538395391
299,III-V,M_i_B,Nb,InSb,0.32351199999999997,0.15106476272060027,0.027328829885875136
300,II-VI,M_i_B,Cs,CdTe,-0.219394,0.0026559185605955224,0.054009857216687426
301,IV-IV,M_i_A,Ta,Ge,0.029913,0.1892286506459409,0.02724044531751135
302,II-VI,M_i_A,K,ZnSe,-0.42436499999999994,0.0913124652703585,0.05316024940887038
303,II-VI,M_i_neut,Cd,CdO,0.277549,0.633171253287894,0.030197276164482548
304,II-VI,M_A,Sb,CdTe,-0.346042,-0.15682837357991172,0.021072384470267526
305,II-VI,M_i_neut,N,CdTe,0.101688,-0.3432954684443076,0.0387787851779523
306,II-VI,M_i_B,Hf,CdTe,1.271815,0.828469717369631,0.0228827897823693
307,III-V,M_i_B,La,GaSb,0.633364,0.5452761420402378,0.040785474829984715
